# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.96
metadata : {}


# id : NWRW1800000052.96.1.1
오바마-시진핑, 파리기후협정 공식 비준

오바마-시진핑,	오바마/NNP+-/SO+시진핑/NNP+,/SP
파리기후협정	파리/NNP+기후/NNG+협정/NNG
공식	공식/NNG
비준	비준/NNG


# id : NWRW1800000052.96.2.1
3일 정상회담 앞서 비준 뒤 유엔에 제출

3일	3/SN+일/NNB
정상회담	정상/NNG+회담/NNG
앞서	앞서/VV+어/EC
비준	비준/NNG
뒤	뒤/NNG
유엔에	유엔/NNP+에/JKB
제출	제출/NNG


# id : NWRW1800000052.96.3.1
파리 기후협정 올해 안 발표 가능성 높아져

파리	파리/NNP
기후협정	기후/NNG+협정/NNG
올해	올해/NNG
안	안/NNG
발표	발표/NNG
가능성	가능/NNG+성/XSN
높아져	높아지/VV+어/EF


# id : NWRW1800000052.96.4.1
지구온난화의 주범인 온실가스 2대 배출국으로 꼽히는 미국과 중국이 3일(현지시각) 역사적인 파리 기후변화 협정(파리 협정)을 공식 비준해 유엔에 제출했다.

지구온난화의	지구/NNG+온난/NNG+화/XSN+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
온실가스	온실가스/NNG
2대	2/SN+대/NNG
배출국으로	배출국/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
미국과	미국/NNP+과/JC
중국이	중국/NNP+이/JKS
3일(현지시각)	3/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
파리	파리/NNP
기후변화	기후/NNG+변화/NNG
협정(파리	협정/NNG+(/SS+파리/NNP
협정)을	협정/NNG+)/SS+을/JKO
공식	공식/NNG
비준해	비준/NNG+하/XSV+아/EC
유엔에	유엔/NNP+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.96.4.2
이르면 올해 안에 파리 협정이 발효될 것이라는 전망이 나온다.

이르면	이르/VA+면/EC
올해	올해/NNG
안에	안/NNG+에/JKB
파리	파리/NNP
협정이	협정/NNG+이/JKS
발효될	발효/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.96.5.1
버락 오바마 미국 대통령과 시진핑 중국 국가주석은 이날 중국 항저우에서 양국 정상회담을 열기 직전 비준 서명식을 가진 뒤 이를 지켜보던 반기문 유엔 사무총장에게 비준서를 전달했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
시진핑	시진핑/NNP
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
이날	이날/NNG
항저우에서	항저우/NNP+에서/JKB
양국	양국/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
열기	열/VV+기/ETN
직전	직전/NNG
비준	비준/NNG
서명식을	서명식/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
지켜보던	지켜보/VV+던/ETM
반기문	반기문/NNP
유엔	유엔/NNP
사무총장에게	사무총장/NNG+에게/JKB
비준서를	비준서/NNG+를/JKO
