# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.35
metadata : {}


# id : NWRW1800000033.35.1.1
냉방 끄고 쿨스카프 두르고… 한전, 땀띠 나는 절전

냉방	냉방/NNG
끄고	끄/VV+고/EC
쿨스카프	쿨스카프/NNG
두르고…	두르/VV+고/EC+…/SE
한전,	한전/NNP+,/SP
땀띠	땀띠/NNG
나는	나/VV+는/ETM
절전	절전/NNG


# id : NWRW1800000033.35.2.1
실내온도 29도이상 솔선수범

실내온도	실내/NNG+온도/NNG
29도이상	29/SN+도/NNB+이상/NNG
솔선수범	솔선수범/NNG


# id : NWRW1800000033.35.3.1
한국전력 직원들은 요즘 한낮에 땀을 엄청나게 흘린다.

한국전력	한국전력/NNP
직원들은	직원/NNG+들/XSN+은/JX
요즘	요즘/NNG
한낮에	한/XPN+낮/NNG+에/JKB
땀을	땀/NNG+을/JKO
엄청나게	엄청나/VA+게/EC
흘린다.	흘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.35.3.2
전력 수급이 비상 상황이라서 흘리는 식은땀이 반, 실제로 더워서 흘리는 땀이 반이다.

전력	전력/NNG
수급이	수급/NNG+이/JKS
비상	비상/NNG
상황이라서	상황/NNG+이/VCP+라서/EC
흘리는	흘리/VV+는/ETM
식은땀이	식은땀/NNG+이/JKS
반,	반/NNG+,/SP
실제로	실제로/MAG
더워서	덥/VA+어서/EC
땀이	땀/NNG+이/JKS
반이다.	반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.35.3.3
공공기관의 적정 냉방온도는 28도지만 한전은 실내 온도를 29도 이상으로 유지하고, 그나마도 7일처럼 예비전력이 300만 kW 아래로 떨어지면 냉방장치를 아예 꺼 버리기 때문이다.

공공기관의	공공/NNG+기관/NNG+의/JKG
적정	적정/NNG
냉방온도는	냉방/NNG+온도/NNG+는/JX
28도지만	28/SN+도/NNB+이/VCP+지만/EC
한전은	한전/NNP+은/JX
실내	실내/NNG
온도를	온도/NNG+를/JKO
29도	29/SN+도/NNB
이상으로	이상/NNG+으로/JKB
유지하고,	유지/NNG+하/XSV+고/EC+,/SP
그나마도	그나마/MAG+도/JX
7일처럼	7/SN+일/NNB+처럼/JKB
예비전력이	예비/NNG+전력/NNG+이/JKS
300만	300/SN+만/NR
kW	kW/SW
아래로	아래/NNG+로/JKB
떨어지면	떨어지/VV+면/EC
냉방장치를	냉방/NNG+장치/NNG+를/JKO
아예	아예/MAG
꺼	끄/VV+어/EC
버리기	버리/VX+기/ETM
때문이다.	때문/NNB+이/VCP+다/EF+./SF


