# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.207
metadata : {}


# id : NWRW1800000052.207.1.1
“박근혜 정부에 3년간 말했는데 외면…건보 부과체계 개편하려 야당 택해”

“박근혜	“/SS+박근혜/NNP
정부에	정부/NNG+에/JKB
3년간	3/SN+년/NNB+간/XSN
말했는데	말/NNG+하/XSV+았/EP+는데/EC
외면…건보	외면/NNG+…/SE+건보/NNG
부과체계	부과/NNG+체계/NNG
개편하려	개편/NNG+하/XSV+려/EC
야당	야당/NNG
택해”	택하/VV+아/EF+”/SS


# id : NWRW1800000052.207.2.1
김종대 전 건보공단 이사장

김종대	김종대/NNP
전	전/MMD
건보공단	건보공단/NNP
이사장	이사장/NNG


# id : NWRW1800000052.207.3.1
“송파 세모녀는 한달 5만원 냈지만

“송파	“/SS+송파/NNP
세모녀는	세/MMN+모녀/NNG+는/JX
한달	한/MMN+달/NNB
5만원	5/SN+만/NR+원/NNB
냈지만	내/VV+었/EP+지만/EC


# id : NWRW1800000052.207.4.1
난 수천만원 연금에도 한푼 안내

난	나/NP+ㄴ/JX
수천만원	수천만/NR+원/NNB
연금에도	연금/NNG+에/JKB+도/JX
한푼	한/MMN+푼/NNB
안내	안/MAG+내/VV+어/EF


# id : NWRW1800000052.207.5.1
이게 제대로 된 건보료 체계인가”

이게	이거/NP+이/JKS
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
건보료	건보료/NNG
체계인가”	체계/NNG+이/VCP+ㄴ가/EF+”/SS


# id : NWRW1800000052.207.6.1
TK 김 전 이사장 ‘이유있는 변심’

TK	TK/SL
김	김/NNP
전	전/MMD
이사장	이사장/NNG
‘이유있는	‘/SS+이유/NNG+있/VA+는/ETM
변심’	변심/NNG+’/SS


# id : NWRW1800000052.207.7.1
“대구·경북(TK) 출신으로 거의 평생 새누리당과 가까웠던 제가 더불어민주당으로 간다고 하니까, 대구에 있는 친구들이 깜짝 놀랐죠.

“대구·경북(TK)	“/SS+대구/NNP+·/SP+경북/NNP+(/SS+TK/SL+)/SS
출신으로	출신/NNG+으로/JKB
거의	거의/MAG
평생	평생/NNG
새누리당과	새누리당/NNP+과/JKB
가까웠던	가깝/VA+었/EP+던/ETM
제가	제/NP+가/JKS
더불어민주당으로	더불어민주당/NNP+으로/JKB
간다고	가/VV+ㄴ다고/EC
하니까,	하/VV+니까/EC+,/SP
대구에	대구/NNP+에/JKB
있는	있/VA+는/ETM
친구들이	친구/NNG+들/XSN+이/JKS
깜짝	깜짝/MAG
놀랐죠.	놀라/VV+았/EP+죠/EF+./SF


# id : NWRW1800000052.207.7.2
이명박·박근혜 정부에서 3년 동안 건강보험공단 이사장으로 일하면서 소득이 많으면 많이 내고 못 벌면 덜 내는 ‘건강보험료 부과 체계’를 만들려 했는데 정부와 여당이 움직이지 않았습니다.

이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
정부에서	정부/NNG+에서/JKB
3년	3/SN+년/NNB
동안	동안/NNG
건강보험공단	건강보험공단/NNP
이사장으로	이사장/NNG+으로/JKB
일하면서	일/NNG+하/XSV+면서/EC
소득이	소득/NNG+이/JKS
많으면	많/VA+으면/EC
많이	많이/MAG
내고	내/VV+고/EC
못	못/MAG
벌면	벌/VV+면/EC
덜	덜/MAG
내는	내/VV+는/ETM
‘건강보험료	‘/SS+건강/NNG+보험료/NNG
부과	부과/NNG
체계’를	체계/NNG+’/SS+를/JKO
만들려	만들/VV+려/EC
했는데	하/VX+았/EP+는데/EC
정부와	정부/NNG+와/JC
여당이	여당/NNG+이/JKS
움직이지	움직이/VV+지/EC
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000052.207.7.3
정권교체가 돼야 부과체계 개편을 중심으로 건강보험제도에 대한 개혁이 가능하겠기에 옮긴 겁니다.”

정권교체가	정권/NNG+교체/NNG+가/JKC
돼야	되/VV+어야/EC
부과체계	부과/NNG+체계/NNG
개편을	개편/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
건강보험제도에	건강/NNG+보험/NNG+제도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개혁이	개혁/NNG+이/JKS
가능하겠기에	가능/NNG+하/XSA+겠/EP+기에/EC
옮긴	옮기/VV+ㄴ/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000052.207.8.1
25일 오후 서울 시내에서 만난 김종대(사진) 전 국민건강보험공단 이사장은 지난달 8일 더민주에 입당했다.

25일	25/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
시내에서	시내/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
김종대(사진)	김종대/NNP+(/SS+사진/NNG+)/SS
전	전/MMD
국민건강보험공단	국민건강보험공단/NNP
이사장은	이사장/NNG+은/JX
지난달	지난달/NNG
8일	8/SN+일/NNB
더민주에	더민주/NNP+에/JKB
입당했다.	입당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.8.2
현재 보건의료 분야 정책위원을 맡고 있다.

현재	현재/MAG
보건의료	보건/NNG+의료/NNG
분야	분야/NNG
정책위원을	정책/NNG+위원/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.207.8.3
김 전 이사장은 보건복지부 공무원 출신으로 1999년 사직한 뒤, 2006년 새누리당의 전신인 한나라당에서 원내대표 자문위원장을 맡았고, 이명박·박근혜 정부(2011~2014년)에서 건강보험공단 이사장을 지냈다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
보건복지부	보건/NNG+복지부/NNG
공무원	공무원/NNG
출신으로	출신/NNG+으로/JKB
1999년	1999/SN+년/NNB
사직한	사직/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
2006년	2006/SN+년/NNB
새누리당의	새누리당/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
한나라당에서	한나라당/NNP+에서/JKB
원내대표	원내/NNG+대표/NNG
자문위원장을	자문/NNG+위원장/NNG+을/JKO
맡았고,	맡/VV+았/EP+고/EC+,/SP
이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
정부(2011~2014년)에서	정부/NNG+(/SS+2011/SN+~/SO+2014/SN+년/NNB+)/SS+에서/JKB
건강보험공단	건강보험공단/NNP
이사장을	이사장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.207.9.1
김 전 이사장은 “공단 이사장 시절 건보료 부과체계 개선안을 거의 다 만들어놨는데 현 정부와 새누리당이 시간만 끌면서 추진하지 않았다”며 “중국 고전 <예기>에 보면 임금에게 3번 건의해도 이를 듣지 않으면 떠나라는 말이 있는데, 박근혜 정부에 3번이 아니라 3년 동안 얘기했는데도 듣지 않았다”고 말했다.

김	김/NNP
전	전/MMD
이사장은	이사장/NNG+은/JX
“공단	“/SS+공단/NNG
이사장	이사장/NNG
시절	시절/NNG
건보료	건보료/NNG
부과체계	부과/NNG+체계/NNG
개선안을	개선안/NNG+을/JKO
거의	거의/MAG
다	다/MAG
만들어놨는데	만들/VV+어/EC+놓/VX+았/EP+는데/EC
현	현/MMD
정부와	정부/NNG+와/JC
새누리당이	새누리당/NNP+이/JKS
시간만	시간/NNG+만/JX
끌면서	끌/VV+면서/EC
추진하지	추진/NNG+하/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“중국	“/SS+중국/NNP
고전	고전/NNG
<예기>에	</SS+예기/NNP+>/SS+에/JKB
보면	보/VV+면/EC
임금에게	임금/NNG+에게/JKB
3번	3/SN+번/NNB
건의해도	건의/NNG+하/XSV+아도/EC
이를	이/NP+를/JKO
듣지	듣/VV+지/EC
않으면	않/VX+으면/EC
떠나라는	떠나/VV+라는/ETM
말이	말/NNG+이/JKS
있는데,	있/VA+는데/EC+,/SP
박근혜	박근혜/NNP
정부에	정부/NNG+에/JKB
3번이	3/SN+번/NNB+이/JKC
아니라	아니/VCN+라/EC
3년	3/SN+년/NNB
동안	동안/NNG
얘기했는데도	얘기/NNG+하/XSV+았/EP+는데/EC+도/JX
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.207.10.1
건보료 부과체계 개선안은 근로소득 외 별도 소득이 있는 직장가입자와 많은 소득이 있지만 피부양자로 무임승차하는 이들에게는 보험료를 더 내게 하고, 소득이 거의 없지만 전월세를 재산으로 간주해 많은 보험료를 내는 지역가입자들의 부담을 줄여주자는 내용이다.

건보료	건보료/NNG
부과체계	부과/NNG+체계/NNG
개선안은	개선안/NNG+은/JX
근로소득	근로/NNG+소득/NNG
외	외/NNB
별도	별도/NNG
소득이	소득/NNG+이/JKS
있는	있/VA+는/ETM
직장가입자와	직장/NNG+가입자/NNG+와/JC
많은	많/VA+은/ETM
있지만	있/VA+지만/EC
피부양자로	피/XPN+부양자/NNG+로/JKB
