# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.388
metadata : {}


# id : NWRW1800000037.388.1.1
헌재, 통진당에 답변서 제출 명령

헌재,	헌재/NNG+,/SP
통진당에	통진당/NNP+에/JKB
답변서	답변서/NNG
제출	제출/NNG
명령	명령/NNG


# id : NWRW1800000037.388.2.1
첫 평의 개최… 법무부엔 입증자료 요구

첫	첫/MMN
평의	평의/NNG
개최…	개최/NNG+…/SE
법무부엔	법무부/NNG+에/JKB+ㄴ/JX
입증자료	입증/NNG+자료/NNG
요구	요구/NNG


# id : NWRW1800000037.388.3.1
정부의 통합진보당에 대한 정당해산 심판 청구와 더불어 정당 활동 금지 가처분 신청에 대해 헌법재판소가 언제 결정을 내릴지 관심이 쏠리고 있다.

정부의	정부/NNG+의/JKG
통합진보당에	통합진보당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정당해산	정당/NNG+해산/NNG
심판	심판/NNG
청구와	청구/NNG+와/JKB
더불어	더불/VV+어/EC
정당	정당/NNG
활동	활동/NNG
금지	금지/NNG
가처분	가/XPN+처분/NNG
신청에	신청/NNG+에/JKB
대해	대하/VV+아/EC
헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
언제	언제/MAG
결정을	결정/NNG+을/JKO
내릴지	내리/VV+ㄹ지/EF
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.388.3.2
헌재는 7일 재판관 9명 전원이 참석하는 평의를 열고 관련 논의를 본격적으로 시작했다.

헌재는	헌재/NNG+는/JX
7일	7/SN+일/NNB
재판관	재판관/NNG
9명	9/SN+명/NNB
전원이	전원/NNG+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
평의를	평의/NNG+를/JKO
열고	열/VV+고/EC
관련	관련/NNG
논의를	논의/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.388.3.3
법무부가 가처분으로 신청한 정당 활동 금지 대상에는 △공직선거 후보 추천 △정당 정책 홍보 △선거 참여 △당원 모집과 함께 △합당, 분당, 해산, 당명 변경 △강령, 당헌당규 개정 △당원의 제명이나 입당 또는 탈당 △정당보조금 수령 △국회의원 집무 활동 등이 포함됐다.

법무부가	법무부/NNG+가/JKS
가처분으로	가/XPN+처분/NNG+으로/JKB
신청한	신청/NNG+하/XSV+ㄴ/ETM
정당	정당/NNG
활동	활동/NNG
금지	금지/NNG
대상에는	대상/NNG+에/JKB+는/JX
△공직선거	△/SW+공직/NNG+선거/NNG
후보	후보/NNG
추천	추천/NNG
△정당	△/SW+정당/NNG
정책	정책/NNG
홍보	홍보/NNG
△선거	△/SW+선거/NNG
참여	참여/NNG
△당원	△/SW+당원/NNG
모집과	모집/NNG+과/JKB
함께	함께/MAG
△합당,	△/SW+합당/NNG+,/SP
분당,	분당/NNG+,/SP
해산,	해산/NNG+,/SP
당명	당명/NNG
변경	변경/NNG
△강령,	△/SW+강령/NNG+,/SP
당헌당규	당헌/NNG+당규/NNG
개정	개정/NNG
△당원의	△/SW+당원/NNG+의/JKG
제명이나	제명/NNG+이나/JC
입당	입당/NNG
또는	또는/MAG
탈당	탈당/NNG
△정당보조금	△/SW+정당/NNG+보조금/NNG
수령	수령/NNG
△국회의원	△/SW+국회/NNG+의원/NNG
집무	집무/NNG
등이	등/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.388.3.4
헌재가 정당 해산 결정을 내리기 전 당헌을 개정하거나 해산 또는 탈당하는 식으로 헌재의 정당 해산 결정을 교묘하게 무력화하려는 ‘꼼수’를 차단하기 위해서다.

헌재가	헌재/NNG+가/JKS
정당	정당/NNG
해산	해산/NNG
결정을	결정/NNG+을/JKO
내리기	내리/VV+기/ETN
전	전/NNG
당헌을	당헌/NNG+을/JKO
개정하거나	개정/NNG+하/XSV+거나/EC
또는	또는/MAG
탈당하는	탈당/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
헌재의	헌재/NNG+의/JKG
교묘하게	교묘하/VA+게/EC
무력화하려는	무력/NNG+화/XSN+하/XSV+려는/ETM
‘꼼수’를	‘/SS+꼼수/NNG+’/SS+를/JKO
차단하기	차단/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000037.388.4.1
법무부 측은 통진당에 정당보조금이 지급되는 15일 이전에는 가처분 결정이 이뤄져야 한다고 보고 있다.

법무부	법무부/NNG
측은	측/NNB+은/JX
통진당에	통진당/NNP+에/JKB
정당보조금이	정당/NNG+보조금/NNG+이/JKS
지급되는	지급/NNG+되/XSV+는/ETM
15일	15/SN+일/NNB
이전에는	이전/NNG+에/JKB+는/JX
가처분	가/XPN+처분/NNG
결정이	결정/NNG+이/JKS
이뤄져야	이뤄지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.388.4.2
가처분 결정이 이날 이후로 미뤄지면 통진당은 약 6억8400만 원에 이르는 정당보조금을 수령하게 된다.

가처분	가/XPN+처분/NNG
결정이	결정/NNG+이/JKS
이날	이날/NNG
이후로	이후/NNG+로/JKB
미뤄지면	미루/VV+어/EC+지/VX+면/EC
통진당은	통진당/NNP+은/JX
약	약/MMA
6억8400만	6/SN+억/NR+8400/SN+만/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
정당보조금을	정당/NNG+보조금/NNG+을/JKO
수령하게	수령/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


