# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.235
metadata : {}


# id : NWRW1800000024.235.1.1
감사팀장은 ‘이권 연루’ 논란

감사팀장은	감사/NNG+팀장/NNG+은/JX
‘이권	‘/SS+이권/NNG
연루’	연루/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000024.235.2.1
청와대 내부감찰 책임자가 직접 관련이 없는 분야의 상표 출원자로 이름을 올려 논란이 일고 있다.

청와대	청와대/NNP
내부감찰	내부/NNG+감찰/NNG
책임자가	책임자/NNG+가/JKS
직접	직접/MAG
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
분야의	분야/NNG+의/JKG
상표	상표/NNG
출원자로	출원자/NNG+로/JKB
이름을	이름/NNG+을/JKO
올려	올리/VV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.235.3.1
5일 특허청에 따르면 청와대 민정수석실 소속 배건기 감사팀장(51·선임행정관)은 지난해 11월26일 전기 기술자인 정아무개씨, 기계설비 제조업자인 이아무개씨와 함께 ‘T○○’이라는 영문상표 등록을 출원했다.

5일	5/SN+일/NNB
특허청에	특허청/NNG+에/JKB
따르면	따르/VV+면/EC
청와대	청와대/NNP
민정수석실	민정/NNG+수석실/NNG
소속	소속/NNG
배건기	배건기/NNP
감사팀장(51·선임행정관)은	감사/NNG+팀장/NNG+(/SS+51/SN+·/SP+선임/NNG+행정관/NNG+)/SS+은/JX
지난해	지난해/NNG
11월26일	11/SN+월/NNB+26/SN+일/NNB
전기	전기/NNG
기술자인	기술자/NNG+이/VCP+ㄴ/ETM
정아무개씨,	정/NNP+아무개/NP+씨/NNB+,/SP
기계설비	기계/NNG+설비/NNG
제조업자인	제조업자/NNG+이/VCP+ㄴ/ETM
이아무개씨와	이/NNP+아무개/NP+씨/NNB+와/JKB
함께	함께/MAG
‘T○○’이라는	‘/SS+T/SL+○/SW+○/SW+’/SS+이/VCP+라는/ETM
영문상표	영문/NNG+상표/NNG
등록을	등록/NNG+을/JKO
출원했다.	출원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.235.3.2
배 팀장의 친구인 신아무개씨도 이름을 올려 모두 4명이 상표 출원인으로 접수됐다.

배	배/NNP
팀장의	팀장/NNG+의/JKG
친구인	친구/NNG+이/VCP+ㄴ/ETM
신아무개씨도	신/NNP+아무개/NP+씨/NNB+도/JX
이름을	이름/NNG+을/JKO
올려	올리/VV+어/EC
모두	모두/MAG
4명이	4/SN+명/NNB+이/JKS
상표	상표/NNG
출원인으로	출원인/NNG+으로/JKB
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.235.3.3
이 사실은 특허정보검색서비스(www.kipris.or.kr)로 확인할 수 있다.

이	이/MMD
사실은	사실/NNG+은/JX
특허정보검색서비스(www.kipris.or.kr)로	특허/NNG+정보/NNG+검색/NNG+서비스/NNG+(/SS+www/SL+./SP+kipris/SL+./SP+or/SL+./SP+kr/SL+)/SS+로/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.235.3.4
특허청의 심사를 거쳐 상표 등록이 되면 출원인 외의 다른 사람은 해당 상표를 상업적으로 사용할 수 없다.

특허청의	특허청/NNG+의/JKG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
상표	상표/NNG
등록이	등록/NNG+이/JKS
되면	되/VV+면/EC
출원인	출원인/NNG
외의	외/NNB+의/JKG
다른	다른/MMD
사람은	사람/NNG+은/JX
해당	해당/NNG
상표를	상표/NNG+를/JKO
상업적으로	상업/NNG+적/XSN+으로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.235.3.5
배 팀장 등이 출원한 상표는 발전기 등에 사용하기 위한 것으로, 심사 대기중이다.

배	배/NNP
팀장	팀장/NNG
등이	등/NNB+이/JKS
출원한	출원/NNG+하/XSV+ㄴ/ETM
상표는	상표/NNG+는/JX
발전기	발전기/NNG
등에	등/NNB+에/JKB
사용하기	사용/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
심사	심사/NNG
대기중이다.	대기/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.235.4.1
상표 출원인들 가운데 배 팀장과 친구 신씨는 발전기 기술이나 설비제작과 직접적 관련이 없다.

상표	상표/NNG
출원인들	출원인/NNG+들/XSN
가운데	가운데/NNG
배	배/NNP
