# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.287
metadata : {}


# id : NWRW1800000025.287.1.1
연세대, 우수학생 추천 잘한 교사에 학생선발권 준다

연세대,	연세대/NNP+,/SP
우수학생	우수/NNG+학생/NNG
추천	추천/NNG
잘한	잘/MAG+하/XSV+ㄴ/ETM
교사에	교사/NNG+에/JKB
학생선발권	학생/NNG+선발/NNG+권/XSN
준다	주/VV+ㄴ다/EF


# id : NWRW1800000025.287.2.1
연세대는 일부 고등학교 교사가 추천하는 학생에게 입학에서 우선권을 주는 선발제도를 도입하기로 했다.

연세대는	연세대/NNP+는/JX
일부	일부/NNG
고등학교	고등학교/NNG
교사가	교사/NNG+가/JKS
추천하는	추천/NNG+하/XSV+는/ETM
학생에게	학생/NNG+에게/JKB
입학에서	입학/NNG+에서/JKB
우선권을	우선/NNG+권/XSN+을/JKO
주는	주/VV+는/ETM
선발제도를	선발/NNG+제도/NNG+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.287.2.2
연세대 입학처는 2012학년도 입시부터 기존 입시에서 우수 학생을 추천해온 고등학교 교사가 강력히 추천하는 경우 해당 추천 학생을 우선적으로 선발하는 제도를 도입한다고 7일 밝혔다.

연세대	연세대/NNP
입학처는	입학처/NNG+는/JX
2012학년도	2012/SN+학년도/NNG
입시부터	입시/NNG+부터/JX
기존	기존/NNG
입시에서	입시/NNG+에서/JKB
우수	우수/NNG
학생을	학생/NNG+을/JKO
추천해온	추천/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
고등학교	고등학교/NNG
교사가	교사/NNG+가/JKS
강력히	강력히/MAG
추천하는	추천/NNG+하/XSV+는/ETM
경우	경우/NNG
해당	해당/NNG
추천	추천/NNG
우선적으로	우선/NNG+적/XSN+으로/JKB
선발하는	선발/NNG+하/XSV+는/ETM
제도를	제도/NNG+를/JKO
도입한다고	도입/NNG+하/XSV+ㄴ다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.287.2.3
이는 대학의 학생 입학 결정 권한의 일부를 고교 교사에게 부여하는 것으로 국내 대학 중에는 처음 도입하는 것이라고 학교 측은 밝혔다.

이는	이/NP+는/JX
대학의	대학/NNG+의/JKG
학생	학생/NNG
입학	입학/NNG
결정	결정/NNG
권한의	권한/NNG+의/JKG
일부를	일부/NNG+를/JKO
고교	고교/NNG
교사에게	교사/NNG+에게/JKB
부여하는	부여/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
국내	국내/NNG
대학	대학/NNG
