# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.334
metadata : {}


# id : NWRW1800000056.334.1.1
손학규, 국민의당 입당 “패권교체는 안돼”

손학규,	손학규/NNP+,/SP
국민의당	국민의당/NNP
입당	입당/NNG
“패권교체는	“/SS+패권/NNG+교체/NNG+는/JX
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000056.334.2.1
“친문패권 아닌 정권교체를” 주장

“친문패권	“/SS+친/XPN+문/NNP+패권/NNG
아닌	아니/VCN+ㄴ/ETM
정권교체를”	정권/NNG+교체/NNG+를/JKO+”/SS
주장	주장/NNG


# id : NWRW1800000056.334.3.1
손학규 국민주권개혁회의 의장이 17일 국민의당에 입당했다.

손학규	손학규/NNP
국민주권개혁회의	국민/NNG+주권/NNG+개혁/NNG+회의/NNG
의장이	의장/NNG+이/JKS
17일	17/SN+일/NNB
국민의당에	국민의당/NNP+에/JKB
입당했다.	입당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.334.4.1
손 의장은 이날 국회에서 열린 입당식에서 “국민은 친박(박근혜) 패권에서 친문(문재인) 패권으로 바뀌는 패권 교체가 아닌 나라의 근본을 바꾸고 나의 삶을 바꿔줄 진짜 정권 교체를 원하고 있다”며 “진정한 정권교체를 이룩한 새정치국민회의·국민의 정부를 계승한 국민의당이 진짜 정권 교체의 주역이 돼야 한다”고 말했다.

손	손/NNP
의장은	의장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
입당식에서	입당식/NNG+에서/JKB
“국민은	“/SS+국민/NNG+은/JX
친박(박근혜)	친/XPN+박/NNP+(/SS+박근혜/NNP+)/SS
패권에서	패권/NNG+에서/JKB
친문(문재인)	친/XPN+문/NNP+(/SS+문재인/NNP+)/SS
패권으로	패권/NNG+으로/JKB
바뀌는	바뀌/VV+는/ETM
패권	패권/NNG
교체가	교체/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
나라의	나라/NNG+의/JKG
근본을	근본/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
나의	나/NP+의/JKG
삶을	삶/NNG+을/JKO
바꿔줄	바꾸/VV+어/EC+주/VX+ㄹ/ETM
진짜	진짜/NNG
정권	정권/NNG
교체를	교체/NNG+를/JKO
원하고	원/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“진정한	“/SS+진정하/VA+ㄴ/ETM
정권교체를	정권/NNG+교체/NNG+를/JKO
이룩한	이룩하/VV+ㄴ/ETM
새정치국민회의·국민의	새정치국민회의/NNP+·/SP+국민/NNG+의/JKG
정부를	정부/NNG+를/JKO
계승한	계승/NNG+하/XSV+ㄴ/ETM
국민의당이	국민의당/NNP+이/JKS
교체의	교체/NNG+의/JKG
주역이	주역/NNG+이/JKC
돼야	되/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.334.4.2
더불어민주당에 있다가 손 의장을 따라 탈당해 최근 무소속으로 있던 이찬열 의원과 박우섭 인천 남구청장도 이날 국민의당에 동반 합류했다.

더불어민주당에	더불어민주당/NNP+에/JKB
있다가	있/VA+다가/EC
손	손/NNP
의장을	의장/NNG+을/JKO
따라	따르/VV+아/EC
탈당해	탈당/NNG+하/XSV+아/EC
최근	최근/MAG
무소속으로	무/XPN+소속/NNG+으로/JKB
있던	있/VA+던/ETM
이찬열	이찬열/NNP
의원과	의원/NNG+과/JC
박우섭	박우섭/NNP
인천	인천/NNP
남구청장도	남구청장/NNG+도/JX
이날	이날/NNG
국민의당에	국민의당/NNP+에/JKB
동반	동반/NNG
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.334.4.3
이날 입당식에는 손 의장과 대선 후보 자리를 놓고 당내에서 경쟁하게 될 안철수·천정배 전 공동대표도 모습을 드러냈다.

이날	이날/NNG
입당식에는	입당식/NNG+에/JKB+는/JX
손	손/NNP
의장과	의장/NNG+과/JKB
대선	대선/NNG
후보	후보/NNG
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
당내에서	당내/NNG+에서/JKB
경쟁하게	경쟁/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
안철수·천정배	안철수/NNP+·/SP+천정배/NNP
전	전/MMD
공동대표도	공동/NNG+대표/NNG+도/JX
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.334.4.4
안 전 대표는 손 의장에 대해 “제가 존경하는 훌륭한 정치인”이라고 평가한 뒤 “저도 열심히 협력하고 경쟁해서 반드시 정권을 교체하겠다”라고 말했다.

안	안/NNP
전	전/MMD
대표는	대표/NNG+는/JX
손	손/NNP
의장에	의장/NNG+에/JKB
대해	대하/VV+아/EC
“제가	“/SS+제/NP+가/JKS
존경하는	존경/NNG+하/XSV+는/ETM
훌륭한	훌륭하/VA+ㄴ/ETM
정치인”이라고	정치인/NNG+”/SS+이라고/JKQ
평가한	평가/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“저도	“/SS+저/NP+도/JX
열심히	열심히/MAG
협력하고	협력/NNG+하/XSV+고/EC
경쟁해서	경쟁/NNG+하/XSV+아서/EC
반드시	반드시/MAG
정권을	정권/NNG+을/JKO
교체하겠다”라고	교체/NNG+하/XSV+겠/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.334.4.5
손 의장은 입당식 뒤 기자들과 만나 경선 룰과 관련해서 “모바일(휴대전화) 투표는 중앙선관위조차 관리하지 못 하겠다고 할 정도로 공정성이 인정되지 않았다”며 “절대 안 된다”고 선을 그었다.

손	손/NNP
의장은	의장/NNG+은/JX
입당식	입당식/NNG
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
경선	경선/NNG
룰과	룰/NNG+과/JKB
관련해서	관련/NNG+하/XSV+아서/EC
“모바일(휴대전화)	“/SS+모바일/NNG+(/SS+휴대/NNG+전화/NNG+)/SS
투표는	투표/NNG+는/JX
중앙선관위조차	중앙/NNG+선관위/NNG+조차/JX
관리하지	관리/NNG+하/XSV+지/EC
못	못/MAG
하겠다고	하/VV+겠/EP+다고/EC
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
공정성이	공정/NNG+성/XSN+이/JKS
인정되지	인정/NNG+되/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“절대	“/SS+절대/MAG
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.334.4.6
그는 지난 2007년, 2012년 모바일 투표가 도입된 당내 경선에서 크게 패한 바 있다.

그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
2007년,	2007/SN+년/NNB+,/SP
2012년	2012/SN+년/NNB
모바일	모바일/NNG
투표가	투표/NNG+가/JKS
도입된	도입/NNG+되/XSV+ㄴ/ETM
당내	당내/NNG
경선에서	경선/NNG+에서/JKB
크게	크/VA+게/EC
패한	패/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.334.4.7
국민의당은 경선 룰을 마련하는 동시에 정운찬 전 국무총리 영입에도 노력하는 등 대선 준비를 본격화할 계획이다.

국민의당은	국민의당/NNP+은/JX
경선	경선/NNG
룰을	룰/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
정운찬	정운찬/NNP
전	전/MMD
국무총리	국무총리/NNG
영입에도	영입/NNG+에/JKB+도/JX
노력하는	노력/NNG+하/XSV+는/ETM
등	등/NNB
대선	대선/NNG
준비를	준비/NNG+를/JKO
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


