# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.270
metadata : {}


# id : NWRW1800000041.270.1.1
[오늘과 내일/방형남]北을 변화시켜야 ‘통일대박’ 된다

[오늘과	[/SS+오늘/NNG+과/JC
내일/방형남]北을	내일/NNG+//SP+방형남/NNP+]/SS+北/SH+을/JKO
변화시켜야	변화/NNG+시키/XSV+어야/EC
‘통일대박’	‘/SS+통일/NNG+대박/NNG+’/SS
된다	되/VV+ㄴ다/EF


# id : NWRW1800000041.270.2.1
방형남 논설위원과거 남북관계는 대개 북한이 주도했다.

방형남	방형남/NNP
논설위원과거	논설위원/NNG+과거/NNG
남북관계는	남북/NNP+관계/NNG+는/JX
대개	대개/MAG
북한이	북한/NNP+이/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.270.2.2
북한이 1월 1일 발표하는 신년사설이 그해 남북관계의 이정표가 되는 경우가 많았다.

북한이	북한/NNP+이/JKS
1월	1/SN+월/NNB
1일	1/SN+일/NNB
발표하는	발표/NNG+하/XSV+는/ETM
신년사설이	신년/NNG+사설/NNG+이/JKS
그해	그해/NNG
남북관계의	남북/NNP+관계/NNG+의/JKG
이정표가	이정표/NNG+가/JKC
되는	되/VV+는/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.270.2.3
우리 정부는 북한의 신년사설을 분석해 대응방법을 찾았지만 허둥대며 끌려 다닌 경우가 많았다.

우리	우리/NP
정부는	정부/NNG+는/JX
북한의	북한/NNP+의/JKG
신년사설을	신년/NNG+사설/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
대응방법을	대응/NNG+방법/NNG+을/JKO
찾았지만	찾/VV+았/EP+지만/EC
허둥대며	허둥대/VV+며/EC
끌려	끌리/VV+어/EC
다닌	다니/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.270.3.1
북한이 주로 봄에 저지르는 도발도 한 해 남북관계를 주도하려는 노림수다.

북한이	북한/NNP+이/JKS
주로	주로/MAG
봄에	봄/NNG+에/JKB
저지르는	저지르/VV+는/ETM
도발도	도발/NNG+도/JX
한	한/MMN
해	해/NNB
남북관계를	남북/NNP+관계/NNG+를/JKO
주도하려는	주도/NNG+하/XSV+려는/ETM
노림수다.	노림수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.270.3.2
북한은 지난해 2월 3차 핵실험을 하고 4년 전 3월에는 천안함 폭침도발을 저질러 한반도의 봄을 ‘잔인한 계절’로 만들었다.

북한은	북한/NNP+은/JX
지난해	지난해/NNG
2월	2/SN+월/NNB
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
하고	하/VV+고/EC
4년	4/SN+년/NNB
전	전/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
천안함	천안함/NNP
폭침도발을	폭침/NNG+도발/NNG+을/JKO
저질러	저지르/VV+어/EC
한반도의	한반도/NNP+의/JKG
봄을	봄/NNG+을/JKO
‘잔인한	‘/SS+잔인/NNG+하/XSA+ㄴ/ETM
계절’로	계절/NNG+’/SS+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.270.3.3
