# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.342
metadata : {}


# id : NWRW1800000036.342.1.1
[유레카] 석굴암의 원흉 / 노형석

[유레카]	[/SS+유레카/NNG+]/SS
석굴암의	석굴암/NNP+의/JKG
원흉	원흉/NNG
/	//SP
노형석	노형석/NNP


# id : NWRW1800000036.342.2.1
[한겨레] 국보 중 국보인 경주 석굴암의 자태가 처음 사진에 잡힌 것은 1909년 4월 말이다.

[한겨레]	[/SS+한겨레/NNP+]/SS
국보	국보/NNG
중	중/NNB
국보인	국보/NNG+이/VCP+ㄴ/ETM
경주	경주/NNP
석굴암의	석굴암/NNP+의/JKG
자태가	자태/NNG+가/JKS
처음	처음/NNG
사진에	사진/NNG+에/JKB
잡힌	잡히/VV+ㄴ/ETM
것은	것/NNB+은/JX
1909년	1909/SN+년/NNB
4월	4/SN+월/NNB
말이다.	말/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.342.2.2
그 이듬해 안중근에게 사살된 이토 히로부미 통감의 2인자 소네 아라스케 부통감이 토함산 석굴을 ‘순시’하다 찍은 것이다.

그	그/MMD
이듬해	이듬해/NNG
안중근에게	안중근/NNP+에게/JKB
사살된	사살/NNG+되/XSV+ㄴ/ETM
이토	이토/NNP
히로부미	히로부미/NNP
통감의	통감/NNG+의/JKG
2인자	2인자/NNG
소네	소네/NNP
아라스케	아라스케/NNP
부통감이	부통감/NNG+이/JKS
토함산	토함산/NNP
석굴을	석굴/NNG+을/JKO
‘순시’하다	‘/SS+순시/NNG+’/SS+하/XSV+다/EC
찍은	찍/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.342.2.3
1910년 출간된 <조선미술대관>에 이 빛바랜 사진이 전한다.

1910년	1910/SN+년/NNB
출간된	출간/NNG+되/XSV+ㄴ/ETM
<조선미술대관>에	</SS+조선미술대관/NNP+>/SS+에/JKB
이	이/MMD
빛바랜	빛바래/VA+ㄴ/ETM
사진이	사진/NNG+이/JKS
전한다.	전하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.342.2.4
검은 제복의 통감부 관료들이 석굴 본존불과 석재 더미 등에 앉아 전리품 얻은 듯 위엄을 뽐내는 모습이다.

검은	검/VA+은/ETM
제복의	제복/NNG+의/JKG
통감부	통감부/NNG
관료들이	관료/NNG+들/XSN+이/JKS
석굴	석굴/NNG
본존불과	본존불/NNG+과/JC
석재	석재/NNG
더미	더미/NNG
등에	등/NNB+에/JKB
앉아	앉/VV+아/EC
전리품	전리품/NNG
얻은	얻/VV+은/ETM
듯	듯/NNB
위엄을	위엄/NNG+을/JKO
뽐내는	뽐내/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.342.3.1
불교미술 애호가 소네는 ‘좋은 불상을 외진 곳에 놔두기 아깝다’는 명분으로 석굴을 뜯어 서울로 옮기기로 결심한다.

불교미술	불교/NNG+미술/NNG
애호가	애호가/NNG
소네는	소네/NNP+는/JX
‘좋은	‘/SS+좋/VA+은/ETM
불상을	불상/NNG+을/JKO
외진	외지/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
놔두기	놔두/VV+기/ETN
아깝다’는	아깝/VA+다/EF+’/SS+는/ETM
명분으로	명분/NNG+으로/JKB
석굴을	석굴/NNG+을/JKO
뜯어	뜯/VV+어/EC
서울로	서울/NNP+로/JKB
옮기기로	옮기/VV+기/ETN+로/JKB
결심한다.	결심/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.342.3.2
소네는 경북 관찰사에게 필요 예산을 보고하라고 지시한다.

소네는	소네/NNP+는/JX
경북	경북/NNP
관찰사에게	관찰사/NNG+에게/JKB
필요	필요/NNG
