# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.265
metadata : {}


# id : NWRW1800000032.265.1.1
“총장·이사회 독주에 기초학문 고사 우려”

“총장·이사회	“/SS+총장/NNG+·/SP+이사회/NNG
독주에	독주/NNG+에/JKB
기초학문	기초/NNG+학문/NNG
고사	고사/NNG
우려”	우려/NNG+”/SS


# id : NWRW1800000032.265.2.1
서울대 교수들 ‘법인정관 성토’

서울대	서울대/NNP
교수들	교수/NNG+들/XSN
‘법인정관	‘/SS+법인/NNG+정관/NNG
성토’	성토/NNG+’/SS


# id : NWRW1800000032.265.3.1
서울대가 내년 1월부터 국립대 법인으로 전환할 예정인 가운데, 서울대 교수들이 법인 정관 확정을 앞두고 우려의 목소리를 높이고 있다.

서울대가	서울대/NNP+가/JKS
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
국립대	국립대/NNG
법인으로	법인/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
가운데,	가운데/NNG+,/SP
서울대	서울대/NNP
교수들이	교수/NNG+들/XSN+이/JKS
법인	법인/NNG
정관	정관/NNG
확정을	확정/NNG+을/JKO
앞두고	앞두/VV+고/EC
우려의	우려/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.265.3.2
서울대 교수협의회와 인문대에 이어 자연과학대도 지난 11일 긴급 교수간담회를 열어 법인화 문제점에 대한 의견 수렴에 나섰다.

서울대	서울대/NNP
교수협의회와	교수/NNG+협의회/NNG+와/JC
인문대에	인문대/NNG+에/JKB
이어	잇/VV+어/EC
자연과학대도	자연/NNG+과학대/NNG+도/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
긴급	긴급/NNG
교수간담회를	교수/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
법인화	법인/NNG+화/XSN
문제점에	문제점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
수렴에	수렴/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.265.3.3
서울대 교수들은 법인 정관 초안에 총장과 이사회의 독주를 견제할 수 있는 장치가 마련돼 있지 않아, 학문 자율성이 침해되고 기초학문이 고사할 수 있다는 점을 문제 삼고 있다.

서울대	서울대/NNP
교수들은	교수/NNG+들/XSN+은/JX
법인	법인/NNG
정관	정관/NNG
초안에	초안/NNG+에/JKB
총장과	총장/NNG+과/JC
이사회의	이사회/NNG+의/JKG
독주를	독주/NNG+를/JKO
견제할	견제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장치가	장치/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않아,	않/VX+아/EC+,/SP
학문	학문/NNG
자율성이	자율/NNG+성/XSN+이/JKS
침해되고	침해/NNG+되/XSV+고/EC
기초학문이	기초/NNG+학문/NNG+이/JKS
고사할	고사/NNG+하/XSV+ㄹ/ETM
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
문제	문제/NNG
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.265.4.1
자연대 교수들은 간담회에서 교육·연구 자율성 규정과 기초학문진흥 대책이 법인 정관 초안에 제대로 반영돼 있지 않다는 데 의견을 같이했다.

자연대	자연대/NNG
교수들은	교수/NNG+들/XSN+은/JX
간담회에서	간담회/NNG+에서/JKB
교육·연구	교육/NNG+·/SP+연구/NNG
자율성	자율/NNG+성/XSN
규정과	규정/NNG+과/JC
기초학문진흥	기초/NNG+학문/NNG+진흥/NNG
대책이	대책/NNG+이/JKS
법인	법인/NNG
정관	정관/NNG
초안에	초안/NNG+에/JKB
제대로	제대로/MAG
반영돼	반영/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않다는	않/VX+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
같이했다.	같이/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.4.2
이에 따라 교수들은 △이사 선임 때 기초학문을 대표할 수 있는 인사 포함 △기초학문진흥기금 조성 △기초학문진흥위원회 구성 강화 등을 대안으로 제시했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
교수들은	교수/NNG+들/XSN+은/JX
△이사	△/SW+이사/NNG
선임	선임/NNG
때	때/NNG
기초학문을	기초/NNG+학문/NNG+을/JKO
대표할	대표/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인사	인사/NNG
포함	포함/NNG
△기초학문진흥기금	△/SW+기초/NNG+학문/NNG+진흥/NNG+기금/NNG
조성	조성/NNG
△기초학문진흥위원회	△/SW+기초/NNG+학문/NNG+진흥/NNG+위원회/NNG
구성	구성/NNG
강화	강화/NNG
등을	등/NNB+을/JKO
대안으로	대안/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.4.3
전헌수 자연대 기획부학장은 “이번 주말께 오연천 총장에게 간담회에서 나온 대안을 담은 의견서를 제출할 예정”이라고 말했다.

전헌수	전헌수/NNP
자연대	자연대/NNG
기획부학장은	기획/NNG+부학장/NNG+은/JX
“이번	“/SS+이번/NNG
주말께	주말/NNG+께/XSN
오연천	오연천/NNP
총장에게	총장/NNG+에게/JKB
간담회에서	간담회/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
대안을	대안/NNG+을/JKO
담은	담/VV+은/ETM
의견서를	의견서/NNG+를/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.4.4
인문대 교수들도 지난달 27일 간담회를 열어 법인 정관 초안을 놓고 교수들의 의견을 수렴해 8일 오 총장에게 의견서를 보냈다.

인문대	인문대/NNG
교수들도	교수/NNG+들/XSN+도/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
간담회를	간담회/NNG+를/JKO
열어	열/VV+어/EC
법인	법인/NNG
정관	정관/NNG
초안을	초안/NNG+을/JKO
놓고	놓/VV+고/EC
교수들의	교수/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
8일	8/SN+일/NNB
오	오/NNP
총장에게	총장/NNG+에게/JKB
의견서를	의견서/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.265.4.5
인문대 교수들은 법인 정관 초안의 모호한 규정들과 불확실한 재정확보 방안 등을 문제 삼았다.

인문대	인문대/NNG
교수들은	교수/NNG+들/XSN+은/JX
법인	법인/NNG
정관	정관/NNG
초안의	초안/NNG+의/JKG
모호한	모호하/VA+ㄴ/ETM
규정들과	규정/NNG+들/XSN+과/JC
불확실한	불확실/NNG+하/XSA+ㄴ/ETM
재정확보	재정/NNG+확보/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
문제	문제/NNG
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.5.1
서울대 교수협의회도 지난달 28일 소속 교수들의 의견을 모아 법인 정관 대안을 만들어 대학본부에 전달했다.

서울대	서울대/NNP
교수협의회도	교수/NNG+협의회/NNG+도/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
소속	소속/NNG
교수들의	교수/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
모아	모으/VV+아/EC
법인	법인/NNG
정관	정관/NNG
대안을	대안/NNG+을/JKO
만들어	만들/VV+어/EC
대학본부에	대학/NNG+본부/NNG+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.5.2
교수협은 현행 서울대 법인화법과 법인 정관 초안이 평의원회(평교수로 구성된 기구로 대학발전과 교육에 관한 중요사항을 최종 심의·의결하는 기구)의 기능을 약화시키고, 총장과 이사회의 권한만 강화하도록 돼 있다고 지적했다.

교수협은	교수협/NNG+은/JX
현행	현행/NNG
서울대	서울대/NNP
법인화법과	법인/NNG+화/XSN+법/NNG+과/JC
법인	법인/NNG
정관	정관/NNG
초안이	초안/NNG+이/JKS
평의원회(평교수로	평의원회/NNG+(/SS+평교수/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
기구로	기구/NNG+로/JKB
대학발전과	대학/NNG+발전/NNG+과/JC
교육에	교육/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
중요사항을	중요/NNG+사항/NNG+을/JKO
최종	최종/NNG
심의·의결하는	심의/NNG+·/SP+의결/NNG+하/XSV+는/ETM
기구)의	기구/NNG+)/SS+의/JKG
기능을	기능/NNG+을/JKO
약화시키고,	약화/NNG+시키/XSV+고/EC+,/SP
총장과	총장/NNG+과/JC
이사회의	이사회/NNG+의/JKG
권한만	권한/NNG+만/JX
강화하도록	강화/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.5.3
이에 따라 교수협은 평의원회가 주도적으로 총장후보추천위원회를 구성하고, 총장후보추천 과정에서도 교내 구성원의 의견을 충분히 수렴할 것 등을 요구했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
교수협은	교수협/NNG+은/JX
평의원회가	평의원회/NNG+가/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
총장후보추천위원회를	총장/NNG+후보/NNG+추천/NNG+위원회/NNG+를/JKO
구성하고,	구성/NNG+하/XSV+고/EC+,/SP
총장후보추천	총장/NNG+후보/NNG+추천/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
교내	교내/NNG
구성원의	구성원/NNG+의/JKG
의견을	의견/NNG+을/JKO
충분히	충분히/MAG
수렴할	수렴/NNG+하/XSV+ㄹ/ETM
것	것/NNB
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.5.4
호문혁 교수협 회장은 “법인화법과 정관 초안이 그대로 시행되면, 폐쇄적으로 운영되는 이사회 지배 아래서 교수들이 원활한 의사소통과 자유로운 학문 연구를 보장받지 못할 것”이라며 “총장과 이사회를 견제하기 위해 평의원회를 대의기구로 격상해야 한다”고 말했다.

호문혁	호문혁/NNP
교수협	교수협/NNG
회장은	회장/NNG+은/JX
“법인화법과	“/SS+법인/NNG+화/XSN+법/NNG+과/JC
정관	정관/NNG
초안이	초안/NNG+이/JKS
그대로	그대로/MAG
시행되면,	시행/NNG+되/XSV+면/EC+,/SP
폐쇄적으로	폐쇄/NNG+적/XSN+으로/JKB
운영되는	운영/NNG+되/XSV+는/ETM
이사회	이사회/NNG
지배	지배/NNG
아래서	아래/NNG+서/JKB
교수들이	교수/NNG+들/XSN+이/JKS
원활한	원활/NNG+하/XSA+ㄴ/ETM
의사소통과	의사소통/NNG+과/JC
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
학문	학문/NNG
연구를	연구/NNG+를/JKO
보장받지	보장/NNG+받/XSV+지/EC
못할	못하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“총장과	“/SS+총장/NNG+과/JC
이사회를	이사회/NNG+를/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
평의원회를	평의원회/NNG+를/JKO
대의기구로	대의/NNG+기구/NNG+로/JKB
격상해야	격상/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.6.1
이에 대해 서울대 본부 관계자는 “교수협 등 교직원들이 낸 의견을 수렴해 학장단회의와 법인설립실행위원회에서 논의할 예정”이라면서도 “총장 선임과 관련한 절차는 정관에 규정할 문제가 아니다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
서울대	서울대/NNP
본부	본부/NNG
관계자는	관계자/NNG+는/JX
“교수협	“/SS+교수협/NNG
등	등/NNB
교직원들이	교직원/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
학장단회의와	학장단/NNG+회의/NNG+와/JC
법인설립실행위원회에서	법인/NNG+설립/NNG+실행/NNG+위원회/NNG+에서/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정”이라면서도	예정/NNG+”/SS+이/VCP+라면서/EC+도/JX
“총장	“/SS+총장/NNG
선임과	선임/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
절차는	절차/NNG+는/JX
정관에	정관/NNG+에/JKB
규정할	규정/NNG+하/XSV+ㄹ/ETM
문제가	문제/NNG+가/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.265.7.1
서울대 본부는 빠르면 이달 말 법인 정관을 교육과학기술부 장관에게 제출하고, 다음달 중순께 이사와 감사 선임 절차를 거쳐 다음달 말 정관을 최종 확정할 예정이다.

서울대	서울대/NNP
본부는	본부/NNG+는/JX
빠르면	빠르/VA+면/EC
이달	이달/NNG
말	말/NNB
법인	법인/NNG
정관을	정관/NNG+을/JKO
교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
장관에게	장관/NNG+에게/JKB
제출하고,	제출/NNG+하/XSV+고/EC+,/SP
다음달	다음/NNG+달/NNG
중순께	중순/NNG+께/XSN
이사와	이사/NNG+와/JC
감사	감사/NNG
선임	선임/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
최종	최종/NNG
확정할	확정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


