# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.222
metadata : {}


# id : NWRW1800000040.222.1.1
지느러미로 걸었을까 실러캔스 7천만년의 비밀

지느러미로	지느러미/NNG+로/JKB
걸었을까	걷/VV+었/EP+을까/EF
실러캔스	실러캔스/NNG
7천만년의	7/SN+천만/NR+년/NNB+의/JKG
비밀	비밀/NNG


# id : NWRW1800000040.222.2.1
[토요판]조홍섭의 자연 보따리

[토요판]조홍섭의	[/SS+토요판/NNG+]/SS+조홍섭/NNP+의/JKG
자연	자연/NNG
보따리	보따리/NNG


# id : NWRW1800000040.222.3.1
1938년 12월22일 남아프리카 찰룸나강 하구에서 한 어선의 저인망에 괴상하게 생긴 커다란 물고기가 걸렸다.

1938년	1938/SN+년/NNB
12월22일	12/SN+월/NNB+22/SN+일/NNB
남아프리카	남아프리카/NNP
찰룸나강	찰룸나강/NNP
하구에서	하구/NNG+에서/JKB
한	한/MMN
어선의	어선/NNG+의/JKG
저인망에	저인망/NNG+에/JKB
괴상하게	괴상/NNG+하/XSA+게/EC
생긴	생기/VV+ㄴ/ETM
커다란	커다랗/VA+ㄴ/ETM
물고기가	물고기/NNG+가/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.3.2
쓰레기통에 처박힐 운명이던 이 물고기는 한때 박물관에서 일한 적이 있는 마저리 코트니래티머라는 여성의 눈에 띄면서 세상에서 가장 유명한 물고기가 됐다.

쓰레기통에	쓰레기통/NNG+에/JKB
처박힐	처박히/VV+ㄹ/ETM
운명이던	운명/NNG+이/VCP+던/ETM
이	이/MMD
물고기는	물고기/NNG+는/JX
한때	한때/MAG
박물관에서	박물관/NNG+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있는	있/VA+는/ETM
마저리	마저리/NNP
코트니래티머라는	코트니래티머/NNP+이/VCP+라는/ETM
여성의	여성/NNG+의/JKG
눈에	눈/NNG+에/JKB
띄면서	띄/VV+면서/EC
세상에서	세상/NNG+에서/JKB
가장	가장/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
물고기가	물고기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.3.3
그는 스케치북에 마치 다리처럼 살집이 있는 8개의 지느러미에 크고 푸른 눈을 지닌 1.5m 크기의 이 물고기를 그려 전문가에게 보냈다.

그는	그/NP+는/JX
스케치북에	스케치북/NNG+에/JKB
마치	마치/MAG
다리처럼	다리/NNG+처럼/JKB
살집이	살집/NNG+이/JKS
있는	있/VA+는/ETM
8개의	8/SN+개/NNB+의/JKG
지느러미에	지느러미/NNG+에/JKB
크고	크/VA+고/EC
푸른	푸르/VA+ㄴ/ETM
눈을	눈/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
1.5m	1/SN+./SP+5/SN+m/SW
크기의	크기/NNG+의/JKG
이	이/MMD
물고기를	물고기/NNG+를/JKO
그려	그리/VV+어/EC
전문가에게	전문가/NNG+에게/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.3.4
곧 4억년 전에 나타나 중생대 말에 멸종한 물고기와 똑같이 생겼다는 사실이 알려졌다.

곧	곧/MAG
4억년	4/SN+억/NR+년/NNB
전에	전/NNG+에/JKB
나타나	나타나/VV+아/EC
중생대	중생대/NNG
말에	말/NNB+에/JKB
멸종한	멸종/NNG+하/XSV+ㄴ/ETM
물고기와	물고기/NNG+와/JKB
똑같이	똑같이/MAG
생겼다는	생기/VV+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.3.5
7000만년 만에 되살아난 이 고대 물고기가 바로 실러캔스이다.

7000만년	7000/SN+만/NR+년/NNB
만에	만/NNB+에/JKB
되살아난	되살아나/VV+ㄴ/ETM
이	이/MMD
고대	고대/NNG
물고기가	물고기/NNG+가/JKS
바로	바로/MAG
실러캔스이다.	실러캔스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.222.4.1
실러캔스는 바다를 떠나 처음으로 땅을 네발로 딛고 공기를 호흡한 첫 육상동물의 조상으로 여겨졌고, ‘살아있는 화석’이란 별명이 붙었다.

실러캔스는	실러캔스/NNG+는/JX
바다를	바다/NNG+를/JKO
떠나	떠나/VV+아/EC
처음으로	처음/NNG+으로/JKB
땅을	땅/NNG+을/JKO
네발로	네발/NNG+로/JKB
딛고	딛/VV+고/EC
공기를	공기/NNG+를/JKO
호흡한	호흡/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
육상동물의	육상/NNG+동물/NNG+의/JKG
조상으로	조상/NNG+으로/JKB
여겨졌고,	여기/VV+어/EC+지/VX+었/EP+고/EC+,/SP
‘살아있는	‘/SS+살/VV+아/EC+있/VX+는/ETM
화석’이란	화석/NNG+’/SS+이/VCP+란/ETM
별명이	별명/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.222.5.1
은행, 폐어, 투구새우, 투구게 등 가까운 친척이 없거나 화석에나 나오는 오랜 형태를 그대로 간직한 생물을 흔히 ‘살아있는 화석’이라고 부른다.

은행,	은행/NNG+,/SP
폐어,	폐어/NNG+,/SP
투구새우,	투구/NNG+새우/NNG+,/SP
투구게	투구/NNG+게/NNG
등	등/NNB
가까운	가깝/VA+ㄴ/ETM
친척이	친척/NNG+이/JKS
없거나	없/VA+거나/EC
화석에나	화석/NNG+에/JKB+나/JX
나오는	나오/VV+는/ETM
오랜	오랜/MMA
형태를	형태/NNG+를/JKO
그대로	그대로/MAG
간직한	간직/NNG+하/XSV+ㄴ/ETM
생물을	생물/NNG+을/JKO
흔히	흔히/MAG
‘살아있는	‘/SS+살/VV+아/EC+있/VX+는/ETM
화석’이라고	화석/NNG+’/SS+이라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.222.5.2
하지만 진화생물학자들은 이 말을 쓰기를 꺼린다.

하지만	하지만/MAJ
진화생물학자들은	진화/NNG+생물학자/NNG+들/XSN+은/JX
이	이/MMD
말을	말/NNG+을/JKO
