# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.326
metadata : {}


# id : NWRW1800000046.326.1.1
"사드, 주변국이 영향력 행사 안돼"

"사드,	"/SS+사드/NNG+,/SP
주변국이	주변국/NNG+이/JKS
영향력	영향력/NNG
행사	행사/NNG
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000046.326.2.1
국방부, 중국에 반박… 美차관보 "한국정부가 정할 몫"

국방부,	국방부/NNG+,/SP
중국에	중국/NNP+에/JKB
반박…	반박/NNG+…/SE
美차관보	美/SH+차관보/NNG
"한국정부가	"/SS+한국/NNP+정부/NNG+가/JKS
정할	정하/VV+ㄹ/ETM
몫"	몫/NNG+"/SS


# id : NWRW1800000046.326.3.1
미국의 고(高)고도 미사일 방어체계인 사드(THAAD)의 주한미군 배치 문제를 놓고 한·미 당국과 중국 간 갈등이 고조되고 있다.

미국의	미국/NNP+의/JKG
고(高)고도	고/XPN+(/SS+高/SH+)/SS+고도/NNG
미사일	미사일/NNG
방어체계인	방어/NNG+체계/NNG+이/VCP+ㄴ/ETM
사드(THAAD)의	사드/NNG+(/SS+THAAD/SL+)/SS+의/JKG
주한미군	주한/NNG+미군/NNG
배치	배치/NNG
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
한·미	한·미/NNP
당국과	당국/NNG+과/JC
중국	중국/NNP
간	간/NNB
갈등이	갈등/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.326.4.1
국방부 김민석 대변인은 17일 "주변국이 주한미군의 사드 배치에 대한 입장을 가질 수 있지만 우리의 국방안보 정책에 대해 영향력을 행사하려 해선 안 된다"고 말했다.

국방부	국방부/NNG
김민석	김민석/NNP
대변인은	대변인/NNG+은/JX
17일	17/SN+일/NNB
"주변국이	"/SS+주변국/NNG+이/JKS
주한미군의	주한/NNG+미군/NNG+의/JKG
사드	사드/NNG
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
우리의	우리/NP+의/JKG
국방안보	국방/NNG+안보/NNG
정책에	정책/NNG+에/JKB
대해	대하/VV+아/EC
영향력을	영향력/NNG+을/JKO
행사하려	행사/NNG+하/XSV+려/EC
해선	하/VX+아서/EC+ㄴ/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.326.4.2
류젠차오(劉建超) 중국 외교부 부장조리가 16일 "사드 문제에 대해 중국 측의 우려를 중요시해 달라"며 강하게 반대 의사를 밝힌 데 대해 반박한 것으로 풀이된다.

류젠차오(劉建超)	류젠차오/NNP+(/SS+劉建超/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
부장조리가	부장조리/NNG+가/JKS
16일	16/SN+일/NNB
"사드	"/SS+사드/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
측의	측/NNB+의/JKG
우려를	우려/NNG+를/JKO
중요시해	중요/NNG+시/XSN+하/XSV+아/EC
달라"며	달/VX+라/EF+"/SS+며/EC
강하게	강하/VA+게/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
데	데/NNB
반박한	반박/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.326.5.1
김 대변인은 "주한미군의 사드 배치 문제는 점증하고 있는 북한의 핵과 미사일 위협에 대한 억제책 관점에서 비롯된 사안"이라며 "사드 배치에 대해 미국 정부가 협의를 요청해오면 군사적 효용성과 국가 안보를 고려해 우리 주도로 판단하고 결정할 계획"이라고 밝혔다.

김	김/NNP
대변인은	대변인/NNG+은/JX
"주한미군의	"/SS+주한/NNG+미군/NNG+의/JKG
사드	사드/NNG
배치	배치/NNG
문제는	문제/NNG+는/JX
점증하고	점증/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
위협에	위협/NNG+에/JKB
