# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.305
metadata : {}


# id : NWRW1800000048.305.1.1
인천교육청, 중1 무상급식 예산반영

인천교육청,	인천교육청/NNP+,/SP
중1	중/NNG+1/SN
무상급식	무상/NNG+급식/NNG
예산반영	예산/NNG+반영/NNG


# id : NWRW1800000048.305.2.1
시 거부로 군·구와 나눠부담키로

시	시/NNG
거부로	거부/NNG+로/JKB
군·구와	군/NNG+·/SP+구/NNG+와/JKB
나눠부담키로	나누/VV+어/EC+부담/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000048.305.3.1
누리과정 어린이집은 편성못해

누리과정	누리/NNG+과정/NNG
어린이집은	어린이집/NNG+은/JX
편성못해	편성/NNG+못/MAG+하/VV+아/EF


# id : NWRW1800000048.305.4.1
중학교 무상급식 비율이 전국 꼴찌인 인천의 시교육청이 내년도 예산안에 드디어 중학교 1학년생 급식비를 반영해 시행이 가능하게 됐다.

중학교	중학교/NNG
무상급식	무상/NNG+급식/NNG
비율이	비율/NNG+이/JKS
전국	전국/NNG
꼴찌인	꼴찌/NNG+이/VCP+ㄴ/ETM
인천의	인천/NNP+의/JKG
시교육청이	시/NNG+교육청/NNG+이/JKS
내년도	내년도/NNG
예산안에	예산안/NNG+에/JKB
드디어	드디어/MAG
1학년생	1/SN+학년/NNG+생/XSN
급식비를	급식비/NNG+를/JKO
반영해	반영/NNG+하/XSV+아/EC
시행이	시행/NNG+이/JKS
가능하게	가능/NNG+하/XSA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.305.4.2
그러나 영유아 보육비(누리과정) 중 어린이집 예산은 편성을 못해 보육대란를 피할 수 없게 됐다.

그러나	그러나/MAJ
영유아	영유아/NNG
보육비(누리과정)	보육비/NNG+(/SS+누리/NNG+과정/NNG+)/SS
중	중/NNB
어린이집	어린이집/NNG
예산은	예산/NNG+은/JX
편성을	편성/NNG+을/JKO
못해	못/MAG+하/VV+아/EC
보육대란를	보육/NNG+대란/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.305.5.1
이청연 인천시교육감은 11일 내년도 예산안 기자회견을 열어 “내년 중학교 1학년생 무상급식에 필요한 예산의 절반인 95억원을 반영했다”고 밝혔다.

이청연	이청연/NNP
인천시교육감은	인천시/NNP+교육감/NNG+은/JX
11일	11/SN+일/NNB
내년도	내년도/NNG
예산안	예산안/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“내년	“/SS+내년/NNG
중학교	중학교/NNG
1학년생	1/SN+학년/NNG+생/XSN
무상급식에	무상/NNG+급식/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
예산의	예산/NNG+의/JKG
절반인	절반/NNG+이/VCP+ㄴ/ETM
95억원을	95/SN+억/NR+원/NNB+을/JKO
반영했다”고	반영/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.305.5.2
시교육청은 인천시가 재정난을 들어 지원을 거부하자, 인천지역 군·구와 50%씩 분담해 중학교 1학년 2만6천여명에 대해 우선 시행하기로 했다.

시교육청은	시/NNG+교육청/NNG+은/JX
인천시가	인천시/NNP+가/JKS
재정난을	재정난/NNG+을/JKO
들어	들/VV+어/EC
지원을	지원/NNG+을/JKO
거부하자,	거부/NNG+하/XSV+자/EC+,/SP
인천지역	인천지역/NNP
군·구와	군/NNG+·/SP+구/NNG+와/JKB
