# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.233
metadata : {}


# id : NWRW1800000041.233.1.1
[2014 소치동계올림픽]이호석 “마음 무겁지만… 나 아닌 암투병 후배 위해 꼭 금메달”

[2014	[/SS+2014/SN
소치동계올림픽]이호석	소치/NNP+동계/NNG+올림픽/NNG+]/SS+이호석/NNP
“마음	“/SS+마음/NNG
무겁지만…	무겁/VA+지만/EC+…/SE
나	나/NP
아닌	아니/VCN+ㄴ/ETM
암투병	암/NNG+투병/NNG
후배	후배/NNG
위해	위하/VV+아/EC
꼭	꼭/MAG
금메달”	금메달/NNG+”/SS


# id : NWRW1800000041.233.2.1
노진규 대신 쇼트트랙 계주 출전 이호석 토리노 금 땄지만 파벌논란 맘고생… 밴쿠버선 성시백과 엉켜 많은 비난 이번에는 대타로 나서 부담 더 많아

노진규	노진규/NNP
대신	대신/NNG
쇼트트랙	쇼트트랙/NNG
계주	계주/NNG
출전	출전/NNG
이호석	이호석/NNP
토리노	토리노/NNP
금	금/NNG
땄지만	따/VV+았/EP+지만/EC
파벌논란	파벌/NNG+논란/NNG
맘고생…	맘고생/NNG+…/SE
밴쿠버선	밴쿠버/NNP+서/JKB+ㄴ/JX
성시백과	성시백/NNP+과/JKB
엉켜	엉키/VV+어/EC
많은	많/VA+은/ETM
비난	비난/NNG
이번에는	이번/NNG+에/JKB+는/JX
대타로	대타/NNG+로/JKB
나서	나서/VV+어/EC
부담	부담/NNG
더	더/MAG
많아	많/VA+아/EF


# id : NWRW1800000041.233.3.1
정말 얄궂은 운명이다.

정말	정말/MAG
얄궂은	얄궂/VA+은/ETM
운명이다.	운명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.233.4.1
한국 쇼트트랙 대표팀의 맏형 이호석(28·고양시청)은 올림픽 때마다 누구에게도 말 못할 마음고생을 했다.

한국	한국/NNP
쇼트트랙	쇼트트랙/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
맏형	맏/XPN+형/NNG
이호석(28·고양시청)은	이호석/NNP+(/SS+28/SN+·/SP+고양시청/NNP+)/SS+은/JX
올림픽	올림픽/NNG
때마다	때/NNG+마다/JX
누구에게도	누구/NP+에게/JKB+도/JX
말	말/NNG
못할	못/MAG+하/VV+ㄹ/ETM
마음고생을	마음고생/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.233.4.2
이호석은 2006년 토리노 겨울올림픽에서 올림픽과 첫 인연을 맺었다.

이호석은	이호석/NNP+은/JX
2006년	2006/SN+년/NNB
토리노	토리노/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
올림픽과	올림픽/NNG+과/JKB
첫	첫/MMN
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.233.4.3
남자 5000m 계주 금메달을 비롯해 1000m와 1500m에서 은메달을 목에 걸었다.

남자	남자/NNG
5000m	5000/SN+m/SW
계주	계주/NNG
금메달을	금메달/NNG+을/JKO
비롯해	비롯하/VV+아/EC
1000m와	1000/SN+m/SW+와/JC
1500m에서	1500/SN+m/SW+에서/JKB
은메달을	은메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.233.4.4
하지만 올림픽 직후 쇼트트랙 대표팀 파벌 논란이 불거졌고 대표팀 일원이었던 이호석도 적지 않은 마음고생을 했다.

하지만	하지만/MAJ
올림픽	올림픽/NNG
직후	직후/NNG
쇼트트랙	쇼트트랙/NNG
대표팀	대표/NNG+팀/NNG
파벌	파벌/NNG
논란이	논란/NNG+이/JKS
불거졌고	불거지/VV+었/EP+고/EC
일원이었던	일원/NNG+이/VCP+었/EP+던/ETM
이호석도	이호석/NNP+도/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
마음고생을	마음고생/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.233.5.1
