# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.391
metadata : {}


# id : NWRW1800000028.391.1.1
‘통역의 달인’ 42명, 숨가쁜 릴레이통역

‘통역의	‘/SS+통역/NNG+의/JKG
달인’	달인/NNG+’/SS
42명,	42/SN+명/NNB+,/SP
숨가쁜	숨/NNG+가쁘/VA+ㄴ/ETM
릴레이통역	릴레이/NNG+통역/NNG


# id : NWRW1800000028.391.2.1
주요 20개국(G20) 정상회의에는 한국어·영어 등을 포함해 14개 언어당 3명씩, 모두 42명의 내로라하는 동시 통역사들이 총출동한다.

주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의에는	정상/NNG+회의/NNG+에/JKB+는/JX
한국어·영어	한국어/NNP+·/SP+영어/NNP
등을	등/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
14개	14/SN+개/NNB
언어당	언어/NNG+당/XSN
3명씩,	3/SN+명/NNB+씩/XSN+,/SP
모두	모두/MAG
42명의	42/SN+명/NNB+의/JKG
내로라하는	내로라하/VV+는/ETM
동시	동시/NNG
통역사들이	통역사/NNG+들/XSN+이/JKS
총출동한다.	총출동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.391.2.2
유럽연합(EU)을 포함해 회원국 정상 21명, 싱가포르 등 초청국 정상 5명, 유엔 등 7개 국제기구 대표 등 모두 33명의 정상급 인사들이 참석하며, 이들의 언어가 다르다보니, ‘매머드급’ 통역요원들이 필요한 것이다.

유럽연합(EU)을	유럽연합/NNP+(/SS+EU/SL+)/SS+을/JKO
포함해	포함/NNG+하/XSV+아/EC
회원국	회원국/NNG
정상	정상/NNG
21명,	21/SN+명/NNB+,/SP
싱가포르	싱가포르/NNP
등	등/NNB
초청국	초청국/NNG
5명,	5/SN+명/NNB+,/SP
유엔	유엔/NNP
7개	7/SN+개/NNB
국제기구	국제기구/NNG
대표	대표/NNG
모두	모두/MAG
33명의	33/SN+명/NNB+의/JKG
정상급	정상급/NNG
