# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.121
metadata : {}


# id : NWRW1800000041.121.1.1
[책의 향기/글로벌 북 카페]인류는 왜 지구의 생명을 멸종시키고 있는가

[책의	[/SS+책/NNG+의/JKG
향기/글로벌	향기/NNG+//SP+글로벌/NNG
북	북/NNG
카페]인류는	카페/NNG+]/SS+인류/NNG+는/JX
왜	왜/MAG
지구의	지구/NNG+의/JKG
생명을	생명/NNG+을/JKO
멸종시키고	멸종/NNG+시키/XSV+고/EC
있는가	있/VX+는가/EF


# id : NWRW1800000041.121.2.1
美주간지 뉴요커 기자 엘리자베스 콜버트의 ‘여섯번째 멸종’

美주간지	美/SH+주간지/NNG
뉴요커	뉴요커/NNP
기자	기자/NNG
엘리자베스	엘리자베스/NNP
콜버트의	콜버트/NNP+의/JKG
‘여섯번째	‘/SS+여섯/NR+번/NNB+째/XSN
멸종’	멸종/NNG+’/SS


# id : NWRW1800000041.121.3.1
노벨물리학상(1968년)을 수상한 미국의 과학자 루이스 앨버레즈와 아들 월터(지질학자)가 1980년에 ‘소행성의 지구 충돌로 공룡이 멸종했다’는 가설을 내놓았을 때 고생물학자들은 이들을 조롱했다.

노벨물리학상(1968년)을	노벨/NNP+물리학상/NNG+(/SS+1968/SN+년/NNB+)/SS+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
미국의	미국/NNP+의/JKG
과학자	과학자/NNG
루이스	루이스/NNP
앨버레즈와	앨버레즈/NNP+와/JC
아들	아들/NNG
월터(지질학자)가	월터/NNP+(/SS+지질학자/NNG+)/SS+가/JKS
1980년에	1980/SN+년/NNB+에/JKB
‘소행성의	‘/SS+소/XPN+행성/NNG+의/JKG
지구	지구/NNG
충돌로	충돌/NNG+로/JKB
공룡이	공룡/NNG+이/JKS
멸종했다’는	멸종/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
가설을	가설/NNG+을/JKO
내놓았을	내놓/VV+았/EP+을/ETM
때	때/NNG
고생물학자들은	고생물학자/NNG+들/XSN+은/JX
이들을	이/NP+들/XSN+을/JKO
조롱했다.	조롱/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.121.3.2
그러나 2010년 3월 후세의 과학자들은 이 가설이 사실에 가깝다는 결론을 내렸다.

그러나	그러나/MAJ
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
후세의	후세/NNG+의/JKG
과학자들은	과학자/NNG+들/XSN+은/JX
이	이/MMD
가설이	가설/NNG+이/JKS
사실에	사실/NNG+에/JKB
가깝다는	가깝/VA+다는/ETM
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.121.3.3
멕시코 유카탄 반도에 6500만 년 전에 직경 10km의 소행성이 떨어져 상당수 생물들이 멸종했다는 사실을 입증했기 때문이다.

멕시코	멕시코/NNP
유카탄	유카탄/NNP
반도에	반도/NNG+에/JKB
6500만	6500/SN+만/NR
년	년/NNB
전에	전/NNG+에/JKB
직경	직경/NNG
10km의	10/SN+km/SW+의/JKG
소행성이	소/XPN+행성/NNG+이/JKS
떨어져	떨어지/VV+어/EC
상당수	상당수/NNG
생물들이	생물/NNG+들/XSN+이/JKS
멸종했다는	멸종/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
입증했기	입증/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.121.4.1
1월 미국에서 출간돼 단숨에 각종 매체의 논픽션 부문 베스트셀러 10위권에 진입한 ‘여섯 번째 멸종’(The Sixth Extinction)은 지구 생명의 멸종사를 다뤘다.

1월	1/SN+월/NNB
미국에서	미국/NNP+에서/JKB
출간돼	출간/NNG+되/XSV+어/EC
단숨에	단숨에/MAG
각종	각종/NNG
매체의	매체/NNG+의/JKG
논픽션	논픽션/NNG
부문	부문/NNG
베스트셀러	베스트셀러/NNG
10위권에	10/SN+위/NNB+권/XSN+에/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
‘여섯	‘/SS+여섯/NR
번째	번/NNB+째/XSN
멸종’(The	멸종/NNG+’/SS+(/SS+The/SL
Sixth	Sixth/SL
Extinction)은	Extinction/SL+)/SS+은/JX
지구	지구/NNG
생명의	생명/NNG+의/JKG
멸종사를	멸종사/NNG+를/JKO
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.121.4.2
저자는 미 주간지인 ‘뉴요커’에서 오랫동안 과학과 환경을 담당해온 엘리자베스 콜버트 기자.

저자는	저자/NNG+는/JX
미	미/NNP
주간지인	주간지/NNG+이/VCP+ㄴ/ETM
‘뉴요커’에서	‘/SS+뉴요커/NNP+’/SS+에서/JKB
오랫동안	오랫동안/NNG
과학과	과학/NNG+과/JC
환경을	환경/NNG+을/JKO
담당해온	담당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
엘리자베스	엘리자베스/NNP
콜버트	콜버트/NNP
기자.	기자/NNG+./SF


# id : NWRW1800000041.121.4.3
그가 책에서 언급한 공룡의 멸종은 지구 역사상 가장 최근의 사건으로 다섯 번째에 해당한다.

그가	그/NP+가/JKS
책에서	책/NNG+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
공룡의	공룡/NNG+의/JKG
멸종은	멸종/NNG+은/JX
지구	지구/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
최근의	최근/NNG+의/JKG
사건으로	사건/NNG+으로/JKB
다섯	다섯/NR
번째에	번/NNB+째/XSN+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.4.4
‘여섯 번째 멸종’은 인간에 의해 서서히 진행되고 있는 생명의 멸종을 경고한 것이다.

‘여섯	‘/SS+여섯/NR
번째	번/NNB+째/XSN
멸종’은	멸종/NNG+’/SS+은/JX
인간에	인간/NNG+에/JKB
의해	의하/VV+아/EC
서서히	서서히/MAG
진행되고	진행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
생명의	생명/NNG+의/JKG
멸종을	멸종/NNG+을/JKO
경고한	경고/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.121.4.5
저자는 ‘인간이 과거 공룡을 멸종시켰던 소행성과 같은 존재가 될 것’이라는 섬뜩한 비유를 펼친다.

저자는	저자/NNG+는/JX
‘인간이	‘/SS+인간/NNG+이/JKS
과거	과거/NNG
공룡을	공룡/NNG+을/JKO
멸종시켰던	멸종/NNG+시키/XSV+었/EP+던/ETM
소행성과	소/XPN+행성/NNG+과/JKB
같은	같/VA+은/ETM
존재가	존재/NNG+가/JKC
될	되/VV+ㄹ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
섬뜩한	섬뜩/MAG+하/XSA+ㄴ/ETM
비유를	비유/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.5.1
12만 년 전 인류의 선조가 아프리카를 처음으로 떠났을 때 여섯 번째 멸종은 시작됐다고 저자는 주장한다.

12만	12/SN+만/NR
년	년/NNB
전	전/NNG
인류의	인류/NNG+의/JKG
선조가	선조/NNG+가/JKS
아프리카를	아프리카/NNP+를/JKO
처음으로	처음/NNG+으로/JKB
떠났을	떠나/VV+았/EP+을/ETM
때	때/NNG
여섯	여섯/NR
번째	번/NNB+째/XSN
멸종은	멸종/NNG+은/JX
시작됐다고	시작/NNG+되/XSV+었/EP+다고/EC
저자는	저자/NNG+는/JX
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.121.5.2
라이벌 관계에 있는 동물이나 인류는 모두 사라지게 만든 호모 사피엔스, 북아프리카와 호주에 인류가 도착한 이후 많은 식물과 동물의 종들이 사라진 것을 보면 인류가 자연의 적이었음을 쉽게 알 수 있다는 것.

라이벌	라이벌/NNG
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
동물이나	동물/NNG+이나/JC
인류는	인류/NNG+는/JX
모두	모두/MAG
사라지게	사라지/VV+게/EC
만든	만들/VV+ㄴ/ETM
호모	호모/NNG
사피엔스,	사피엔스/NNG+,/SP
북아프리카와	북아프리카/NNP+와/JC
호주에	호주/NNP+에/JKB
인류가	인류/NNG+가/JKS
도착한	도착/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
많은	많/VA+은/ETM
식물과	식물/NNG+과/JC
동물의	동물/NNG+의/JKG
종들이	종/NNG+들/XSN+이/JKS
사라진	사라지/VV+ㄴ/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
자연의	자연/NNG+의/JKG
적이었음을	적/NNG+이/VCP+었/EP+음/ETN+을/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.121.5.3
이후 산업화를 통해 지구 온난화가 심화되면서 멸종의 속도는 더욱 빨라지고 있다고 강조했다.

이후	이후/NNG
산업화를	산업/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
지구	지구/NNG
