# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.357
metadata : {}


# id : NWRW1800000054.357.1.1
朴 前대통령 외출준비?… 전담 미용사 자택방문

朴	朴/SH
前대통령	前/SH+대통령/NNG
외출준비?…	외출/NNG+준비/NNG+?/SF+…/SE
전담	전담/NNG
미용사	미용사/NNG
자택방문	자택/NNG+방문/NNG


# id : NWRW1800000054.357.2.1
정치인들의 방문은 멎어

정치인들의	정치인/NNG+들/XSN+의/JKG
방문은	방문/NNG+은/JX
멎어	멎/VV+어/EF


# id : NWRW1800000054.357.3.1
박근혜 전 대통령이 서울 강남구 삼성동 자택으로 복귀한 지 사흘째인 14일 자택을 찾는 정치인들의 방문이 멎었다.

박근혜	박근혜/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
자택으로	자택/NNG+으로/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
지	지/NNB
사흘째인	사흘/NNG+째/XSN+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
자택을	자택/NNG+을/JKO
찾는	찾/VV+는/ETM
정치인들의	정치인/NNG+들/XSN+의/JKG
방문이	방문/NNG+이/JKS
멎었다.	멎/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.357.3.2
박 전 대통령의 자택엔 첫날 자유한국당 서청원·최경환 의원 등 친박계 의원들이 찾았었고, 13일에도 조원진 의원이 방문해 "박 전 대통령이 친박 세력을 새로 규합하는 게 아니냐"는 이른바 '삼성동팀' 논란이 일었다.

박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
자택엔	자택/NNG+에/JKB+ㄴ/JX
첫날	첫날/NNG
자유한국당	자유한국당/NNP
서청원·최경환	서청원/NNP+·/SP+최경환/NNP
의원	의원/NNG
등	등/NNB
친박계	친/XPN+박/NNP+계/XSN
의원들이	의원/NNG+들/XSN+이/JKS
찾았었고,	찾/VV+았었/EP+고/EC+,/SP
13일에도	13/SN+일/NNB+에/JKB+도/JX
조원진	조원진/NNP
의원이	의원/NNG+이/JKS
방문해	방문/NNG+하/XSV+아/EC
"박	"/SS+박/NNP
대통령이	대통령/NNG+이/JKS
친박	친/XPN+박/NNP
세력을	세력/NNG+을/JKO
새로	새로/MAG
규합하는	규합/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
이른바	이른바/MAG
'삼성동팀'	'/SS+삼성동/NNP+팀/NNG+'/SS
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.357.4.1
박 전 대통령 대변인 격인 민경욱 의원은 본지 통화에서 "박 전 대통령께서 우리가 가는 것을 원하는지 모르겠고, 현재로선 방문 계획이 없다"고 했다.

박	박/NNP
전	전/MMD
대통령	대통령/NNG
대변인	대변인/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
민경욱	민경욱/NNP
의원은	의원/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"박	"/SS+박/NNP
대통령께서	대통령/NNG+께서/JKS
우리가	우리/NP+가/JKS
가는	가/VV+는/ETM
것을	것/NNB+을/JKO
원하는지	원/NNG+하/XSV+는지/EF
모르겠고,	모르/VV+겠/EP+고/EC+,/SP
현재로선	현재/NNG+로서/JKB+ㄴ/JX
방문	방문/NNG
계획이	계획/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.357.4.2
구(舊)여권 일각에선 친박계 의원들이 1명씩 돌아가며 박 전 대통령을 방문하기로 했다는 얘기도 나왔지만 민 의원은 "그런 말은 없었다"고 했다.

구(舊)여권	구/XPN+(/SS+舊/SH+)/SS+여권/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
친박계	친/XPN+박/NNP+계/XSN
의원들이	의원/NNG+들/XSN+이/JKS
1명씩	1/SN+명/NNB+씩/XSN
돌아가며	돌아가/VV+며/EC
박	박/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
방문하기로	방문/NNG+하/XSV+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
얘기도	얘기/NNG+도/JX
나왔지만	나오/VV+았/EP+지만/EC
민	민/NNP
의원은	의원/NNG+은/JX
"그런	"/SS+그런/MMD
말은	말/NNG+은/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.357.5.1
대신 이날 오전 7시반쯤 박 전 대통령 전담 미용사였던 모 미용실 정송주 원장이 자택을 찾았다.

대신	대신/NNG
이날	이날/NNG
오전	오전/NNG
7시반쯤	7/SN+시/NNB+반/NNG+쯤/XSN
박	박/NNP
전	전/MMD
대통령	대통령/NNG
전담	전담/NNG
미용사였던	미용사/NNG+이/VCP+었/EP+던/ETM
모	모/MMD
미용실	미용실/NNG
정송주	정송주/NNP
원장이	원장/NNG+이/JKS
자택을	자택/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.357.5.2
정 원장은 세월호 참사 당일인 2014년 4월 16일에도 청와대를 찾아 박 전 대통령의 머리를 손질했다.

정	정/NNP
원장은	원장/NNG+은/JX
세월호	세월호/NNP
참사	참사/NNG
당일인	당일/NNG+이/VCP+ㄴ/ETM
2014년	2014/SN+년/NNB
4월	4/SN+월/NNB
16일에도	16/SN+일/NNB+에/JKB+도/JX
청와대를	청와대/NNP+를/JKO
찾아	찾/VV+아/EC
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
머리를	머리/NNG+를/JKO
손질했다.	손질/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.357.5.3
정 원장 등은 2시간가량 자택에서 머물렀다.

정	정/NNP
원장	원장/NNG
등은	등/NNB+은/JX
2시간가량	2/SN+시간/NNB+가량/XSN
자택에서	자택/NNG+에서/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.357.5.4
정 원장 방문으로 박 전 대통령이 외출하는 것 아니냐는 추측도 나왔지만, 박 전 대통령은 집 밖을 나오지 않았다.

정	정/NNP
원장	원장/NNG
방문으로	방문/NNG+으로/JKB
박	박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
외출하는	외출/NNG+하/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추측도	추측/NNG+도/JX
나왔지만,	나오/VV+았/EP+지만/EC+,/SP
대통령은	대통령/NNG+은/JX
집	집/NNG
밖을	밖/NNG+을/JKO
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.357.5.5
박 전 대통령 탄핵 심판 대리인단이었던 김평우 변호사도 이날 자택을 찾았으나 사전 방문 약속이 잡혀 있지 않아 10분 만에 발길을 돌렸다.

박	박/NNP
전	전/MMD
대통령	대통령/NNG
탄핵	탄핵/NNG
심판	심판/NNG
대리인단이었던	대리인단/NNG+이/VCP+었/EP+던/ETM
김평우	김평우/NNP
변호사도	변호사/NNG+도/JX
이날	이날/NNG
자택을	자택/NNG+을/JKO
찾았으나	찾/VV+았/EP+으나/EC
사전	사전/NNG
방문	방문/NNG
약속이	약속/NNG+이/JKS
잡혀	잡히/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
10분	10/SN+분/NNB
만에	만/NNB+에/JKB
발길을	발길/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.357.6.1
김 변호사는 방문 목적에 대한 취재진의 질문에 "당신들이 질문할 권리가 없고 나는 답변할 의무도 없다"고 했다.

김	김/NNP
변호사는	변호사/NNG+는/JX
방문	방문/NNG
목적에	목적/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
취재진의	취재진/NNG+의/JKG
질문에	질문/NNG+에/JKB
"당신들이	"/SS+당신/NP+들/XSN+이/JKS
질문할	질문/NNG+하/XSV+ㄹ/ETM
권리가	권리/NNG+가/JKS
없고	없/VA+고/EC
나는	나/NP+는/JX
답변할	답변/NNG+하/XSV+ㄹ/ETM
의무도	의무/NNG+도/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


