# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.335
metadata : {}


# id : NWRW1800000021.335.1.1
세계증시 ‘미국發 훈풍’ 불까

세계증시	세계/NNG+증시/NNG
‘미국發	‘/SS+미국/NNP+發/SH
훈풍’	훈풍/NNG+’/SS
불까	불/VV+ㄹ까/EF


# id : NWRW1800000021.335.2.1
《세계 증시의 방향타 역할을 하는 미국 주가가 지난해 9월 글로벌 금융위기 이전 수준으로 회복되면서 한국을 포함한 세계 증시에 미국발(發) 훈풍이 불지 관심이 높아지고 있다.

《세계	《/SS+세계/NNG
증시의	증시/NNG+의/JKG
방향타	방향타/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
미국	미국/NNP
주가가	주가/NNG+가/JKS
지난해	지난해/NNG
9월	9/SN+월/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이전	이전/NNG
수준으로	수준/NNG+으로/JKB
회복되면서	회복/NNG+되/XSV+면서/EC
한국을	한국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
증시에	증시/NNG+에/JKB
미국발(發)	미국/NNP+발/XSN+(/SS+發/SH+)/SS
훈풍이	훈풍/NNG+이/JKS
불지	불/VV+지/EC
관심이	관심/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.335.2.2
미국의 주요 기업들이 예상보다 좋은 3분기 실적을 잇달아 내놓으면서 다우존스산업평균지수는 1년여 만에 10,000 선에 다시 올랐다.

미국의	미국/NNP+의/JKG
주요	주요/NNG
기업들이	기업/NNG+들/XSN+이/JKS
예상보다	예상/NNG+보다/JKB
좋은	좋/VA+은/ETM
3분기	3/SN+분기/NNG
실적을	실적/NNG+을/JKO
잇달아	잇달/VV+아/EC
내놓으면서	내놓/VV+으면서/EC
다우존스산업평균지수는	다우존스/NNP+산업/NNG+평균/NNG+지수/NNG+는/JX
1년여	1/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
10,000	10/SN+,/SP+000/SN
선에	선/NNG+에/JKB
다시	다시/MAG
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.335.2.3
이 영향으로 한국의 코스피는 전날보다 9.9포인트(0.60%) 오른 1,658.99로 마감했고 일본 닛케이평균주가와 중국 상하이종합지수도 각각 1.77%, 0.31% 올랐다.》

이	이/MMD
영향으로	영향/NNG+으로/JKB
한국의	한국/NNP+의/JKG
코스피는	코스피/NNP+는/JX
전날보다	전날/NNG+보다/JKB
9.9포인트(0.60%)	9/SN+./SP+9/SN+포인트/NNG+(/SS+0/SN+./SP+60/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
1,658.99로	1/SN+,/SP+658/SN+./SP+99/SN+로/JKB
마감했고	마감/NNG+하/XSV+았/EP+고/EC
일본	일본/NNP
닛케이평균주가와	닛케이/NNP+평균/NNG+주가/NNG+와/JC
중국	중국/NNP
상하이종합지수도	상하이/NNP+종합/NNG+지수/NNG+도/JX
각각	각각/MAG
1.77%,	1/SN+./SP+77/SN+%/SW+,/SP
0.31%	0/SN+./SP+31/SN+%/SW
올랐다.》	오르/VV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000021.335.3.1
상당수 전문가들은 주가를 비롯한 미국의 각종 경제지표가 호전되고 있어 세계 증시가 조만간 금융위기라는 무거운 짐을 내려놓고 활기를 되찾을 가능성이 커졌다고 보고 있다.

상당수	상당수/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
주가를	주가/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
각종	각종/NNG
경제지표가	경제/NNG+지표/NNG+가/JKS
호전되고	호전/NNG+되/XSV+고/EC
있어	있/VX+어/EC
세계	세계/NNG
증시가	증시/NNG+가/JKS
조만간	조만간/MAG
금융위기라는	금융/NNG+위기/NNG+이/VCP+라는/ETM
무거운	무겁/VA+ㄴ/ETM
짐을	짐/NNG+을/JKO
내려놓고	내려놓/VV+고/EC
활기를	활기/NNG+를/JKO
되찾을	되찾/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다고	커지/VV+었/EP+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.335.3.2
하지만 올해 들어 아시아 지역의 경기와 주가가 미국 등 선진국보다 먼저 회복됐기 때문에 다우지수의 상승세는 세계 증시에 제한적인 영향을 미치는 선에 그칠 것이라는 전망도 있다.

하지만	하지만/MAJ
올해	올해/NNG
들어	들/VV+어/EC
아시아	아시아/NNP
지역의	지역/NNG+의/JKG
경기와	경기/NNG+와/JC
주가가	주가/NNG+가/JKS
미국	미국/NNP
등	등/NNB
선진국보다	선진국/NNG+보다/JKB
먼저	먼저/MAG
