# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.179
metadata : {}


# id : NWRW1800000030.179.1.1
"美 4500만 가구에 개는 영혼의 동반자"

"美	"/SS+美/SH
4500만	4500/SN+만/NR
가구에	가구/NNG+에/JKB
개는	개/NNG+는/JX
영혼의	영혼/NNG+의/JKG
동반자"	동반자/NNG+"/SS


# id : NWRW1800000030.179.2.1
•NYT 여성편집인 애브람슨, 애완견 양육기서 삶 다뤄

•NYT	•/SW+NYT/SL
여성편집인	여성/NNG+편집인/NNG
애브람슨,	애브람슨/NNP+,/SP
애완견	애완견/NNG
양육기서	양육기/NNG+서/JKB
삶	삶/NNG
다뤄	다루/VV+어/EF


# id : NWRW1800000030.179.3.1
"미국은 4500만 가구가 개를 자식 또는 영혼의 동반자로 키우는 나라다.

"미국은	"/SS+미국/NNP+은/JX
4500만	4500/SN+만/NR
가구가	가구/NNG+가/JKS
개를	개/NNG+를/JKO
자식	자식/NNG
또는	또는/MAG
영혼의	영혼/NNG+의/JKG
동반자로	동반자/NNG+로/JKB
키우는	키우/VV+는/ETM
나라다.	나라/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.179.3.2
개 키우기는 미국인들 삶의 핵심적 부분이 됐다."

개	개/NNG
키우기는	키우/VV+기/ETN+는/JX
미국인들	미국인/NNG+들/XSN
삶의	삶/NNG+의/JKG
핵심적	핵심/NNG+적/XSN
부분이	부분/NNG+이/JKS
됐다."	되/VV+었/EP+다/EF+./SF+"/SS


# id : NWRW1800000030.179.4.1
지난달 뉴욕타임스(NYT) 역사 160년 만에 여성으로선 최초로 편집인 자리에 오른 질 애브람슨(57)이 최근 애완견 양육기 '퍼피 다이어리(Puppy Diary)'를 펴냈다.

지난달	지난달/NNG
뉴욕타임스(NYT)	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS
역사	역사/NNG
160년	160/SN+년/NNB
만에	만/NNB+에/JKB
여성으로선	여성/NNG+으로서/JKB+ㄴ/JX
최초로	최초/NNG+로/JKB
편집인	편집인/NNG
자리에	자리/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
질	질/NNP
애브람슨(57)이	애브람슨/NNP+(/SS+57/SN+)/SS+이/JKS
최근	최근/MAG
애완견	애완견/NNG
양육기	양육기/NNG
'퍼피	'/SS+퍼피/NNP
다이어리(Puppy	다이어리/NNG+(/SS+Puppy/SL
Diary)'를	Diary/SL+)/SS+'/SS+를/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.179.4.2
개 많이 키우는 미국에서도 "뉴욕타임스 편집인의 첫 저서치곤 한가한 것 아니냐"는 말이 나오지만, 월스트리트저널 탐사보도 전문기자로 이름을 날렸던 이 관록의 언론인은 '미국인의 보편적 삶과 정신세계를 진지하게 다뤘다'고 말했다.

개	개/NNG
많이	많이/MAG
키우는	키우/VV+는/ETM
미국에서도	미국/NNP+에서/JKB+도/JX
"뉴욕타임스	"/SS+뉴욕타임스/NNP
편집인의	편집인/NNG+의/JKG
첫	첫/MMN
저서치곤	저서/NNG+치고/JX+ㄴ/JX
한가한	한가하/VA+ㄴ/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나오지만,	나오/VV+지만/EC+,/SP
월스트리트저널	월스트리트저널/NNP
탐사보도	탐사/NNG+보도/NNG
전문기자로	전문/NNG+기자/NNG+로/JKB
이름을	이름/NNG+을/JKO
날렸던	날리/VV+었/EP+던/ETM
이	이/MMD
관록의	관록/NNG+의/JKG
언론인은	언론인/NNG+은/JX
'미국인의	'/SS+미국인/NNG+의/JKG
보편적	보편/NNG+적/XSN
삶과	삶/NNG+과/JC
정신세계를	정신세계/NNG+를/JKO
진지하게	진지하/VA+게/EC
다뤘다'고	다루/VV+었/EP+다/EF+'/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.179.5.1
