# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.201
metadata : {}


# id : NWRW1800000040.201.1.1
SBS 출신 잇달아 정권 보좌 요직에 청와대의 ‘신 S라인’?

SBS	SBS/SL
출신	출신/NNG
잇달아	잇달/VV+아/EC
정권	정권/NNG
보좌	보좌/NNG
요직에	요직/NNG+에/JKB
청와대의	청와대/NNP+의/JKG
‘신	‘/SS+신/XPN
S라인’?	S/SL+라인/NNG+’/SS+?/SF


# id : NWRW1800000040.201.2.1
MB정부 때 최금락·하금열 이어

MB정부	MB/SL+정부/NNG
때	때/NNG
최금락·하금열	최금락/NNP+·/SP+하금열/NNP
이어	잇/VV+어/EF


# id : NWRW1800000040.201.3.1
이남기 SBS미디어홀딩스 사장

이남기	이남기/NNP
SBS미디어홀딩스	SBS미디어홀딩스/NNP
사장	사장/NNG


# id : NWRW1800000040.201.4.1
새 정부 청와대 홍보수석 내정

새	새/MMA
정부	정부/NNG
청와대	청와대/NNP
홍보수석	홍보/NNG+수석/NNG
내정	내정/NNG


# id : NWRW1800000040.201.5.1
“하루아침에 청와대 입 변신”

“하루아침에	“/SS+하루아침/NNG+에/JKB
청와대	청와대/NNP
입	입/NNG
변신”	변신/NNG+”/SS


# id : NWRW1800000040.201.6.1
언론인 직업윤리 훼손 비판 일어

언론인	언론인/NNG
직업윤리	직업/NNG+윤리/NNG
훼손	훼손/NNG
비판	비판/NNG
일어	일/VV+어/EC


# id : NWRW1800000040.201.7.1
‘새로운 에스(S) 라인의 출현인가.’

‘새로운	‘/SS+새롭/VA+ㄴ/ETM
에스(S)	에스/NNG+(/SS+S/SL+)/SS
라인의	라인/NNG+의/JKG
출현인가.’	출현/NNG+이/VCP+ㄴ가/EF+./SF+’/SS


# id : NWRW1800000040.201.8.1
이남기 에스비에스(SBS)미디어홀딩스 사장이 18일 박근혜 정부의 청와대 홍보수석으로 내정되면서, 지상파 방송의 지주회사 현직 사장이 청와대의 ‘입’인 홍보수석으로 직행하는 게 적절한지 논란이 일고 있다.

이남기	이남기/NNP
에스비에스(SBS)미디어홀딩스	에스비에스/NNP+(/SS+SBS/SL+)/SS+미디어홀딩스/NNP
사장이	사장/NNG+이/JKS
18일	18/SN+일/NNB
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
청와대	청와대/NNP
홍보수석으로	홍보/NNG+수석/NNG+으로/JKB
내정되면서,	내정/NNG+되/XSV+면서/EC+,/SP
지상파	지상파/NNG
방송의	방송/NNG+의/JKG
지주회사	지주/NNG+회사/NNG
현직	현직/NNG
청와대의	청와대/NNP+의/JKG
‘입’인	‘/SS+입/NNG+’/SS+이/VCP+ㄴ/ETM
직행하는	직행/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
적절한지	적절하/VA+ㄴ지/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.201.8.2
에스비에스는 이명박 정부의 최금락 청와대 홍보수석과 하금열 대통령실장에 이어 이 사장까지 주요 임원 3명이 연이어 청와대 요직을 맡게 됐다.

에스비에스는	에스비에스/NNP+는/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
최금락	최금락/NNP
청와대	청와대/NNP
홍보수석과	홍보/NNG+수석/NNG+과/JKB
하금열	하금열/NNP
대통령실장에	대통령실장/NNG+에/JKB
이어	잇/VV+어/EC
이	이/NNP
사장까지	사장/NNG+까지/JX
주요	주요/NNG
임원	임원/NNG
3명이	3/SN+명/NNB+이/JKS
