# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.250
metadata : {}


# id : NWRW1800000046.250.1.1
[경제포커스] 우리는 先進 福祉에 걸맞은 시민인가

[경제포커스]	[/SS+경제/NNG+포커스/NNG+]/SS
우리는	우리/NP+는/JX
先進	先進/SH
福祉에	福祉/SH+에/JKB
걸맞은	걸맞/VA+은/ETM
시민인가	시민/NNG+이/VCP+ㄴ가/EF


# id : NWRW1800000046.250.2.1
몇 년 전 고위 외교관 아내로부터 1970년대 우리 외교관들의 애환을 말해주는 에피소드를 들은 적이 있다.

몇	몇/NR
년	년/NNB
전	전/NNG
고위	고위/NNG
외교관	외교관/NNG
아내로부터	아내/NNG+로부터/JKB
1970년대	1970/SN+년대/NNB
우리	우리/NP
외교관들의	외교관/NNG+들/XSN+의/JKG
애환을	애환/NNG+을/JKO
말해주는	말/NNG+하/XSV+아/EC+주/VX+는/ETM
에피소드를	에피소드/NNG+를/JKO
들은	듣/VV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.250.2.2
꼭 참석해야 할 외교 사절 파티는 많은데 연미복을 사 입을 돈이 없어 고민이었다.

꼭	꼭/MAG
참석해야	참석/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
외교	외교/NNG
사절	사절/NNG
파티는	파티/NNG+는/JX
많은데	많/VA+은데/EC
연미복을	연미복/NNG+을/JKO
사	사/VV+아/EC
입을	입/VV+을/ETM
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
고민이었다.	고민/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.250.2.3
궁리 끝에 짜낸 꼼수가 백화점에 가서 고급 양복을 산 뒤 파티 때 잘 입고 나서 다음 날 이런저런 핑계를 대고 환불받는 방법이었다.

궁리	궁리/NNG
끝에	끝/NNG+에/JKB
짜낸	짜내/VV+ㄴ/ETM
꼼수가	꼼수/NNG+가/JKS
백화점에	백화점/NNG+에/JKB
가서	가/VV+아서/EC
고급	고급/NNG
양복을	양복/NNG+을/JKO
산	사/VV+ㄴ/ETM
뒤	뒤/NNG
파티	파티/NNG
때	때/NNG
잘	잘/MAG
입고	입/VV+고/EC
나서	나/VX+아서/EC
다음	다음/NNG
날	날/NNG
이런저런	이런저런/MMD
핑계를	핑계/NNG+를/JKO
대고	대/VV+고/EC
환불받는	환불/NNG+받/XSV+는/ETM
방법이었다.	방법/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.250.2.4
가난했던 시절의 씁쓸한 이야기다.

가난했던	가난/NNG+하/XSA+았/EP+던/ETM
시절의	시절/NNG+의/JKG
씁쓸한	씁쓸하/VA+ㄴ/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.250.3.1
영화 '국제시장' 주인공 세대의 이런 악전고투(?) 덕에 후배 세대인 우리는 1인당 국민소득 2만달러 시대를 살고 있다.

영화	영화/NNG
'국제시장'	'/SS+국제/NNG+시장/NNG+'/SS
주인공	주인공/NNG
세대의	세대/NNG+의/JKG
이런	이런/MMD
악전고투(?)	악전고투/NNG+(/SS+?/SF+)/SS
덕에	덕/NNG+에/JKB
후배	후배/NNG
세대인	세대/NNG+이/VCP+ㄴ/ETM
우리는	우리/NP+는/JX
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
2만달러	2/SN+만/NR+달러/NNB
시대를	시대/NNG+를/JKO
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.250.3.2
하지만 지금 우리 세대는 과연 소득 수준에 걸맞은 '교양인'으로 성장했을까.

하지만	하지만/MAJ
지금	지금/MAG
우리	우리/NP
세대는	세대/NNG+는/JX
과연	과연/MAG
소득	소득/NNG
수준에	수준/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
'교양인'으로	'/SS+교양인/NNG+'/SS+으로/JKB
성장했을까.	성장/NNG+하/XSV+았/EP+을까/EF+./SF


# id : NWRW1800000046.250.4.1
10여년 전 프랑스에서 어학 연수생 신분이던 시절, 여섯 살 난 아이를 공립 유치원에 보냈다.

10여년	10/SN+여/XSN+년/NNB
전	전/NNG
프랑스에서	프랑스/NNP+에서/JKB
어학	어학/NNG
연수생	연수/NNG+생/XSN
신분이던	신분/NNG+이/VCP+던/ETM
시절,	시절/NNG+,/SP
여섯	여섯/NR
살	살/NNB
난	나/VV+ㄴ/ETM
아이를	아이/NNG+를/JKO
공립	공립/NNG
유치원에	유치원/NNG+에/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.250.4.2
교육비는 공짜지만 점심 밥값은 내야 했다.

교육비는	교육비/NNG+는/JX
공짜지만	공짜/NNG+이/VCP+지만/EC
점심	점심/NNG
밥값은	밥값/NNG+은/JX
내야	내/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.250.4.3
점심값은 부모 소득수준에 따라 달랐다.

점심값은	점심값/NNG+은/JX
부모	부모/NNG
소득수준에	소득/NNG+수준/NNG+에/JKB
따라	따르/VV+아/EC
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.250.4.4
서민층은 공짜지만 고소득자는 끼니당 5000원가량 내야 했다.

서민층은	서민/NNG+층/XSN+은/JX
공짜지만	공짜/NNG+이/VCP+지만/EC
고소득자는	고소득자/NNG+는/JX
끼니당	끼니/NNG+당/XSN
5000원가량	5000/SN+원/NNB+가량/XSN
내야	내/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.250.4.5
그런데 한국 대기업 주재원들은 소득을 낮게 신고해 아이 점심값을 적게 내고는 무슨 무용담인 양 자랑하고 다녔다.

그런데	그런데/MAJ
한국	한국/NNP
대기업	대/XPN+기업/NNG
주재원들은	주재원/NNG+들/XSN+은/JX
소득을	소득/NNG+을/JKO
낮게	낮/VA+게/EC
신고해	신고/NNG+하/XSV+아/EC
아이	아이/NNG
점심값을	점심값/NNG+을/JKO
적게	적/VA+게/EC
내고는	내/VV+고/EC+는/JX
무슨	무슨/MMD
무용담인	무용담/NNG+이/VCP+ㄴ/ETM
양	양/NNB
자랑하고	자랑/NNG+하/XSV+고/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.250.5.1
이런 풍경은 한국이 세계 10위권 경제 대국이 돼도 변하지 않았다.

이런	이런/MMD
풍경은	풍경/NNG+은/JX
한국이	한국/NNP+이/JKS
세계	세계/NNG
10위권	10/SN+위/NNB+권/XSN
경제	경제/NNG
대국이	대국/NNG+이/JKC
돼도	되/VV+어도/EC
변하지	변하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.250.5.2
2008년 특파원으로 다시 파리에 갔을 때 둘째를 공립 어린이집에 보내고 싶었지만 맞벌이 부부여야 한다는 조건 때문에 포기해야 했다.

2008년	2008/SN+년/NNB
특파원으로	특파원/NNG+으로/JKB
다시	다시/MAG
파리에	파리/NNP+에/JKB
갔을	가/VV+았/EP+을/ETM
때	때/NNG
둘째를	둘째/NR+를/JKO
공립	공립/NNG
어린이집에	어린이집/NNG+에/JKB
보내고	보내/VV+고/EC
싶었지만	싶/VX+었/EP+지만/EC
맞벌이	맞벌이/NNG
부부여야	부부/NNG+이/VCP+어야/EC
한다는	하/VX+ㄴ다는/ETM
조건	조건/NNG
때문에	때문/NNB+에/JKB
포기해야	포기/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.250.5.3
그런데 한국 기업의 주재원 중에는 배우자의 가짜 재직 증명서를 만들어 공립 보육원에 아이를 맡기는 사람이 있었다.

그런데	그런데/MAJ
한국	한국/NNP
기업의	기업/NNG+의/JKG
주재원	주재원/NNG
중에는	중/NNB+에/JKB+는/JX
배우자의	배우자/NNG+의/JKG
가짜	가짜/NNG
재직	재직/NNG
증명서를	증명서/NNG+를/JKO
만들어	만들/VV+어/EC
공립	공립/NNG
보육원에	보육원/NNG+에/JKB
아이를	아이/NNG+를/JKO
맡기는	맡기/VV+는/ETM
사람이	사람/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.250.5.4
이런 장면을 보고 '과연 우리의 의식 수준이 선진 복지 제도를 수용할 준비가 돼 있나' 하는 의구심이 들었다.

이런	이런/MMD
장면을	장면/NNG+을/JKO
보고	보/VV+고/EC
'과연	'/SS+과연/MAG
우리의	우리/NP+의/JKG
의식	의식/NNG
수준이	수준/NNG+이/JKS
선진	선진/NNG
복지	복지/NNG
제도를	제도/NNG+를/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있나'	있/VX+나/EF+'/SS
하는	하/VV+는/ETM
의구심이	의구심/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.250.6.1
물론 프랑스 같은 선진국에도 자격 요건을 조작해 복지 혜택을 부당하게 누리는 '공짜 점심족(族)'이 있다.

물론	물론/MAG
프랑스	프랑스/NNP
같은	같/VA+은/ETM
선진국에도	선진국/NNG+에/JKB+도/JX
자격	자격/NNG
요건을	요건/NNG+을/JKO
조작해	조작/NNG+하/XSV+아/EC
복지	복지/NNG
혜택을	혜택/NNG+을/JKO
부당하게	부당/NNG+하/XSA+게/EC
누리는	누리/VV+는/ETM
'공짜	'/SS+공짜/NNG
점심족(族)'이	점심족/NNG+(/SS+族/SH+)/SS+'/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.250.6.2
복지 역사가 100년이 넘고 소득의 40~50%를 세금으로 떼이니 '딴맘'을 먹는 사람이 생길 법도 하다.

복지	복지/NNG
역사가	역사/NNG+가/JKS
100년이	100/SN+년/NNB+이/JKS
넘고	넘/VV+고/EC
소득의	소득/NNG+의/JKG
40~50%를	40/SN+~/SO+50/SN+%/SW+를/JKO
세금으로	세금/NNG+으로/JKB
떼이니	떼이/VV+니/EC
'딴맘'을	'/SS+딴맘/NNG+'/SS+을/JKO
먹는	먹/VV+는/ETM
사람이	사람/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
법도	법/NNB+도/JX
하다.	하/VV+다/EF+./SF


# id : NWRW1800000046.250.6.3
하지만 우리는 선진 복지가 이제 갓 시작됐고, 소득 대비 세금 납부율은 선진국의 절반 수준인데도 납세자들 사이에 '공짜 심리'가 만연해 있다.

하지만	하지만/MAJ
우리는	우리/NP+는/JX
선진	선진/NNG
복지가	복지/NNG+가/JKS
이제	이제/MAG
갓	갓/MAG
시작됐고,	시작/NNG+되/XSV+었/EP+고/EC+,/SP
소득	소득/NNG
대비	대비/NNG
세금	세금/NNG
납부율은	납부/NNG+율/XSN+은/JX
선진국의	선진국/NNG+의/JKG
절반	절반/NNG
수준인데도	수준/NNG+이/VCP+ㄴ데/EC+도/JX
납세자들	납세자/NNG+들/XSN
사이에	사이/NNG+에/JKB
'공짜	'/SS+공짜/NNG
심리'가	심리/NNG+'/SS+가/JKS
만연해	만연/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.250.6.4
나라에서 무상(無償) 보육을 해준다고 하니 전업주부들도 앞다퉈 자녀를 보육원에 맡긴다.

나라에서	나라/NNG+에서/JKB
무상(無償)	무상/NNG+(/SS+無償/SH+)/SS
보육을	보육/NNG+을/JKO
해준다고	하/VV+아/EC+주/VX+ㄴ다고/EC
하니	하/VV+니/EC
전업주부들도	전업주부/NNG+들/XSN+도/JX
앞다퉈	앞다투/VV+어/EC
자녀를	자녀/NNG+를/JKO
보육원에	보육원/NNG+에/JKB
맡긴다.	맡기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.250.6.5
이자·연금 소득이 적지 않은 사람들이 건강보험에 무임승차하려고 온갖 꼼수를 쓴다.

이자·연금	이자/NNG+·/SP+연금/NNG
소득이	소득/NNG+이/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
건강보험에	건강/NNG+보험/NNG+에/JKB
무임승차하려고	무임승차/NNG+하/XSV+려고/EC
온갖	온갖/MMN
꼼수를	꼼수/NNG+를/JKO
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.250.6.6
월급쟁이와 자영업자의 3분의 1 이상이 소득세를 한 푼도 안 내면서 복지 혜택만 기대하는 것은 정상 상황이 아니다.

월급쟁이와	월급/NNG+쟁이/XSN+와/JC
자영업자의	자영업자/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
이상이	이상/NNG+이/JKS
소득세를	소득세/NNG+를/JKO
한	한/MMN
푼도	푼/NNB+도/JX
안	안/MAG
내면서	내/VV+면서/EC
복지	복지/NNG
혜택만	혜택/NNG+만/JX
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정상	정상/NNG
상황이	상황/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.250.6.7
그런데 연말정산 대란에서 드러났듯이 다수 국민은 선진 복지를 원하면서 세금을 더 낼 생각은 없다.

그런데	그런데/MAJ
연말정산	연말/NNG+정산/NNG
대란에서	대란/NNG+에서/JKB
드러났듯이	드러나/VV+았/EP+듯이/EC
다수	다수/NNG
국민은	국민/NNG+은/JX
선진	선진/NNG
복지를	복지/NNG+를/JKO
원하면서	원/NNG+하/XSV+면서/EC
세금을	세금/NNG+을/JKO
더	더/MAG
낼	내/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.250.6.8
복지를 권리로만 인식하고 그것을 유지하기 위한 책임은 남의 일로 여긴다.

복지를	복지/NNG+를/JKO
권리로만	권리/NNG+로/JKB+만/JX
인식하고	인식/NNG+하/XSV+고/EC
그것을	그것/NP+을/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
책임은	책임/NNG+은/JX
남의	남/NNG+의/JKG
일로	일/NNG+로/JKB
여긴다.	여기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.250.7.1
선진 복지가 뿌리를 내리려면 거기에 걸맞은 시민 의식이 뒷받침돼야 한다.

선진	선진/NNG
복지가	복지/NNG+가/JKS
뿌리를	뿌리/NNG+를/JKO
내리려면	내리/VV+려면/EC
거기에	거기/NP+에/JKB
걸맞은	걸맞/VA+은/ETM
시민	시민/NNG
의식이	의식/NNG+이/JKS
뒷받침돼야	뒷받침/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.250.7.2
오늘의 선진국들은 1인당 국민소득 1만달러 시절에 복지·분배·노사협력 모델을 만들어 미래를 도모했다.

오늘의	오늘/NNG+의/JKG
선진국들은	선진국/NNG+들/XSN+은/JX
1인당	1/SN+인/NNG+당/XSN
국민소득	국민/NNG+소득/NNG
1만달러	1/SN+만/NR+달러/NNB
시절에	시절/NNG+에/JKB
복지·분배·노사협력	복지/NNG+·/SP+분배/NNG+·/SP+노사/NNG+협력/NNG
모델을	모델/NNG+을/JKO
만들어	만들/VV+어/EC
미래를	미래/NNG+를/JKO
도모했다.	도모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.250.7.3
이기심과 공익의 조화와 그것을 위한 타협은 선진 시민사회의 필수 덕목이다.

이기심과	이기심/NNG+과/JC
공익의	공익/NNG+의/JKG
조화와	조화/NNG+와/JC
그것을	그것/NP+을/JKO
위한	위하/VV+ㄴ/ETM
타협은	타협/NNG+은/JX
선진	선진/NNG
시민사회의	시민/NNG+사회/NNG+의/JKG
필수	필수/NNG
덕목이다.	덕목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.250.8.1
우리도 가능성을 보여준 전례가 있다.

우리도	우리/NP+도/JX
가능성을	가능/NNG+성/XSN+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
전례가	전례/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.250.8.2
외환 위기 때 '금(金) 모으기 운동'이 그것이다.

외환	외환/NNG
위기	위기/NNG
때	때/NNG
