# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.157
metadata : {}


# id : NWRW1800000030.157.1.1
美 해병대는 가혹행위 없앤 후 더 강해졌다

美	美/SH
해병대는	해병대/NNG+는/JX
가혹행위	가혹/NNG+행위/NNG
없앤	없애/VV+ㄴ/ETM
후	후/NNG
더	더/MAG
강해졌다	강하/VA+아/EC+지/VX+었/EP+다/EF


# id : NWRW1800000030.157.2.1
•한국 해병도 3진아웃 등 실시, 후진적 군기 문화 없애야

•한국	•/SW+한국/NNP
해병도	해병/NNG+도/JX
3진아웃	3진/NNG+아웃/NNG
등	등/NNB
실시,	실시/NNG+,/SP
후진적	후진/NNG+적/XSN
군기	군기/NNG
문화	문화/NNG
없애야	없애/VV+어야/EC


# id : NWRW1800000030.157.3.1
1976년 미 해병대 훈련병이던 린 매클루어는 고된 훈련 과정을 감당하지 못하는 '문제 병사'였다.

1976년	1976/SN+년/NNB
미	미/NNP
해병대	해병대/NNG
훈련병이던	훈련병/NNG+이/VCP+던/ETM
린	린/NNP
매클루어는	매클루어/NNP+는/JX
고된	고되/VA+ㄴ/ETM
훈련	훈련/NNG
과정을	과정/NNG+을/JKO
감당하지	감당/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
'문제	'/SS+문제/NNG
병사'였다.	병사/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.157.3.2
참다 못한 교관은 군기(軍紀)를 잡아야겠다는 생각에 매클루어에게 '나무 방망이'로 하는 백병전 훈련을 지시했다.

참다	참/VV+다/EC
못한	못하/VX+ㄴ/ETM
교관은	교관/NNG+은/JX
군기(軍紀)를	군기/NNG+(/SS+軍紀/SH+)/SS+를/JKO
잡아야겠다는	잡/VV+아야/EC+하/VX+겠/EP+다는/ETM
생각에	생각/NNG+에/JKB
매클루어에게	매클루어/NNP+에게/JKB
'나무	'/SS+나무/NNG
방망이'로	방망이/NNG+'/SS+로/JKB
하는	하/VV+는/ETM
백병전	백병전/NNG
훈련을	훈련/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.157.3.3
그런데 정도가 지나쳤다.

그런데	그런데/MAJ
정도가	정도/NNG+가/JKS
지나쳤다.	지나치/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.157.3.4
매클루어는 이 과정에서 줄기차게 얻어맞았고 나중엔 "살려달라"고 애원하다가 쓰러져 숨졌다.

매클루어는	매클루어/NNP+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
줄기차게	줄기차/VA+게/EC
얻어맞았고	얻어맞/VV+았/EP+고/EC
나중엔	나중/NNG+에/JKB+ㄴ/JX
"살려달라"고	"/SS+살리/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
애원하다가	애원/NNG+하/XSV+다가/EC
쓰러져	쓰러지/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.157.4.1
이처럼 미 해병대 역시 가혹 행위가 여러 번 문제가 된 적이 있다.

이처럼	이/NP+처럼/JKB
미	미/NNP
해병대	해병대/NNG
역시	역시/MAG
가혹	가혹/NNG
행위가	행위/NNG+가/JKS
여러	여러/MMN
번	번/NNB
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.157.4.2
1992년 개봉한 영화 '어퓨굿맨(A Few Good Men)'에서는 해병대 선임병들이 부대 생활에 적응하지 못하고 전출을 요구하는 후임병에게 '코드 레드(Code Red)'라는 강도 높은 얼차려를 주다 목숨을 잃게 만드는 장면이 나온다.

1992년	1992/SN+년/NNB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
'어퓨굿맨(A	'/SS+어퓨굿맨/NNP+(/SS+A/SL
Few	Few/SL
Good	Good/SL
Men)'에서는	Men/SL+)/SS+'/SS+에서/JKB+는/JX
해병대	해병대/NNG
선임병들이	선임병/NNG+들/XSN+이/JKS
부대	부대/NNG
생활에	생활/NNG+에/JKB
적응하지	적응/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
전출을	전출/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
후임병에게	후임병/NNG+에게/JKB
'코드	'/SS+코드/NNG
레드(Code	레드/NNG+(/SS+Code/SL
Red)'라는	Red/SL+)/SS+'/SS+이/VCP+라는/ETM
강도	강도/NNG
높은	높/VA+은/ETM
얼차려를	얼차려/NNG+를/JKO
주다	주/VV+다/EC
목숨을	목숨/NNG+을/JKO
잃게	잃/VV+게/EC
만드는	만들/VV+는/ETM
장면이	장면/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.157.5.1
미 해병대는 '매클루어 사건' 이후 가혹 행위 근절을 선언했다.

미	미/NNP
해병대는	해병대/NNG+는/JX
'매클루어	'/SS+매클루어/NNP
사건'	사건/NNG+'/SS
이후	이후/NNG
가혹	가혹/NNG
행위	행위/NNG
근절을	근절/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.157.5.2
처음에는 "해병대 정신을 말살하려 한다"는 저항이 만만치 않았지만 차츰 정착됐다.

처음에는	처음/NNG+에/JKB+는/JX
"해병대	"/SS+해병대/NNG
