# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.59
metadata : {}


# id : NWRW1800000049.59.1.1
日은 印과 ‘신칸센 외교’

日은	日/SH+은/JX
印과	印/SH+과/JKB
‘신칸센	‘/SS+신칸센/NNP
외교’	외교/NNG+’/SS


# id : NWRW1800000049.59.2.1
아베, 모디 총리 방일 계기, 6개구간 고속철 수출 적극 타진 공장 신설-기술이전 당근 내걸어

아베,	아베/NNP+,/SP
모디	모디/NNP
총리	총리/NNG
방일	방일/NNG
계기,	계기/NNG+,/SP
6개구간	6/SN+개/NNB+구간/NNG
고속철	고속철/NNG
수출	수출/NNG
적극	적극/NNG
타진	타진/NNG
공장	공장/NNG
신설-기술이전	신설/NNG+-/SO+기술/NNG+이전/NNG
당근	당근/NNG
내걸어	내걸/VV+어/EF


# id : NWRW1800000049.59.3.1
아베 신조(安倍晋三) 일본 총리가 나렌드라 모디 인도 총리의 방일을 계기로 대대적인 경제협력 강화에 나선다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
나렌드라	나렌드라/NNP
모디	모디/NNP
인도	인도/NNP
총리의	총리/NNG+의/JKG
방일을	방일/NNG+을/JKO
계기로	계기/NNG+로/JKB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
경제협력	경제/NNG+협력/NNG
강화에	강화/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.59.4.1
아베 총리는 11일 도쿄(東京)에서 열리는 정상회담에서 “현재 인도가 추진 중인 고속철도 6개 구간 전부에 신칸센 방식을 채용해줄 것”을 요청할 방침이라고 니혼게이자이신문이 6일 보도했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
11일	11/SN+일/NNB
도쿄(東京)에서	도쿄/NNP+(/SS+東京/SH+)/SS+에서/JKB
열리는	열리/VV+는/ETM
정상회담에서	정상/NNG+회담/NNG+에서/JKB
“현재	“/SS+현재/MAG
인도가	인도/NNP+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
고속철도	고속/NNG+철도/NNG
6개	6/SN+개/NNB
구간	구간/NNG
전부에	전부/NNG+에/JKB
신칸센	신칸센/NNP
방식을	방식/NNG+을/JKO
채용해줄	채용/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것”을	것/NNB+”/SS+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
니혼게이자이신문이	니혼게이자이신문/NNP+이/JKS
6일	6/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.59.4.2
인도는 이미 뭄바이∼아마다바드 구간의 고속철도에 신칸센을 도입하기로 일본과 합의한 상태다.

인도는	인도/NNP+는/JX
이미	이미/MAG
뭄바이∼아마다바드	뭄바이/NNP+∼/SO+아마다바드/NNP
구간의	구간/NNG+의/JKG
고속철도에	고속/NNG+철도/NNG+에/JKB
신칸센을	신칸센/NNP+을/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
일본과	일본/NNP+과/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.59.4.3
여기에 현재 검토 중인 콜카타, 델리, 하이데라바드, 첸나이, 벵갈루루 등을 중심으로 한 6개 고속철 노선에도 신칸센 도입을 요청할 방침이다.

여기에	여기/NP+에/JKB
현재	현재/MAG
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
콜카타,	콜카타/NNP+,/SP
