# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.408
metadata : {}


# id : NWRW1800000054.408.1.1
文대통령 "올해 출산율, 역대 최저 1.03명 될 전망"

文대통령	文/SH+대통령/NNG
"올해	"/SS+올해/NNG
출산율,	출산/NNG+율/XSN+,/SP
역대	역대/NNG
최저	최저/NNG
1.03명	1/SN+./SP+03/SN+명/NNB
될	되/VV+ㄹ/ETM
전망"	전망/NNG+"/SS


# id : NWRW1800000054.408.2.1
복지·고용·여성부 업무보고서 "이대로 가면 국가적 위기" 지적

복지·고용·여성부	복지/NNG+·/SP+고용/NNG+·/SP+여성부/NNG
업무보고서	업무/NNG+보고/NNG+서/JKB
"이대로	"/SS+이대로/MAG
가면	가/VV+면/EC
국가적	국가/NNG+적/XSN
위기"	위기/NNG+"/SS
지적	지적/NNG


# id : NWRW1800000054.408.3.1
문재인 대통령은 31일 정부 세종청사에서 열린 보건 복지부·고용노동부·여성가족부 업무 보고에서 "저(低)출산 문제 해결을 위해 10년간 100조원을 썼는데도 조금도 해결 기미가 보이지 않는다"며 "아동수당을 새롭게 도입하고 의료의 국가 책임성을 강화하는 일, 국공립 어린이집을 늘리고 돌봄 서비스를 확대하는 정책들을 차질 없이 추진해야 할 것"이라고 말했다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
31일	31/SN+일/NNB
정부	정부/NNG
세종청사에서	세종청사/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
보건	보건/NNG
복지부·고용노동부·여성가족부	복지부/NNG+·/SP+고용/NNG+노동부/NNG+·/SP+여성/NNG+가족부/NNG
업무	업무/NNG
보고에서	보고/NNG+에서/JKB
"저(低)출산	"/SS+저/XPN+(/SS+低/SH+)/SS+출산/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
10년간	10/SN+년/NNB+간/XSN
100조원을	100/SN+조/NR+원/NNB+을/JKO
썼는데도	쓰/VV+었/EP+는데/EC+도/JX
조금도	조금/NNG+도/JX
해결	해결/NNG
기미가	기미/NNG+가/JKS
보이지	보이/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
"아동수당을	"/SS+아동/NNG+수당/NNG+을/JKO
새롭게	새롭/VA+게/EC
도입하고	도입/NNG+하/XSV+고/EC
의료의	의료/NNG+의/JKG
국가	국가/NNG
책임성을	책임/NNG+성/XSN+을/JKO
