# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.36
metadata : {}


# id : NWRW1800000021.36.1.1
친이-친박, 靑오찬 끝나자마자 파열음

친이-친박,	친/XPN+이/NNP+-/SO+친/XPN+박/NNP+,/SP
靑오찬	靑/SH+오찬/NNG
끝나자마자	끝나/VV+자마자/EC
파열음	파열음/NNG


# id : NWRW1800000021.36.2.1
이명박 대통령과 한나라당 최고위원 및 중진 의원들의 2일 오찬회동이 끝나자마자 친이와 친박 진영이 다시 노골적으로 다투고 있다.

이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
한나라당	한나라당/NNP
최고위원	최고/NNG+위원/NNG
및	및/MAG
중진	중진/NNG
의원들의	의원/NNG+들/XSN+의/JKG
2일	2/SN+일/NNB
오찬회동이	오찬/NNG+회동/NNG+이/JKS
끝나자마자	끝나/VV+자마자/EC
친이와	친/XPN+이/NNP+와/JC
친박	친/XPN+박/NNP
진영이	진영/NNG+이/JKS
다시	다시/MAG
노골적으로	노골/NNG+적/XSN+으로/JKB
다투고	다투/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.36.3.1
친박계 좌장인 김무성 의원과 친이 직계인 공성진 최고위원은 3일 전에 없던 강경한 발언들을 각각 쏟아냈다.

친박계	친/XPN+박/NNP+계/XSN
좌장인	좌장/NNG+이/VCP+ㄴ/ETM
김무성	김무성/NNP
의원과	의원/NNG+과/JC
친이	친/XPN+이/NNP
직계인	직계/NNG+이/VCP+ㄴ/ETM
공성진	공성진/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
3일	3/SN+일/NNB
전에	전/NNG+에/JKB
없던	없/VA+던/ETM
강경한	강경/NNG+하/XSA+ㄴ/ETM
발언들을	발언/NNG+들/XSN+을/JKO
각각	각각/MAG
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.36.4.1
김 의원은 이날 한 라디오에서 “2월 국회가 끝나면 건전한 비주류로서 역할을 할 생각”이라며 “앞으로는 시시비비(是是非非)를 가려 반드시 지적하고 넘어가겠다”고 밝혔다.

김	김/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
한	한/MMN
라디오에서	라디오/NNG+에서/JKB
“2월	“/SS+2/SN+월/NNB
국회가	국회/NNG+가/JKS
끝나면	끝나/VV+면/EC
건전한	건전/NNG+하/XSA+ㄴ/ETM
비주류로서	비/XPN+주류/NNG+로서/JKB
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
생각”이라며	생각/NNG+”/SS+이/VCP+라며/EC
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
시시비비(是是非非)를	시시비비/NNG+(/SS+是是非非/SH+)/SS+를/JKO
가려	가리/VV+어/EC
반드시	반드시/MAG
지적하고	지적/NNG+하/XSV+고/EC
넘어가겠다”고	넘어가/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.36.5.1
그는 이어 “대통령 임기 1년 동안은 조용하게 협조하는 것이 도리라고 생각해 일절 소리를 내지 않고 협조해왔는데 이를 고맙게 생각하지 않고 ‘왜 비협조적이냐’고 비판해왔다”며 친이계에 대한 불만을 숨기지 않았다.

그는	그/NP+는/JX
이어	이어/MAG
“대통령	“/SS+대통령/NNG
임기	임기/NNG
1년	1/SN+년/NNB
동안은	동안/NNG+은/JX
조용하게	조용하/VA+게/EC
협조하는	협조/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
도리라고	도리/NNG+이/VCP+라고/EC
생각해	생각/NNG+하/XSV+아/EC
일절	일절/MAG
소리를	소리/NNG+를/JKO
