# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.135
metadata : {}


# id : NWRW1800000033.135.1.1
[인문사회]11년 동거… 젊은 철학자의 ‘솔메이트’가 된 순혈늑대

[인문사회]11년	[/SS+인문/NNG+사회/NNG+]/SS+11/SN+년/NNB
동거…	동거/NNG+…/SE
젊은	젊/VA+은/ETM
철학자의	철학자/NNG+의/JKG
‘솔메이트’가	‘/SS+솔메이트/NNG+’/SS+가/JKC
된	되/VV+ㄴ/ETM
순혈늑대	순혈/NNG+늑대/NNG


# id : NWRW1800000033.135.2.1
◇철학자와 늑대/마크 롤랜즈 지음·강수희 옮김/344쪽·1만5000원·추수밭

◇철학자와	◇/SW+철학자/NNG+와/JC
늑대/마크	늑대/NNG+//SP+마크/NNP
롤랜즈	롤랜즈/NNP
지음·강수희	짓/VV+음/ETN+·/SP+강수희/NNP
옮김/344쪽·1만5000원·추수밭	옮기/VV+ㅁ/ETN+//SP+344/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+·/SP+추수밭/NNP


# id : NWRW1800000033.135.3.1
보송보송한 털, 꿀처럼 노란 눈, 모난 데 하나 없이 동글동글한 새끼 늑대에게 20대 철학자는 한눈에 반해버린다.

보송보송한	보송보송/MAG+하/XSA+ㄴ/ETM
털,	털/NNG+,/SP
꿀처럼	꿀/NNG+처럼/JKB
노란	노랗/VA+ㄴ/ETM
눈,	눈/NNG+,/SP
모난	모나/VA+ㄴ/ETM
데	데/NNB
하나	하나/NR
없이	없이/MAG
동글동글한	동글동글/MAG+하/XSA+ㄴ/ETM
새끼	새끼/NNG
늑대에게	늑대/NNG+에게/JKB
20대	20/SN+대/NNB
철학자는	철학자/NNG+는/JX
한눈에	한눈/NNG+에/JKB
반해버린다.	반하/VV+아/EC+버리/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.135.3.2
혼혈 늑대개도 아닌 100% 늑대였지만 즉석에서 입양하고 만다.

혼혈	혼혈/NNG
늑대개도	늑대/NNG+개/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
100%	100/SN+%/SW
늑대였지만	늑대/NNG+이/VCP+었/EP+지만/EC
즉석에서	즉석/NNG+에서/JKB
입양하고	입양/NNG+하/XSV+고/EC
만다.	말/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.135.3.3
1990년 이렇게 만난 수컷 늑대 브레닌은 11년간 그와 함께 살면서 철학자의 인생을 송두리째 바꿔버린다.

1990년	1990/SN+년/NNB
이렇게	이렇/VA+게/EC
만난	만나/VV+ㄴ/ETM
수컷	수컷/NNG
늑대	늑대/NNG
브레닌은	브레닌/NNP+은/JX
11년간	11/SN+년/NNB+간/XSN
그와	그/NP+와/JKB
함께	함께/MAG
살면서	살/VV+면서/EC
철학자의	철학자/NNG+의/JKG
인생을	인생/NNG+을/JKO
송두리째	송두리째/MAG
바꿔버린다.	바꾸/VV+어/EC+버리/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.135.3.4
