# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.58
metadata : {}


# id : NWRW1800000033.58.1.1
내년 ‘태양활동 극대기’ 지구촌 비상

내년	내년/NNG
‘태양활동	‘/SS+태양/NNG+활동/NNG
극대기’	극대기/NNG+’/SS
지구촌	지구촌/NNG
비상	비상/NNG


# id : NWRW1800000033.58.2.1
23일 강력한 태양폭발이 7년 만에 발생한 가운데 내년에는 태양 활동이 극대기(極大期)에 들어서면서 사회 전반에 대규모 피해가 발생할 수 있다는 진단이 나왔다.

23일	23/SN+일/NNB
강력한	강력/NNG+하/XSA+ㄴ/ETM
태양폭발이	태양/NNG+폭발/NNG+이/JKS
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
내년에는	내년/NNG+에/JKB+는/JX
태양	태양/NNG
활동이	활동/NNG+이/JKS
극대기(極大期)에	극대기/NNG+(/SS+極大期/SH+)/SS+에/JKB
들어서면서	들어서/VV+면서/EC
사회	사회/NNG
전반에	전반/NNG+에/JKB
대규모	대/XPN+규모/NNG
피해가	피해/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
진단이	진단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.2.2
이에 정부는 이르면 올해 7월 ‘국가우주기상협의체’를 구성하기로 했다.

이에	이/NP+에/JKB
정부는	정부/NNG+는/JX
이르면	이르/VV+면/EC
올해	올해/NNG
7월	7/SN+월/NNB
‘국가우주기상협의체’를	‘/SS+국가우주기상협의체/NNP+’/SS+를/JKO
구성하기로	구성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.2.3
기상청은 내년에 대규모 우주폭풍이 빈번하게 발생할 수 있다는 지적에 따라 이같이 결정했다고 26일 밝혔다.

기상청은	기상청/NNG+은/JX
내년에	내년/NNG+에/JKB
대규모	대/XPN+규모/NNG
우주폭풍이	우주/NNG+폭풍/NNG+이/JKS
빈번하게	빈번하/VA+게/EC
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적에	지적/NNG+에/JKB
따라	따르/VV+아/EC
이같이	이/NP+같이/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.58.2.4
국가우주기상협의체는 기상청을 중심으로 한국천문연구원 국립전파연구원 공군 등 국내 연구 및 군사기관이 참여한다.

국가우주기상협의체는	국가우주기상협의체/NNP+는/JX
기상청을	기상청/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한국천문연구원	한국천문연구원/NNP
국립전파연구원	국립전파연구원/NNP
공군	공군/NNG
등	등/NNB
국내	국내/NNG
연구	연구/NNG
및	및/MAG
군사기관이	군사/NNG+기관/NNG+이/JKS
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.3.1
기상청은 이날 “내년 5, 6월에 태양 활동 극대기가 나타날 것”이라고 예측했다.

기상청은	기상청/NNG+은/JX
이날	이날/NNG
“내년	“/SS+내년/NNG
5,	5/SN+,/SP
6월에	6/SN+월/NNB+에/JKB
태양	태양/NNG
활동	활동/NNG
극대기가	극대기/NNG+가/JKS
나타날	나타나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.3.2
미항공우주국(NASA)도 최근 “2013년 5월 태양 활동 극대기가 될 것”이라며 전 지구 차원에서 대비책을 세워야 한다고 지적했다.

미항공우주국(NASA)도	미항공우주국/NNP+(/SS+NASA/SL+)/SS+도/JX
최근	최근/MAG
“2013년	“/SS+2013/SN+년/NNB
5월	5/SN+월/NNB
태양	태양/NNG
활동	활동/NNG
극대기가	극대기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
전	전/MMN
지구	지구/NNG
차원에서	차원/NNG+에서/JKB
대비책을	대비책/NNG+을/JKO
세워야	세우/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.58.4.1
기상청에 따르면 태양은 11년 주기로 흑점 수가 증감한다.

기상청에	기상청/NNG+에/JKB
따르면	따르/VV+면/EC
태양은	태양/NNG+은/JX
11년	11/SN+년/NNB
주기로	주기/NNG+로/JKB
흑점	흑점/NNG
수가	수/NNG+가/JKS
증감한다.	증감/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.58.4.2
태양흑점이 폭발하며 표면에 있던 높은 에너지를 가진 플라스마 입자가 우주로 방출되면서 우주폭풍이 발생한다.

태양흑점이	태양/NNG+흑점/NNG+이/JKS
폭발하며	폭발/NNG+하/XSV+며/EC
표면에	표면/NNG+에/JKB
있던	있/VA+던/ETM
