# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.376
metadata : {}


# id : NWRW1800000021.376.1.1
연말 중소형주 강세장 오나?

연말	연말/NNG
중소형주	중소형주/NNG
강세장	강세장/NNG
오나?	오/VV+나/EF+?/SF


# id : NWRW1800000021.376.2.1
‘어디 좋은 중소형주 없을까.’

‘어디	‘/SS+어디/NP
좋은	좋/VA+은/ETM
중소형주	중소형주/NNG
없을까.’	없/VA+을까/EF+./SF+’/SS


# id : NWRW1800000021.376.3.1
주식투자 경력 4년째인 직장인 이모 씨(31)는 요즘 다시 중소형주에 눈길이 간다.

주식투자	주식/NNG+투자/NNG
경력	경력/NNG
4년째인	4/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
직장인	직장인/NNG
이모	이/NNP+모/NP
씨(31)는	씨/NNB+(/SS+31/SN+)/SS+는/JX
요즘	요즘/NNG
다시	다시/MAG
중소형주에	중소형주/NNG+에/JKB
눈길이	눈길/NNG+이/JKS
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.376.3.2
지난해 글로벌 금융위기가 터진 뒤 중소형주들이 강세를 보일 때 단기 투자를 해 약간의 수익을 올렸던 기억이 요즘 계속 떠오르기 때문이다.

지난해	지난해/NNG
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
터진	터지/VV+ㄴ/ETM
뒤	뒤/NNG
중소형주들이	중소형주/NNG+들/XSN+이/JKS
강세를	강세/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
때	때/NNG
단기	단기/NNG
투자를	투자/NNG+를/JKO
해	하/VV+아/EC
약간의	약간/NNG+의/JKG
수익을	수익/NNG+을/JKO
올렸던	올리/VV+었/EP+던/ETM
기억이	기억/NNG+이/JKS
요즘	요즘/NNG
계속	계속/MAG
떠오르기	떠오르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.376.3.3
특히 이 ‘증세’는 최근 들어 더욱 강하게 나타나고 있다.

특히	특히/MAG
이	이/MMD
‘증세’는	‘/SS+증세/NNG+’/SS+는/JX
최근	최근/NNG
들어	들/VV+어/EC
더욱	더욱/MAG
강하게	강하/VA+게/EC
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.376.3.4
이 씨는 “원래는 안정적인 대형주에 투자한다는 원칙을 가지고 있지만 계속 게걸음 장세가 이어지는 것을 지켜보는 게 솔직히 지루하다”며 “단기간에 성과가 뚜렷할 수 있는 괜찮은 중소형주를 슬슬 찾아볼 생각”이라고 말했다.

이	이/NNP
씨는	씨/NNB+는/JX
“원래는	“/SS+원래/NNG+는/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
대형주에	대형주/NNG+에/JKB
투자한다는	투자/NNG+하/XSV+ㄴ다는/ETM
원칙을	원칙/NNG+을/JKO
가지고	가지/VV+고/EC
있지만	있/VX+지만/EC
계속	계속/MAG
게걸음	게걸음/NNG
장세가	장세/NNG+가/JKS
이어지는	이어지/VV+는/ETM
것을	것/NNB+을/JKO
지켜보는	지켜보/VV+는/ETM
게	거/NNB+이/JKS
솔직히	솔직히/MAG
지루하다”며	지루하/VA+다/EF+”/SS+며/EC
“단기간에	“/SS+단기간/NNG+에/JKB
성과가	성과/NNG+가/JKS
뚜렷할	뚜렷하/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
괜찮은	괜찮/VA+은/ETM
중소형주를	중소형주/NNG+를/JKO
슬슬	슬슬/MAG
찾아볼	찾아보/VV+ㄹ/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.376.4.1
○ 중소형주 이익 개선될 때가 투자 시점

○	○/SW
중소형주	중소형주/NNG
이익	이익/NNG
개선될	개선/NNG+되/XSV+ㄹ/ETM
때가	때/NNG+가/JKS
투자	투자/NNG
시점	시점/NNG


# id : NWRW1800000021.376.5.1
적지 않은 개인투자자들이 이 씨처럼 ‘요즘 장이 너무 지루하다’는 느낌을 품고 있다.

적지	적/VA+지/EC
않은	않/VX+은/ETM
개인투자자들이	개인/NNG+투자자/NNG+들/XSN+이/JKS
이	이/NNP
씨처럼	씨/NNB+처럼/JKB
‘요즘	‘/SS+요즘/NNG
장이	장/NNG+이/JKS
너무	너무/MAG
지루하다’는	지루하/VA+다/EF+’/SS+는/ETM
느낌을	느낌/NNG+을/JKO
품고	품/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.376.5.2
10월부터 주식시장에서 조정장세가 펼쳐지고 있기 때문이다.

10월부터	10/SN+월/NNB+부터/JX
주식시장에서	주식/NNG+시장/NNG+에서/JKB
조정장세가	조정/NNG+장세/NNG+가/JKS
펼쳐지고	펼쳐지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.376.5.3
정보기술(IT)과 자동차를 중심으로 상승세를 이끌었던 대형주들도 모두 최근에는 지지부진한 모습을 보이고 있다.

정보기술(IT)과	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+과/JC
자동차를	자동차/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
상승세를	상승세/NNG+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
대형주들도	대형주/NNG+들/XSN+도/JX
모두	모두/MAG
최근에는	최근/NNG+에/JKB+는/JX
지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.376.5.4
이런 상황에서 중소형주로 관심이 쏠리는 것은 자연스럽다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
중소형주로	중소형주/NNG+로/JKB
관심이	관심/NNG+이/JKS
쏠리는	쏠리/VV+는/ETM
것은	것/NNB+은/JX
자연스럽다.	자연/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000021.376.5.5
한화증권 김재훈 연구원은 “지금 당장 중소형주가 두각을 나타내지 않더라도 3분기 실적 발표 이후에는 틈새시장을 공략하는 측면에서 저평가된 중소형주를 찾아보는 것도 좋은 방법”이라고 말했다.

한화증권	한화증권/NNP
김재훈	김재훈/NNP
연구원은	연구원/NNG+은/JX
“지금	“/SS+지금/MAG
당장	당장/NNG
중소형주가	중소형주/NNG+가/JKS
두각을	두각/NNG+을/JKO
나타내지	나타내/VV+지/EC
않더라도	않/VX+더라도/EC
3분기	3/SN+분기/NNG
실적	실적/NNG
발표	발표/NNG
이후에는	이후/NNG+에/JKB+는/JX
틈새시장을	틈새시장/NNG+을/JKO
공략하는	공략/NNG+하/XSV+는/ETM
측면에서	측면/NNG+에서/JKB
저평가된	저/XPN+평가/NNG+되/XSV+ㄴ/ETM
중소형주를	중소형주/NNG+를/JKO
찾아보는	찾아보/VV+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
방법”이라고	방법/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.376.6.1
그러나 현재 중소형주의 상황은 대형주에 비해 좋지 않다.

그러나	그러나/MAJ
현재	현재/MAG
중소형주의	중소형주/NNG+의/JKG
상황은	상황/NNG+은/JX
대형주에	대형주/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
좋지	좋/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.376.6.2
중소형주에 대한 관심, 대형주의 횡보장세와는 별개로 중소형주 역시 뚜렷한 상승세가 없기 때문.

중소형주에	중소형주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심,	관심/NNG+,/SP
대형주의	대형주/NNG+의/JKG
횡보장세와는	횡보/NNG+장세/NNG+와/JKB+는/JX
별개로	별개/NNG+로/JKB
중소형주	중소형주/NNG
역시	역시/MAG
뚜렷한	뚜렷하/VA+ㄴ/ETM
상승세가	상승세/NNG+가/JKS
없기	없/VA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000021.376.6.3
전문가들은 지금 당장 중소형주 비중을 늘리는 것은 효과적이지 않다고 말한다.

전문가들은	전문가/NNG+들/XSN+은/JX
지금	지금/MAG
당장	당장/NNG
중소형주	중소형주/NNG
비중을	비중/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것은	것/NNB+은/JX
효과적이지	효과/NNG+적/XSN+이/VCP+지/EC
않다고	않/VX+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.376.6.4
대신 이들은 중소형주들의 수익 개선 현상이 나타나는 것을 기다리라고 조언한다.

대신	대신/NNG
이들은	이/NP+들/XSN+은/JX
중소형주들의	중소형주/NNG+들/XSN+의/JKG
수익	수익/NNG
개선	개선/NNG
현상이	현상/NNG+이/JKS
나타나는	나타나/VV+는/ETM
것을	것/NNB+을/JKO
기다리라고	기다리/VV+라고/EC
조언한다.	조언/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.376.6.5
NH투자증권 김형렬 연구원은 “대형주의 올해 영업이익은 지난해보다 9.7% 증가할 것으로 예상되지만 중소형주는 오히려 줄어들 것으로 보여 올해 말까지는 중소형주가 상대적 강세를 보일 가능성이 낮다”고 전망했다.

NH투자증권	NH투자증권/NNP
김형렬	김형렬/NNP
연구원은	연구원/NNG+은/JX
“대형주의	“/SS+대형주/NNG+의/JKG
올해	올해/NNG
영업이익은	영업/NNG+이익/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
9.7%	9/SN+./SP+7/SN+%/SW
증가할	증가/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되지만	예상/NNG+되/XSV+지만/EC
중소형주는	중소형주/NNG+는/JX
오히려	오히려/MAG
줄어들	줄어들/VV+ㄹ/ETM
보여	보이/VV+어/EC
말까지는	말/NNB+까지/JX+는/JX
중소형주가	중소형주/NNG+가/JKS
상대적	상대/NNG+적/XSN
강세를	강세/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
낮다”고	낮/VA+다/EF+”/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.376.6.6
다만 김형렬 연구원은 “중소형주들은 올해 4분기와 내년 1분기에 영업이익이 개선될 때 투자매력이 커질 것”이라고 덧붙였다.

다만	다만/MAG
김형렬	김형렬/NNP
연구원은	연구원/NNG+은/JX
“중소형주들은	“/SS+중소형주/NNG+들/XSN+은/JX
올해	올해/NNG
4분기와	4/SN+분기/NNG+와/JC
내년	내년/NNG
1분기에	1/SN+분기/NNG+에/JKB
영업이익이	영업/NNG+이익/NNG+이/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
때	때/NNG
투자매력이	투자/NNG+매력/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.376.7.1
○ ‘테마’에 매몰되지 말라

○	○/SW
‘테마’에	‘/SS+테마/NNG+’/SS+에/JKB
매몰되지	매몰/NNG+되/XSV+지/EC
말라	말/VX+라/EF


# id : NWRW1800000021.376.8.1
중소형주를 선택하는 과정에서는 미래 성장성 못지않게 실적의 중요성이 크게 부각되고 있다.

중소형주를	중소형주/NNG+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
과정에서는	과정/NNG+에서/JKB+는/JX
미래	미래/NNG
성장성	성장/NNG+성/XSN
못지않게	못지않/VA+게/EC
실적의	실적/NNG+의/JKG
중요성이	중요/NNG+성/XSN+이/JKS
크게	크/VA+게/EC
부각되고	부각/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.376.8.2
중소형주는 특성상 테마성 종목들이 많은 편이고 그동안 미래의 성장성을 다소 지나치게 강조해 실적과 괴리가 큰 상황이 자주 일어났다.

중소형주는	중소형주/NNG+는/JX
특성상	특성/NNG+상/XSN
테마성	테마/NNG+성/XSN
종목들이	종목/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
편이고	편/NNB+이/VCP+고/EC
그동안	그동안/NNG
미래의	미래/NNG+의/JKG
성장성을	성장/NNG+성/XSN+을/JKO
다소	다소/MAG
지나치게	지나치/VA+게/EC
강조해	강조/NNG+하/XSV+아/EC
실적과	실적/NNG+과/JC
괴리가	괴리/NNG+가/JKS
큰	크/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
자주	자주/MAG
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.376.8.3
신한금융투자 김효원 연구원은 “실적의 뒷받침 없이 기대감과 테마에 편승해 올라갔던 상당수 종목들은 하락폭이 상대적으로 크게 나타나고 있다”고 말했다.

신한금융투자	신한금융투자/NNP
김효원	김효원/NNP
연구원은	연구원/NNG+은/JX
“실적의	“/SS+실적/NNG+의/JKG
뒷받침	뒷받침/NNG
없이	없이/MAG
기대감과	기대감/NNG+과/JC
테마에	테마/NNG+에/JKB
편승해	편승/NNG+하/XSV+아/EC
올라갔던	올라가/VV+았/EP+던/ETM
상당수	상당수/NNG
종목들은	종목/NNG+들/XSN+은/JX
하락폭이	하락/NNG+폭/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
크게	크/VA+게/EC
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.376.9.1
당분간은 중소형주에 단기 투자할 때도 테마성 재료가 큰 영향력을 발휘하지 못할 것이란 전망도 많이 나오고 있다.

당분간은	당분간/NNG+은/JX
중소형주에	중소형주/NNG+에/JKB
단기	단기/NNG
투자할	투자/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
테마성	테마/NNG+성/XSN
재료가	재료/NNG+가/JKS
큰	크/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
발휘하지	발휘/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
많이	많이/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.376.9.2
김효원 연구원은 “테마성 재료들은 주가에 이미 반영됐거나 단순 기대감으로 주가가 올랐다면 지수 조정 과정에서 후유증이 오래간다는 것을 경험했기 때문에 3, 4분기 실적 전망에 관심이 모아지고 있다”고 말했다.

김효원	김효원/NNP
연구원은	연구원/NNG+은/JX
“테마성	“/SS+테마/NNG+성/XSN
재료들은	재료/NNG+들/XSN+은/JX
주가에	주가/NNG+에/JKB
이미	이미/MAG
반영됐거나	반영/NNG+되/XSV+었/EP+거나/EC
단순	단순/NNG
기대감으로	기대감/NNG+으로/JKB
주가가	주가/NNG+가/JKS
올랐다면	오르/VV+았/EP+다면/EC
지수	지수/NNG
조정	조정/NNG
과정에서	과정/NNG+에서/JKB
후유증이	후유증/NNG+이/JKS
오래간다는	오래가/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
경험했기	경험/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
3,	3/SN+,/SP
4분기	4/SN+분기/NNG
실적	실적/NNG
전망에	전망/NNG+에/JKB
관심이	관심/NNG+이/JKS
모아지고	모으/VV+아/EC+지/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


