# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.367
metadata : {}


# id : NWRW1800000030.367.1.1
[충청] 安지사, '과학벨트 충청권 조성' 호소

[충청]	[/SS+충청/NNP+]/SS
安지사,	安/SH+지사/NNG+,/SP
'과학벨트	'/SS+과학/NNG+벨트/NNG
충청권	충청/NNP+권/XSN
조성'	조성/NNG+'/SS
호소	호소/NNG


# id : NWRW1800000030.367.2.1
•"경쟁해도 지켜야할 線 있다"… 전국단체장 등에 협조 서한

•"경쟁해도	•/SW+"/SS+경쟁/NNG+하/XSV+아도/EC
지켜야할	지키/VV+어야/EC+하/VX+ㄹ/ETM
線	線/SH
있다"…	있/VA+다/EF+"/SS+…/SE
전국단체장	전국/NNG+단체장/NNG
등에	등/NNB+에/JKB
협조	협조/NNG
서한	서한/NNG


# id : NWRW1800000030.367.3.1
안희정 충남지사가 2일 이명박 대통령의 국제과학비즈니스벨트 입지선정 백지화 시사 발언 이후 벌어진 지역 간 유치경쟁의 문제점을 담은 서한문을 충청권을 제외한 전국 광역·기초자치단체장과 의회의장 등 416명에게 발송했다.

안희정	안희정/NNP
충남지사가	충남/NNP+지사/NNG+가/JKS
2일	2/SN+일/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
국제과학비즈니스벨트	국제/NNG+과학/NNG+비즈니스/NNG+벨트/NNG
입지선정	입지/NNG+선정/NNG
백지화	백지/NNG+화/XSN
시사	시사/NNG
발언	발언/NNG
이후	이후/NNG
벌어진	벌어지/VV+ㄴ/ETM
지역	지역/NNG
간	간/NNB
유치경쟁의	유치/NNG+경쟁/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
담은	담/VV+은/ETM
서한문을	서한문/NNG+을/JKO
충청권을	충청/NNP+권/XSN+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전국	전국/NNG
광역·기초자치단체장과	광역/NNG+·/SP+기초/NNG+자치/NNG+단체장/NNG+과/JC
의회의장	의회/NNG+의장/NNG
등	등/NNB
416명에게	416/SN+명/NNB+에게/JKB
발송했다.	발송/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.367.4.1
이 대통령이 신년 방송좌담회에서 과학벨트 입지문제를 발언한 이후 전국 지자체들이 지역발전 명분을 내세워 치열한 유치경쟁에 나서면서 각종 부작용을 낳고 있어 서한문을 발송하게 됐다는 게 안 지사측 설명이다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
신년	신년/NNG
방송좌담회에서	방송/NNG+좌담회/NNG+에서/JKB
과학벨트	과학/NNG+벨트/NNG
입지문제를	입지/NNG+문제/NNG+를/JKO
발언한	발언/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
전국	전국/NNG
지자체들이	지자체/NNG+들/XSN+이/JKS
지역발전	지역/NNG+발전/NNG
명분을	명분/NNG+을/JKO
내세워	내세우/VV+어/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
