# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.127
metadata : {}


# id : NWRW1800000052.127.1.1
“내년 윤이상 탄생 100돌…‘제2 출범’ 각오로 재단 재건”

“내년	“/SS+내년/NNG
윤이상	윤이상/NNP
탄생	탄생/NNG
100돌…‘제2	100/SN+돌/NNB+…/SE+‘/SS+제/XPN+2/SN
출범’	출범/NNG+’/SS
각오로	각오/NNG+로/JKB
재단	재단/NNG
재건”	재건/NNG+”/SS


# id : NWRW1800000052.127.2.1
윤이상재단 탁무권 새 이사장

윤이상재단	윤이상재단/NNP
탁무권	탁무권/NNP
새	새/MMA
이사장	이사장/NNG


# id : NWRW1800000052.127.3.1
기념사업추진위 ‘페스티벌’ 등 추진

기념사업추진위	기념사업/NNG+추진위/NNG
‘페스티벌’	‘/SS+페스티벌/NNG+’/SS
등	등/NNB
추진	추진/NNG


# id : NWRW1800000052.127.4.1
내년 윤이상(1917~95) 탄생 100돌을 맞아 베를린 윤이상하우스 재개관과 윤이상 음악축제가 추진된다.

내년	내년/NNG
윤이상(1917~95)	윤이상/NNP+(/SS+1917/SN+~/SO+95/SN+)/SS
탄생	탄생/NNG
100돌을	100/SN+돌/NNB+을/JKO
맞아	맞/VV+아/EC
베를린	베를린/NNP
윤이상하우스	윤이상하우스/NNP
재개관과	재/XPN+개관/NNG+과/JC
윤이상	윤이상/NNP
음악축제가	음악/NNG+축제/NNG+가/JKS
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.127.5.1
윤이상평화재단의 탁무권(59) 신임 이사장은 19일 “오는 9월까지 베를린 윤이상하우스를 다시 열고, 내년 윤 선생 탄생 100돌을 맞아 기념 음악회를 열 계획”이라고 밝혔다.

윤이상평화재단의	윤이상평화재단/NNP+의/JKG
탁무권(59)	탁무권/NNP+(/SS+59/SN+)/SS
신임	신임/NNG
이사장은	이사장/NNG+은/JX
19일	19/SN+일/NNB
“오는	“/SS+오/VV+는/ETM
9월까지	9/SN+월/NNB+까지/JX
베를린	베를린/NNP
윤이상하우스를	윤이상하우스/NNP+를/JKO
다시	다시/MAG
열고,	열/VV+고/EC+,/SP
내년	내년/NNG
윤	윤/NNP
선생	선생/NNG
탄생	탄생/NNG
100돌을	100/SN+돌/NNB+을/JKO
맞아	맞/VV+아/EC
기념	기념/NNG
음악회를	음악회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.127.5.2
이를 위해 재개관 운영위원회와 탄생 100돌 기념사업 추진위원회를 구성할 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
재개관	재/XPN+개관/NNG
운영위원회와	운영/NNG+위원회/NNG+와/JKB
탄생	탄생/NNG
100돌	100/SN+돌/NNB
기념사업	기념사업/NNG
추진위원회를	추진/NNG+위원회/NNG+를/JKO
구성할	구성/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.127.6.1
지난 17일 이사회에서 선출된 탁 이사장은 “그동안 보수단체 등에서 윤 선생을 친북으로 모는 바람에, 윤이상평화재단이 거의 파산 지경까지 내몰렸다.

지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
이사회에서	이사회/NNG+에서/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
탁	탁/NNP
이사장은	이사장/NNG+은/JX
“그동안	“/SS+그동안/NNG
보수단체	보수/NNG+단체/NNG
등에서	등/NNB+에서/JKB
윤	윤/NNP
선생을	선생/NNG+을/JKO
친북으로	친북/NNG+으로/JKB
모는	몰/VV+는/ETM
바람에,	바람/NNB+에/JKB+,/SP
윤이상평화재단이	윤이상평화재단/NNP+이/JKS
거의	거의/MAG
파산	파산/NNG
지경까지	지경/NNB+까지/JX
내몰렸다.	내몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.127.6.2
이사진을 다시 꾸리면서 제2 출범의 각오로 재단 재건에 온힘을 쏟겠다”고 덧붙였다.

이사진을	이사진/NNG+을/JKO
다시	다시/MAG
꾸리면서	꾸리/VV+면서/EC
제2	제/XPN+2/SN
출범의	출범/NNG+의/JKG
각오로	각오/NNG+로/JKB
재단	재단/NNG
재건에	재건/NNG+에/JKB
온힘을	온/MMN+힘/NNG+을/JKO
쏟겠다”고	쏟/VV+겠/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.127.6.3
그는 현재 노원교육복지재단 이사장을 맡고 있다.

그는	그/NP+는/JX
현재	현재/MAG
노원교육복지재단	노원교육복지재단/NNP
이사장을	이사장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.127.7.1
윤이상평화재단은 세계적 음악가인 윤이상 선생의 음악적 업적을 기리기 위해 2005년 3월18일 설립됐으며, 그동안 국제윤이상작곡상, 남북음악교류사업, 윤이상 페스티벌 등의 사업을 펼쳐왔다.

윤이상평화재단은	윤이상평화재단/NNP+은/JX
세계적	세계/NNG+적/XSN
음악가인	음악가/NNG+이/VCP+ㄴ/ETM
윤이상	윤이상/NNP
선생의	선생/NNG+의/JKG
음악적	음악/NNG+적/XSN
업적을	업적/NNG+을/JKO
기리기	기리/VV+기/ETN
위해	위하/VV+아/EC
2005년	2005/SN+년/NNB
3월18일	3/SN+월/NNB+18/SN+일/NNB
설립됐으며,	설립/NNG+되/XSV+었/EP+으며/EC+,/SP
그동안	그동안/NNG
국제윤이상작곡상,	국제/NNG+윤이상/NNP+작곡상/NNG+,/SP
남북음악교류사업,	남북/NNP+음악/NNG+교류/NNG+사업/NNG+,/SP
페스티벌	페스티벌/NNG
등의	등/NNB+의/JKG
사업을	사업/NNG+을/JKO
펼쳐왔다.	펼치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.127.8.1
윤이상하우스는 베를린 도심에서 승용차로 30분 거리에 있다.

윤이상하우스는	윤이상하우스/NNP+는/JX
베를린	베를린/NNP
도심에서	도심/NNG+에서/JKB
승용차로	승용차/NNG+로/JKB
30분	30/SN+분/NNB
거리에	거리/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.127.8.2
윤 선생이 20여년 동안 살면서 작품의 대부분을 만든 ‘윤이상 음악 창작의 산실’이다.

윤	윤/NNP
선생이	선생/NNG+이/JKS
20여년	20/SN+여/XSN+년/NNB
동안	동안/NNG
살면서	살/VV+면서/EC
작품의	작품/NNG+의/JKG
대부분을	대/XPN+부분/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
‘윤이상	‘/SS+윤이상/NNP
음악	음악/NNG
창작의	창작/NNG+의/JKG
산실’이다.	산실/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000052.127.8.3
작곡을 하던 방과 악보 등 유품도 고스란히 보존돼 있다.

작곡을	작곡/NNG+을/JKO
하던	하/VV+던/ETM
방과	방/NNG+과/JC
악보	악보/NNG
등	등/NNB
유품도	유품/NNG+도/JX
고스란히	고스란히/MAG
보존돼	보존/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.127.8.4
유족들이 떠나면서 방치된 것을 2007년 재단이 국고를 일부 지원받아 매입했다.

유족들이	유족/NNG+들/XSN+이/JKS
떠나면서	떠나/VV+면서/EC
방치된	방치/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
2007년	2007/SN+년/NNB
재단이	재단/NNG+이/JKS
국고를	국고/NNG+를/JKO
일부	일부/NNG
지원받아	지원/NNG+받/XSV+아/EC
매입했다.	매입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.127.8.5
한-독 문화교류와 윤이상기념사업, 게스트하우스 등 다양한 용도로 활용하려 한 것이다.

한-독	한-독/NNP
문화교류와	문화/NNG+교류/NNG+와/JC
윤이상기념사업,	윤이상/NNP+기념사업/NNG+,/SP
게스트하우스	게스트하우스/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
용도로	용도/NNG+로/JKB
활용하려	활용/NNG+하/XSV+려/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.127.8.6
하지만 보수단체들이 윤 선생을 친북으로 매도하면서 후원이 끊겨 제대로 관리를 하지 못하고 있다.

하지만	하지만/MAJ
보수단체들이	보수/NNG+단체/NNG+들/XSN+이/JKS
윤	윤/NNP
선생을	선생/NNG+을/JKO
친북으로	친북/NNG+으로/JKB
매도하면서	매도/NNG+하/XSV+면서/EC
후원이	후원/NNG+이/JKS
끊겨	끊기/VV+어/EC
제대로	제대로/MAG
관리를	관리/NNG+를/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.127.9.1
재단은 ‘윤이상 100주년 페스티벌’(가칭)도 추진하고 있다.

재단은	재단/NNG+은/JX
‘윤이상	‘/SS+윤이상/NNP
100주년	100/SN+주년/NNB
페스티벌’(가칭)도	페스티벌/NNG+’/SS+(/SS+가칭/NNG+)/SS+도/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.127.9.2
내년 9월18일 탄생 100돌 직전에 2500석 규모의 서울 예술의전당 콘서트홀에서 음악회를 열 계획이다.

내년	내년/NNG
9월18일	9/SN+월/NNB+18/SN+일/NNB
탄생	탄생/NNG
100돌	100/SN+돌/NNB
직전에	직전/NNG+에/JKB
2500석	2500/SN+석/NNB
규모의	규모/NNG+의/JKG
서울	서울/NNP
예술의전당	예술의전당/NNP
콘서트홀에서	콘서트홀/NNG+에서/JKB
음악회를	음악회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.127.9.3
“1부에는 국내외 유명 연주자를 모셔와 윤 선생뿐 아니라 다른 작곡가의 곡을 함께 연주하고, 2부에서는 경기필하모닉오케스트라가 윤이상의 교향곡으로 마무리하는 프로그램”이라고 밝혔다.

“1부에는	“/SS+1/SN+부/NNB+에/JKB+는/JX
국내외	국내외/NNG
유명	유명/NNG
연주자를	연주자/NNG+를/JKO
모셔와	모시/VV+어/EC+오/VX+아/EC
윤	윤/NNP
선생뿐	선생/NNG+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
작곡가의	작곡가/NNG+의/JKG
곡을	곡/NNG+을/JKO
함께	함께/MAG
연주하고,	연주/NNG+하/XSV+고/EC+,/SP
2부에서는	2/SN+부/NNB+에서/JKB+는/JX
경기필하모닉오케스트라가	경기필하모닉오케스트라/NNP+가/JKS
윤이상의	윤이상/NNP+의/JKG
교향곡으로	교향곡/NNG+으로/JKB
마무리하는	마무리/NNG+하/XSV+는/ETM
프로그램”이라고	프로그램/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.127.9.4
또 소규모 공연장에서 윤이상의 실내악들을 들려줄 계획도 짜고 있다.

또	또/MAG
소규모	소/XPN+규모/NNG
공연장에서	공연장/NNG+에서/JKB
윤이상의	윤이상/NNP+의/JKG
실내악들을	실내악/NNG+들/XSN+을/JKO
들려줄	들려주/VV+ㄹ/ETM
계획도	계획/NNG+도/JX
짜고	짜/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.127.9.5
오페라 <심청>도 윤 선생의 고향인 경남 통영과 경기 성남에서 무대에 올릴 계획이다.

오페라	오페라/NNG
<심청>도	</SS+심청/NNP+>/SS+도/JX
윤	윤/NNP
선생의	선생/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
경남	경남/NNP
통영과	통영/NNP+과/JC
경기	경기/NNP
성남에서	성남/NNP+에서/JKB
무대에	무대/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.127.9.6
재단의 새 상임이사는 시인인 장용철 안양대 교수가 맡았다.

재단의	재단/NNG+의/JKG
새	새/MMA
상임이사는	상임/NNG+이사/NNG+는/JX
시인인	시인/NNG+이/VCP+ㄴ/ETM
장용철	장용철/NNP
안양대	안양대/NNP
교수가	교수/NNG+가/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


