# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.364
metadata : {}


# id : NWRW1800000054.364.1.1
安, 반기문측 등 중도·보수인사 영입

安,	安/SH+,/SP
반기문측	반기문/NNP+측/NNB
등	등/NNB
중도·보수인사	중도/NNG+·/SP+보수/NNG+인사/NNG
영입	영입/NNG


# id : NWRW1800000054.364.2.1
김운용·박상규·이상일 합류

김운용·박상규·이상일	김운용/NNP+·/SP+박상규/NNP+·/SP+이상일/NNP
합류	합류/NNG


# id : NWRW1800000054.364.3.1
안철수 국민의당 후보 측은 14일 반기문 전 유엔사무총장 측근을 포함한 중도·보수 성향 영입 인사 명단을 밝혔다.

안철수	안철수/NNP
국민의당	국민의당/NNP
후보	후보/NNG
측은	측/NNB+은/JX
14일	14/SN+일/NNB
반기문	반기문/NNP
전	전/MMD
유엔사무총장	유엔/NNP+사무총장/NNG
측근을	측근/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
중도·보수	중도/NNG+·/SP+보수/NNG
성향	성향/NNG
영입	영입/NNG
인사	인사/NNG
명단을	명단/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.364.4.1
당 중앙선대위 이찬열 인재영입위원장은 이날 기자회견을 열고 상임고문으로 김운용 전 국제올림픽위원회(IOC) 부위원장, 고문으로 박상규·이상일 전 의원 등을 영입했다고 밝혔다.

당	당/NNG
중앙선대위	중앙/NNG+선대위/NNG
이찬열	이찬열/NNP
인재영입위원장은	인재/NNG+영입/NNG+위원장/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
상임고문으로	상임/NNG+고문/NNG+으로/JKB
김운용	김운용/NNP
전	전/MMD
국제올림픽위원회(IOC)	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS
부위원장,	부위원장/NNG+,/SP
고문으로	고문/NNG+으로/JKB
박상규·이상일	박상규/NNP+·/SP+이상일/NNP
의원	의원/NNG
등을	등/NNB+을/JKO
영입했다고	영입/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.364.4.2
