# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.322
metadata : {}


# id : NWRW1800000024.322.1.1
중소상인 “기업형 슈퍼 자율협상 절차 거부”

중소상인	중소/NNG+상인/NNG
“기업형	“/SS+기업/NNG+형/XSN
슈퍼	슈퍼/NNG
자율협상	자율/NNG+협상/NNG
절차	절차/NNG
거부”	거부/NNG+”/SS


# id : NWRW1800000024.322.2.1
기업형 슈퍼(SSM)가 사업조정 대상이 된 뒤 시도의 사업 일시정지 권고를 무시하고 영업을 강행하자, 중소상인들이 해당 점포에 대한 자율 협상 절차를 사실상 거부하기로 했다.

기업형	기업/NNG+형/XSN
슈퍼(SSM)가	슈퍼/NNG+(/SS+SSM/SL+)/SS+가/JKS
사업조정	사업/NNG+조정/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
시도의	시도/NNG+의/JKG
사업	사업/NNG
일시정지	일시/NNG+정지/NNG
권고를	권고/NNG+를/JKO
무시하고	무시/NNG+하/XSV+고/EC
영업을	영업/NNG+을/JKO
강행하자,	강행/NNG+하/XSV+자/EC+,/SP
중소상인들이	중소/NNG+상인/NNG+들/XSN+이/JKS
해당	해당/NNG
점포에	점포/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자율	자율/NNG
협상	협상/NNG
절차를	절차/NNG+를/JKO
사실상	사실/NNG+상/XSN
거부하기로	거부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.322.3.1
중소상인살리기전국네트워크와 사업조정신청지역 전국연석회의는 3일 서울 세종로 정부중앙청사 앞에서 기자회견을 열어, 영업을 강행한 대기업 점포 건에 대해 중소기업청이 직접 개입할 것을 촉구했다.

중소상인살리기전국네트워크와	중소상인살리기전국네트워크/NNP+와/JC
사업조정신청지역	사업/NNG+조정/NNG+신청/NNG+지역/NNG
전국연석회의는	전국/NNG+연석회의/NNG+는/JX
3일	3/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어,	열/VV+어/EF+,/SP
영업을	영업/NNG+을/JKO
강행한	강행/NNG+하/XSV+ㄴ/ETM
대기업	대/XPN+기업/NNG
점포	점포/NNG
건에	건/NNG+에/JKB
대해	대하/VV+아/EC
중소기업청이	중소기업청/NNG+이/JKS
직접	직접/MAG
개입할	개입/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.322.4.1
신규철 전국연석회의 집행위원장은 “서울, 경기 남양주, 경남 김해 등의 기업형 슈퍼 5곳이 시도의 사업 일시정지 권고를 무시했다”며 “지방자치단체는 물론 정부도 아무런 조처가 없어 이런 일이 확산될 조짐마저 보인다”고 말했다.

신규철	신규철/NNP
전국연석회의	전국/NNG+연석회의/NNG
집행위원장은	집행/NNG+위원장/NNG+은/JX
“서울,	“/SS+서울/NNP+,/SP
경기	경기/NNP
남양주,	남양주/NNP+,/SP
경남	경남/NNP
김해	김해/NNP
등의	등/NNB+의/JKG
기업형	기업/NNG+형/XSN
슈퍼	슈퍼/NNG
5곳이	5/SN+곳/NNG+이/JKS
시도의	시도/NNG+의/JKG
사업	사업/NNG
일시정지	일시/NNG+정지/NNG
권고를	권고/NNG+를/JKO
무시했다”며	무시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“지방자치단체는	“/SS+지방/NNG+자치/NNG+단체/NNG+는/JX
물론	물론/MAG
정부도	정부/NNG+도/JX
아무런	아무런/MMD
조처가	조처/NNG+가/JKS
없어	없/VA+어/EC
이런	이런/MMD
일이	일/NNG+이/JKS
확산될	확산/NNG+되/XSV+ㄹ/ETM
조짐마저	조짐/NNG+마저/JX
