# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.92
metadata : {}


# id : NWRW1800000046.92.1.1
중국·일본에도 '선플' 수출했습니다

중국·일본에도	중국/NNP+·/SP+일본/NNP+에/JKB+도/JX
'선플'	'/SS+선플/NNG+'/SS
수출했습니다	수출/NNG+하/XSV+았/EP+습니다/EF


# id : NWRW1800000046.92.2.1
착한 댓글 8년 경험 모아 책 낸… 민병철 선플운동본부 이사장

착한	착하/VA+ㄴ/ETM
댓글	댓글/NNG
8년	8/SN+년/NNB
경험	경험/NNG
모아	모으/VV+아/EC
책	책/NNG
낸…	내/VV+ㄴ/ETM+…/SE
민병철	민병철/NNP
선플운동본부	선플/NNG+운동/NNG+본부/NNG
이사장	이사장/NNG


# id : NWRW1800000046.92.3.1
"우리 한·중·일 청소년이 앞장서서 인터넷 공간에서 아름다운 말과 글을 사용하겠습니다.

"우리	"/SS+우리/NP
한·중·일	한·중·일/NNP
청소년이	청소년/NNG+이/JKS
앞장서서	앞장서/VV+어서/EC
인터넷	인터넷/NNG
공간에서	공간/NNG+에서/JKB
아름다운	아름답/VA+ㄴ/ETM
말과	말/NNG+과/JC
글을	글/NNG+을/JKO
사용하겠습니다.	사용/NNG+하/XSV+겠/EP+습니다/EF+./SF


# id : NWRW1800000046.92.3.2
세 나라의 친선과 세계평화에도 힘을 보태겠습니다."

세	세/MMN
나라의	나라/NNG+의/JKG
친선과	친선/NNG+과/JC
세계평화에도	세계/NNG+평화/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
보태겠습니다."	보태/VV+겠/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000046.92.4.1
지난달 23일 서울 광화문광장에 한·중·일 청소년들이 나란히 서서 '선플평화선언문'을 낭독했다.

지난달	지난달/NNG
23일	23/SN+일/NNB
서울	서울/NNP
광화문광장에	광화문광장/NNP+에/JKB
한·중·일	한·중·일/NNP
청소년들이	청소년/NNG+들/XSN+이/JKS
나란히	나란히/MAG
서서	서/VV+어서/EC
'선플평화선언문'을	'/SS+선플/NNG+평화/NNG+선언문/NNG+'/SS+을/JKO
낭독했다.	낭독/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.4.2
각국 청소년·학부모·교사 등 3000명이 모인 큰 행사였다.

각국	각국/NNG
청소년·학부모·교사	청소년/NNG+·/SP+학부모/NNG+·/SP+교사/NNG
등	등/NNB
3000명이	3000/SN+명/NNB+이/JKS
모인	모이/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
행사였다.	행사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.92.4.3
이들은 사이버 폭력인 '악플'을 차단하기 위해 힘을 합치자고 결의했다.

이들은	이/NP+들/XSN+은/JX
사이버	사이버/NNG
폭력인	폭력/NNG+이/VCP+ㄴ/ETM
'악플'을	'/SS+악플/NNG+'/SS+을/JKO
차단하기	차단/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
힘을	힘/NNG+을/JKO
합치자고	합치/VV+자고/EF
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.92.4.4
