# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.393
metadata : {}


# id : NWRW1800000026.393.1.1
'위키리크스' 美 외교電文 연일 폭로;유명환(前 외교장관) "北 고위외교관들 비밀리에 한국 망명중"

'위키리크스'	'/SS+위키리크스/NNP+'/SS
美	美/SH
외교電文	외교/NNG+電文/SH
연일	연일/MAG
폭로;유명환(前	폭로/NNG+;/SW+유명환/NNP+(/SS+前/SH
외교장관)	외교/NNG+장관/NNG+)/SS
"北	"/SS+北/SH
고위외교관들	고위/NNG+외교관/NNG+들/XSN
비밀리에	비밀/NNG+리/XSN+에/JKB
한국	한국/NNP
망명중"	망명/NNG+중/NNB+"/SS


# id : NWRW1800000026.393.2.1
지난 1월 유명환 당시 외교통상부 장관은 "다수의 해외 근무 북한 고위 외교관들이 최근 한국으로 망명했다"며 "미국과 한국 정보 당국이 이들의 지식을 충분히 건질 수 있도록 이들의 망명은 비밀로 유지되고 있다"고 말한 것으로 비밀 폭로 전문 사이트인 위키리크스가 30일 공개했다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
유명환	유명환/NNP
당시	당시/NNG
외교통상부	외교/NNG+통상부/NNG
장관은	장관/NNG+은/JX
"다수의	"/SS+다수/NNG+의/JKG
해외	해외/NNG
근무	근무/NNG
북한	북한/NNP
고위	고위/NNG
외교관들이	외교관/NNG+들/XSN+이/JKS
최근	최근/MAG
한국으로	한국/NNP+으로/JKB
망명했다"며	망명/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"미국과	"/SS+미국/NNP+과/JC
한국	한국/NNP
정보	정보/NNG
당국이	당국/NNG+이/JKS
이들의	이/NP+들/XSN+의/JKG
지식을	지식/NNG+을/JKO
충분히	충분히/MAG
건질	건지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
망명은	망명/NNG+은/JX
비밀로	비밀/NNG+로/JKB
유지되고	유지/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
비밀	비밀/NNG
폭로	폭로/NNG
전문	전문/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
위키리크스가	위키리크스/NNP+가/JKS
30일	30/SN+일/NNB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.393.2.2
유 장관은 당시 방한한 로버트 킹 미국 대북인권특사에게 이같이 말한 뒤 "북한의 상황이 점점 더 혼란스러워지고 있다"고 지적했다.

유	유/NNP
장관은	장관/NNG+은/JX
당시	당시/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
로버트	로버트/NNP
킹	킹/NNP
미국	미국/NNP
대북인권특사에게	대북/NNG+인권/NNG+특사/NNG+에게/JKB
이같이	이/NP+같이/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"북한의	"/SS+북한/NNP+의/JKG
상황이	상황/NNG+이/JKS
점점	점점/MAG
더	더/MAG
