# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.40
metadata : {}


# id : NWRW1800000048.40.1.1
‘가정용 태양광’ 마트에서 산다

‘가정용	‘/SS+가정/NNG+용/XSN
태양광’	태양광/NNG+’/SS
마트에서	마트/NNG+에서/JKB
산다	사/VV+ㄴ다/EF


# id : NWRW1800000048.40.2.1
롯데하이마트 유통업계 첫 판매

롯데하이마트	롯데하이마트/NNP
유통업계	유통업/NNG+계/XSN
첫	첫/MMN
판매	판매/NNG


# id : NWRW1800000048.40.3.1
롯데하이마트가 국내 유통업계 최초로 가정용 태양광 발전기를 판매한다.

롯데하이마트가	롯데하이마트/NNP+가/JKS
국내	국내/NNG
유통업계	유통업/NNG+계/XSN
최초로	최초/NNG+로/JKB
가정용	가정/NNG+용/XSN
태양광	태양광/NNG
발전기를	발전기/NNG+를/JKO
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.40.3.2
하이마트는 29일 서울 송파구 월드타워점에 태양광 발전기 전문코너를 마련, 본격 판매를 시작한다고 밝혔다.

하이마트는	하이마트/NNP+는/JX
29일	29/SN+일/NNB
서울	서울/NNP
송파구	송파구/NNP
월드타워점에	월드타워점/NNG+에/JKB
태양광	태양광/NNG
발전기	발전기/NNG
전문코너를	전문/NNG+코너/NNG+를/JKO
마련,	마련/NNG+,/SP
본격	본격/NNG
판매를	판매/NNG+를/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.40.3.3
이전까지 소비자들은 지방자치단체나 전문업체에 상담을 요청해 태양광 발전기를 구입해왔는데, 이제 매장에서 브랜드별로 직접 실물을 비교해보고 상담에서 설치까지 원스톱 서비스를 제공받을 수 있게 됐다.

이전까지	이전/NNG+까지/JX
소비자들은	소비자/NNG+들/XSN+은/JX
지방자치단체나	지방/NNG+자치/NNG+단체/NNG+나/JC
전문업체에	전문/NNG+업체/NNG+에/JKB
상담을	상담/NNG+을/JKO
요청해	요청/NNG+하/XSV+아/EC
태양광	태양광/NNG
발전기를	발전기/NNG+를/JKO
구입해왔는데,	구입/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC+,/SP
이제	이제/MAG
매장에서	매장/NNG+에서/JKB
브랜드별로	브랜드/NNG+별/XSN+로/JKB
직접	직접/MAG
실물을	실물/NNG+을/JKO
비교해보고	비교/NNG+하/XSV+아/EC+보/VX+고/EC
상담에서	상담/NNG+에서/JKB
설치까지	설치/NNG+까지/JX
원스톱	원스톱/NNG
서비스를	서비스/NNG+를/JKO
제공받을	제공/NNG+받/XSV+을/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.40.4.1
하이마트 월드타워점은 ‘한화63시티’, ‘신성솔라에너지’, ‘마이크로발전소’ 등 총 3개 브랜드 15개 종류의 제품을 취급한다.

하이마트	하이마트/NNP
월드타워점은	월드타워점/NNG+은/JX
‘한화63시티’,	‘/SS+한화63시티/NNP+’/SS+,/SP
‘신성솔라에너지’,	‘/SS+신성솔라에너지/NNP+’/SS+,/SP
‘마이크로발전소’	‘/SS+마이크로발전소/NNP+’/SS
등	등/NNB
총	총/MMA
3개	3/SN+개/NNB
브랜드	브랜드/NNG
15개	15/SN+개/NNB
종류의	종류/NNG+의/JKG
제품을	제품/NNG+을/JKO
취급한다.	취급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.40.4.2
구입가격은 발전량에 따라 30만원대부터 900만원대까지 다양한데, 지자체나 에너지관리공단이 제품가격의 30~50%까지 지원한다.

구입가격은	구입/NNG+가격/NNG+은/JX
발전량에	발전량/NNG+에/JKB
따라	따르/VV+아/EC
30만원대부터	30/SN+만/NR+원/NNB+대/XSN+부터/JX
900만원대까지	900/SN+만/NR+원/NNB+대/XSN+까지/JX
다양한데,	다양/NNG+하/XSA+ㄴ데/EC+,/SP
지자체나	지자체/NNG+나/JC
에너지관리공단이	에너지/NNG+관리/NNG+공단/NNG+이/JKS
제품가격의	제품/NNG+가격/NNG+의/JKG
30~50%까지	30/SN+~/SO+50/SN+%/SW+까지/JX
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.40.4.3
롯데하이마트는 올해 말까지 태양광 발전기 매장을 서울지역에 5곳까지 늘리고, 이후 전국의 대형 매장으로 확대한다는 계획이다.

롯데하이마트는	롯데하이마트/NNP+는/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
태양광	태양광/NNG
발전기	발전기/NNG
매장을	매장/NNG+을/JKO
서울지역에	서울지역/NNP+에/JKB
5곳까지	5/SN+곳/NNG+까지/JX
늘리고,	늘리/VV+고/EC+,/SP
이후	이후/NNG
전국의	전국/NNG+의/JKG
대형	대형/NNG
매장으로	매장/NNG+으로/JKB
확대한다는	확대/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.40.5.1
아파트 베란다에 실구매가 70만원(정부 보조금 60만원)짜리 태양광 발전기를 설치하면 월 평균 50㎾의 전기를 생산할 수 있다.

아파트	아파트/NNG
베란다에	베란다/NNG+에/JKB
실구매가	실구매/NNG+가/XSN
70만원(정부	70/SN+만/NR+원/NNB+(/SS+정부/NNG
보조금	보조금/NNG
60만원)짜리	60/SN+만/NR+원/NNB+)/SS+짜리/XSN
태양광	태양광/NNG
