# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.134
metadata : {}


# id : NWRW1800000041.134.1.1
[책의 향기]“취학前 아이들은 도서관 데려가지 말라”

[책의	[/SS+책/NNG+의/JKG
향기]“취학前	향기/NNG+]/SS+“/SS+취학/NNG+前/SH
아이들은	아이/NNG+들/XSN+은/JX
도서관	도서관/NNG
데려가지	데려가/VV+지/EC
말라”	말/VX+라/EF+”/SS


# id : NWRW1800000041.134.2.1
도서관에서 책과 연애하다/안정희 지음/220쪽·1만5000원·알마

도서관에서	도서관/NNG+에서/JKB
책과	책/NNG+과/JKB
연애하다/안정희	연애/NNG+하/XSV+다/EF+//SP+안정희/NNP
지음/220쪽·1만5000원·알마	짓/VV+음/ETN+//SP+220/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+·/SP+알마/NNP


# id : NWRW1800000041.134.3.1
‘한국인은 독서량이 적다’는 지적이 많다.

‘한국인은	‘/SS+한국인/NNG+은/JX
독서량이	독서량/NNG+이/JKS
적다’는	적/VA+다/EF+’/SS+는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.134.3.2
지난해 1년간 책을 한 권도 읽지 않은 사람이 10명 중 3명으로 조사됐다.

지난해	지난해/NNG
1년간	1/SN+년/NNB+간/XSN
책을	책/NNG+을/JKO
한	한/MMN
권도	권/NNB+도/JX
읽지	읽/VV+지/EC
않은	않/VX+은/ETM
사람이	사람/NNG+이/JKS
10명	10/SN+명/NNB
중	중/NNB
3명으로	3/SN+명/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.134.3.3
그래서인지 이 책의 제목을 보자마자 ‘뭐, 책 열심히 읽으라는 뻔한 소리겠지’라는 생각을 가졌다.

그래서인지	그렇/VA+어서/EC+이/VCP+ㄴ지/EC
이	이/MMD
책의	책/NNG+의/JKG
제목을	제목/NNG+을/JKO
보자마자	보/VV+자마자/EC
‘뭐,	‘/SS+뭐/IC+,/SP
책	책/NNG
열심히	열심히/MAG
읽으라는	읽/VV+으라는/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
소리겠지’라는	소리/NNG+이/VCP+겠/EP+지/EF+’/SS+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.134.4.1
편견이었다.

편견이었다.	편견/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.134.4.2
경기 용인시 느티나무 도서관의 북 큐레이터(독자가 찾는 주제에 맞춰 적절한 책을 추전해주는 전문가)인 저자는 ‘책을 읽는 법’보다는 ‘삶을 읽는 법’을 강조한다.

경기	경기/NNP
용인시	용인시/NNP
느티나무	느티나무/NNG
도서관의	도서관/NNG+의/JKG
북	북/NNG
큐레이터(독자가	큐레이터/NNG+(/SS+독자/NNG+가/JKS
찾는	찾/VV+는/ETM
주제에	주제/NNG+에/JKB
맞춰	맞추/VV+어/EC
적절한	적절하/VA+ㄴ/ETM
책을	책/NNG+을/JKO
추전해주는	추전/NNG+하/XSV+아/EC+주/VX+는/ETM
전문가)인	전문가/NNG+)/SS+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
‘책을	‘/SS+책/NNG+을/JKO
읽는	읽/VV+는/ETM
법’보다는	법/NNB+’/SS+보다/JKB+는/JX
‘삶을	‘/SS+삶/NNG+을/JKO
법’을	법/NNB+’/SS+을/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.134.4.3
저자는 도서관의 의미와 활용법, 어떻게 책을 읽은 것인가에 대한 철학을 ‘위대한 유산’, ‘기억 전달자’, ‘해리포터’ 등 다양한 책과 함께 소개하면서 곳곳에서 다음과 같은 파격적인 조언도 서슴지 않았다.

저자는	저자/NNG+는/JX
도서관의	도서관/NNG+의/JKG
의미와	의미/NNG+와/JC
활용법,	활용법/NNG+,/SP
어떻게	어떻/VA+게/EC
책을	책/NNG+을/JKO
읽은	읽/VV+은/ETM
것인가에	것/NNB+이/VCP+ㄴ가/EF+에/JKB
대한	대하/VV+ㄴ/ETM
철학을	철학/NNG+을/JKO
‘위대한	‘/SS+위대하/VA+ㄴ/ETM
유산’,	유산/NNG+’/SS+,/SP
‘기억	‘/SS+기억/NNG
