# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.173
metadata : {}


# id : NWRW1800000049.173.1.1
친부는… ‘야누스 목사’

친부는…	친부/NNG+는/JX+…/SE
‘야누스	‘/SS+야누스/NNP
목사’	목사/NNG+’/SS


# id : NWRW1800000049.173.2.1
밖에선 독일 유학 박사 신학대 교수… 집에선 딸에게 손찌검 ‘나쁜 아빠’

밖에선	밖/NNG+에서/JKB+ㄴ/JX
독일	독일/NNP
유학	유학/NNG
박사	박사/NNG
신학대	신학대/NNG
교수…	교수/NNG+…/SE
집에선	집/NNG+에서/JKB+ㄴ/JX
딸에게	딸/NNG+에게/JKB
손찌검	손찌검/NNG
‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
아빠’	아빠/NNG+’/SS


# id : NWRW1800000049.173.3.1
‘야누스의 두 얼굴.’

‘야누스의	‘/SS+야누스/NNP+의/JKG
두	두/MMN
얼굴.’	얼굴/NNG+./SF+’/SS


# id : NWRW1800000049.173.4.1
자신의 딸(사망 당시 13세)을 폭행해 숨지게 한 뒤 11개월 가까이 집에 방치한 혐의를 받고 있는 이모 씨(47).

자신의	자신/NNG+의/JKG
딸(사망	딸/NNG+(/SS+사망/NNG
당시	당시/NNG
13세)을	13/SN+세/NNB+)/SS+을/JKO
폭행해	폭행/NNG+하/XSV+아/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
11개월	11/SN+개월/NNB
가까이	가까이/MAG
집에	집/NNG+에/JKB
방치한	방치/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이모	이/NNP+모/NP
씨(47).	씨/NNB+(/SS+47/SN+)/SS+./SF


# id : NWRW1800000049.173.4.2
그는 집 밖에선 성실한 교수이자 신실한 목사였다.

그는	그/NP+는/JX
집	집/NNG
밖에선	밖/NNG+에서/JKB+ㄴ/JX
성실한	성실/NNG+하/XSA+ㄴ/ETM
교수이자	교수/NNG+이/VCP+자/EC
신실한	신실/NNG+하/XSV+ㄴ/ETM
목사였다.	목사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.173.4.3
하지만 집에선 딸에게 손찌검하는 나쁜 아빠였다.

하지만	하지만/MAJ
집에선	집/NNG+에서/JKB+ㄴ/JX
딸에게	딸/NNG+에게/JKB
손찌검하는	손찌검/NNG+하/XSV+는/ETM
나쁜	나쁘/VA+ㄴ/ETM
아빠였다.	아빠/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.173.5.1
이 씨가 겸임교수로 일하는 경기 부천시 S신학대 교수와 제자들은 3일 “그는 절대로 살인을 저지르지 않았을 것”이라며 동정론을 폈다.

이	이/NNP
씨가	씨/NNB+가/JKS
겸임교수로	겸임/NNG+교수/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
경기	경기/NNP
부천시	부천시/NNP
S신학대	S/SL+신학대/NNG
교수와	교수/NNG+와/JC
제자들은	제자/NNG+들/XSN+은/JX
3일	3/SN+일/NNB
“그는	“/SS+그/NP+는/JX
절대로	절대로/MAG
살인을	살인/NNG+을/JKO
저지르지	저지르/VV+지/EC
않았을	않/VX+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
동정론을	동정/NNG+론/XSN+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.173.5.2
이 씨는 20대 후반 늦깎이 학생으로 이 대학에 입학해 학사와 석사과정을 마치고 독일에서 신약학으로 박사학위를 받았다.

이	이/MMD
씨는	씨/NNB+는/JX
20대	20/SN+대/NNB
후반	후반/NNG
늦깎이	늦깎이/NNG
학생으로	학생/NNG+으로/JKB
대학에	대학/NNG+에/JKB
입학해	입학/NNG+하/XSV+아/EC
학사와	학사/NNG+와/JC
석사과정을	석사/NNG+과정/NNG+을/JKO
마치고	마치/VV+고/EC
독일에서	독일/NNP+에서/JKB
신약학으로	신약학/NNG+으로/JKB
박사학위를	박사/NNG+학위/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.173.5.3
독일 유학 중 암 투병을 하던 부인과 사별하고 귀국해 재혼한 뒤 전처와 낳은 자녀(1남 2녀)와 어렵게 생활했다고 알려졌다.

독일	독일/NNP
유학	유학/NNG
중	중/NNB
암	암/NNG
투병을	투병/NNG+을/JKO
하던	하/VV+던/ETM
부인과	부인/NNG+과/JKB
사별하고	사별/NNG+하/XSV+고/EC
귀국해	귀국/NNG+하/XSV+아/EC
재혼한	재혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
전처와	전처/NNG+와/JKB
낳은	낳/VV+은/ETM
자녀(1남	자녀/NNG+(/SS+1/SN+남/NNG
2녀)와	2/SN+녀/NNG+)/SS+와/JKB
어렵게	어렵/VA+게/EC
생활했다고	생활/NNG+하/XSV+았/EP+다고/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


