# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.190
metadata : {}


# id : NWRW1800000037.190.1.1
[휴지통]회삿돈 47억 빼돌린 뒤 ‘페이스오프’

[휴지통]회삿돈	[/SS+휴지통/NNG+]/SS+회삿돈/NNG
47억	47/SN+억/NR
빼돌린	빼돌리/VV+ㄴ/ETM
뒤	뒤/NNG
‘페이스오프’	‘/SS+페이스오프/NNG+’/SS


# id : NWRW1800000037.190.2.1
수배피해 코 높이고 잡티없애… 원룸 얻어 CCTV 8대 설치도

수배피해	수배/NNG+피하/VV+아/EC
코	코/NNG
높이고	높이/VV+고/EC
잡티없애…	잡티/NNG+없애/VV+어/EF+…/SE
원룸	원룸/NNG
얻어	얻/VV+어/EC
CCTV	CCTV/SL
8대	8/SN+대/NNB
설치도	설치/NNG+도/JX


# id : NWRW1800000037.190.3.1
“이 친구, 그 친구 맞아?”

“이	“/SS+이/MMD
친구,	친구/NNG+,/SP
그	그/MMD
친구	친구/NNG
맞아?”	맞/VV+아/EF+?/SF+”/SS


# id : NWRW1800000037.190.4.1
충남 아산경찰서 형사들은 20일 오전 3시경 전남 무안군의 한 빌라에서 47억 원 횡령범인 윤모 씨(34)를 검거한 뒤 한동안 고개를 갸우뚱했다.

충남	충남/NNP
아산경찰서	아산경찰서/NNP
형사들은	형사/NNG+들/XSN+은/JX
20일	20/SN+일/NNB
오전	오전/NNG
3시경	3/SN+시/NNB+경/XSN
전남	전남/NNP
무안군의	무안군/NNP+의/JKG
한	한/MMN
빌라에서	빌라/NNG+에서/JKB
47억	47/SN+억/NR
원	원/NNB
횡령범인	횡령범/NNG+이/VCP+ㄴ/ETM
윤모	윤/NNP+모/NP
씨(34)를	씨/NNB+(/SS+34/SN+)/SS+를/JKO
검거한	검거/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
한동안	한/XPN+동안/NNG
고개를	고개/NNG+를/JKO
갸우뚱했다.	갸우뚱/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.190.4.2
수배전단의 얼굴과 지금의 모습이 달랐기 때문이다.

수배전단의	수배/NNG+전단/NNG+의/JKG
얼굴과	얼굴/NNG+과/JC
지금의	지금/NNG+의/JKG
모습이	모습/NNG+이/JKS
