# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.351
metadata : {}


# id : NWRW1800000030.351.1.1
[수도권III] 성남시 "구도심 재개발때 고도제한 완화"

[수도권III]	[/SS+수도/NNG+권/XSN+III/SL+]/SS
성남시	성남시/NNP
"구도심	"/SS+구/XPN+도심/NNG
재개발때	재/XPN+개발/NNG+때/NNG
고도제한	고도/NNG+제한/NNG
완화"	완화/NNG+"/SS


# id : NWRW1800000030.351.2.1
•주차장·공원 축소 계획

•주차장·공원	•/SW+주차장/NNG+·/SP+공원/NNG
축소	축소/NNG
계획	계획/NNG


# id : NWRW1800000030.351.3.1
성남시가 사업추진에 난항을 겪고 있는 수정·중원구 주택재개발 사업성 개선을 추진한다.

성남시가	성남시/NNP+가/JKS
사업추진에	사업/NNG+추진/NNG+에/JKB
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
수정·중원구	수정/NNP+·/SP+중원구/NNP
주택재개발	주택/NNG+재/XPN+개발/NNG
사업성	사업/NNG+성/XSN
개선을	개선/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.351.4.1
시는 수정·중원구 주택재개발 사업성 개선방안을 내놓고 한국토지주택공사와 협의할 계획이라고 5일 밝혔다.

시는	시/NNG+는/JX
수정·중원구	수정/NNP+·/SP+중원구/NNP
주택재개발	주택/NNG+재/XPN+개발/NNG
사업성	사업/NNG+성/XSN
개선방안을	개선/NNG+방안/NNG+을/JKO
내놓고	내놓/VV+고/EC
한국토지주택공사와	한국토지주택공사/NNP+와/JKB
협의할	협의/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.351.5.1
시가 제시한 개선방안에는 고도제한 완화를 반영하고 구역 내 장기 미분양 시설용지의 용도전환, 주차장 및 공원 축소 등 토지이용계획을 합리화해 일반분양 가구 수를 늘릴 수 있도록 한다는 내용이 담겨있다.

시가	시/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
개선방안에는	개선/NNG+방안/NNG+에/JKB+는/JX
고도제한	고도/NNG+제한/NNG
완화를	완화/NNG+를/JKO
반영하고	반영/NNG+하/XSV+고/EC
구역	구역/NNG
내	내/NNB
장기	장기/NNG
미분양	미/XPN+분양/NNG
시설용지의	시설/NNG+용지/NNG+의/JKG
용도전환,	용도/NNG+전환/NNG+,/SP
주차장	주차장/NNG
및	및/MAG
공원	공원/NNG
축소	축소/NNG
등	등/NNB
토지이용계획을	토지/NNG+이용/NNG+계획/NNG+을/JKO
합리화해	합리/NNG+화/XSN+하/XSV+아/EC
일반분양	일반/NNG+분양/NNG
가구	가구/NNG
수를	수/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다는	하/VX+ㄴ다는/ETM
내용이	내용/NNG+이/JKS
담겨있다.	담기/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000030.351.5.2
도로망 중장기계획에 포함돼 시에 기부 채납되는 도로부지의 경우 토지보상비뿐 아니라 철거비 등을 추가로 지원한다.

도로망	도로망/NNG
중장기계획에	중장기/NNG+계획/NNG+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
시에	시/NNG+에/JKB
기부	기부/NNG
채납되는	채납/NNG+되/XSV+는/ETM
도로부지의	도로/NNG+부지/NNG+의/JKG
경우	경우/NNG
토지보상비뿐	토지/NNG+보상비/NNG+뿐/JX
아니라	아니/VCN+라/EC
철거비	철거비/NNG
등을	등/NNB+을/JKO
추가로	추가/NNG+로/JKB
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.351.6.1
이와 함께 주거환경개선사업과 마찬가지로 재개발사업도 시장이 직접시행하거나 LH공사 등 공공에서 사업을 시행하는 경우 사업시행자에게 국·공유지가 무상으로 양여될 수 있도록 관계부처에 건의할 방침이다.

이와	이/NP+와/JKB
함께	함께/MAG
주거환경개선사업과	주거/NNG+환경/NNG+개선/NNG+사업/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
재개발사업도	재/XPN+개발/NNG+사업/NNG+도/JX
시장이	시장/NNG+이/JKS
직접시행하거나	직접/NNG+시행/NNG+하/XSV+거나/EC
LH공사	LH공사/NNP
등	등/NNB
공공에서	공공/NNG+에서/JKB
사업을	사업/NNG+을/JKO
시행하는	시행/NNG+하/XSV+는/ETM
경우	경우/NNG
사업시행자에게	사업/NNG+시행자/NNG+에게/JKB
국·공유지가	국·공유지/NNG+가/JKS
무상으로	무상/NNG+으로/JKB
양여될	양여/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관계부처에	관계/NNG+부처/NNG+에/JKB
건의할	건의/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.351.6.2
다만 국·공유지 무상양여에 관한 사항은 법령개정이 필요하고 이미 시행 중인 1단계 주택재개발사업의 경우 적용되지 않는다.

다만	다만/MAG
국·공유지	국·공유지/NNG
무상양여에	무상/NNG+양여/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항은	사항/NNG+은/JX
법령개정이	법령/NNG+개정/NNG+이/JKS
필요하고	필요/NNG+하/XSA+고/EC
이미	이미/MAG
시행	시행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
1단계	1/SN+단계/NNG
주택재개발사업의	주택/NNG+재/XPN+개발/NNG+사업/NNG+의/JKG
경우	경우/NNG
적용되지	적용/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.351.7.1
시에 따르면, 이와 같은 조치가 이루어질 경우 ▲1단계 재개발사업 단대구역은 전체 220억원대, 세대별 3000만원대, 중동3구역의 경우 전체 150억원대, 가구별 4000만원대의 사업성 개선효과가 ▲2단계 주택재개발사업의 경우 신흥2구역 전체 1080억원대 가구별 5000만원대, 중1구역 전체 410억원대 가구별 3000만원대, 금광1구역 전체 1020억원대 가구별 4000만원대의 사업성 개선효과가 예상된다.

시에	시/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
이와	이/NP+와/JKB
같은	같/VA+은/ETM
조치가	조치/NNG+가/JKS
