# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.66
metadata : {}


# id : NWRW1800000044.66.1.1
“박 대통령, 여학생처럼 고자질” 일 노다 전 총리 인터뷰 논란

“박	“/SS+박/NNP
대통령,	대통령/NNG+,/SP
여학생처럼	여학생/NNG+처럼/JKB
고자질”	고자/NNG+질/XSN+”/SS
일	일/NNP
노다	노다/NNP
전	전/MMD
총리	총리/NNG
인터뷰	인터뷰/NNG
논란	논란/NNG


# id : NWRW1800000044.66.2.1
[한겨레] “아베와 회담 않고 제3국서 비판”

[한겨레]	[/SS+한겨레/NNP+]/SS
“아베와	“/SS+아베/NNP+와/JKB
회담	회담/NNG
않고	않/VV+고/EC
제3국서	제3국/NNG+서/JKB
비판”	비판/NNG+”/SS


# id : NWRW1800000044.66.3.1
한국 누리꾼 반발 정부대응 요구

한국	한국/NNP
누리꾼	누리/NNG+꾼/XSN
반발	반발/NNG
정부대응	정부/NNG+대응/NNG
요구	요구/NNG


# id : NWRW1800000044.66.4.1
노다 요시히코 전 일본 총리가 박근혜 대통령의 외교를 ‘여학생의 고자질’에 비유해, 한국 누리꾼들이 크게 반발하는 등 논란을 빚고 있다.

노다	노다/NNP
요시히코	요시히코/NNP
전	전/MMD
일본	일본/NNP
총리가	총리/NNG+가/JKS
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
외교를	외교/NNG+를/JKO
‘여학생의	‘/SS+여학생/NNG+의/JKG
고자질’에	고자/NNG+질/XSN+’/SS+에/JKB
비유해,	비유/NNG+하/XSV+아/EC+,/SP
한국	한국/NNP
누리꾼들이	누리/NNG+꾼/XSN+들/XSN+이/JKS
크게	크/VA+게/EC
반발하는	반발/NNG+하/XSV+는/ETM
등	등/NNB
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.66.5.1
노다 전 총리는 10일치로 보도된 <마이니치신문>과 인터뷰에서 아베 신조 일본 총리가 외국 정상들과 만날 때마다 중국의 해양진출을 견제하는 발언을 하고 있다는 질문에 대해 “한국의 대통령이 미국이나 유럽에서 ‘여학생의 고자질 외교’로 일본을 비판하는 것과 똑같이 보인다.

노다	노다/NNP
전	전/MMD
총리는	총리/NNG+는/JX
10일치로	10/SN+일/NNB+치/NNB+로/JKB
보도된	보도/NNG+되/XSV+ㄴ/ETM
<마이니치신문>과	</SS+마이니치신문/NNP+>/SS+과/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
외국	외국/NNG
정상들과	정상/NNG+들/XSN+과/JKB
