# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.191
metadata : {}


# id : NWRW1800000037.191.1.1
해외서 3만5402원 콘택트렌즈, 국내선 5만8214원

해외서	해외/NNG+서/JKB
3만5402원	3/SN+만/NR+5402/SN+원/NNB
콘택트렌즈,	콘택트렌즈/NNG+,/SP
국내선	국내/NNG+서/JKB+ㄴ/JX
5만8214원	5/SN+만/NR+8214/SN+원/NNB


# id : NWRW1800000037.191.2.1
해외보다 최대 64% 비싸 FTA 관세인하 무풍지대… 외국업체 독과점 구조 탓

해외보다	해외/NNG+보다/JKB
최대	최대/NNG
64%	64/SN+%/SW
비싸	비싸/VA+아/EC
FTA	FTA/SL
관세인하	관세/NNG+인하/NNG
무풍지대…	무풍지대/NNG+…/SE
외국업체	외국/NNG+업체/NNG
독과점	독과점/NNG
구조	구조/NNG
탓	탓/NNG


# id : NWRW1800000037.191.3.1
한국 시장을 장악한 외국산 콘택트렌즈가 해외보다 최대 64% 비싸게 팔리고 있는 것으로 나타났다.

한국	한국/NNP
시장을	시장/NNG+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
외국산	외국/NNG+산/XSN
콘택트렌즈가	콘택트렌즈/NNG+가/JKS
해외보다	해외/NNG+보다/JKB
최대	최대/NNG
64%	64/SN+%/SW
비싸게	비싸/VA+게/EC
팔리고	팔리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.191.3.2
또 한미, 한-유럽연합(EU) 자유무역협정(FTA)이 발효되면서 관세가 인하됐는데도 일부 제품의 국내 소비자가격은 오히려 상승한 것으로 조사됐다.

또	또/MAG
한미,	한미/NNP+,/SP
한-유럽연합(EU)	한/NNP+-/SO+유럽연합/NNP+(/SS+EU/SL+)/SS
자유무역협정(FTA)이	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+이/JKS
발효되면서	발효/NNG+되/XSV+면서/EC
관세가	관세/NNG+가/JKS
인하됐는데도	인하/NNG+되/XSV+었/EP+는데/EC+도/JX
일부	일부/NNG
제품의	제품/NNG+의/JKG
국내	국내/NNG
소비자가격은	소비자/NNG+가격/NNG+은/JX
오히려	오히려/MAG
상승한	상승/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.191.4.1
한국소비자연맹은 공정거래위원회의 의뢰를 받아 지난해 12월 25일∼올 1월 28일 국내 안경점 157곳과 미국 일본 대만 중국 호주 홍콩 영국 등 7개국의 콘택트렌즈 평균 판매가격을 조사한 결과를 6일 발표했다.

한국소비자연맹은	한국소비자연맹/NNP+은/JX
공정거래위원회의	공정/NNG+거래/NNG+위원회/NNG+의/JKG
의뢰를	의뢰/NNG+를/JKO
받아	받/VV+아/EC
지난해	지난해/NNG
12월	12/SN+월/NNB
25일∼올	25/SN+일/NNB+∼/SO+올/NNG
1월	1/SN+월/NNB
28일	28/SN+일/NNB
국내	국내/NNG
안경점	안경점/NNG
157곳과	157/SN+곳/NNG+과/JC
미국	미국/NNP
일본	일본/NNP
대만	대만/NNP
중국	중국/NNP
호주	호주/NNP
홍콩	홍콩/NNP
영국	영국/NNP
등	등/NNB
7개국의	7/SN+개국/NNB+의/JKG
콘택트렌즈	콘택트렌즈/NNG
평균	평균/NNG
판매가격을	판매/NNG+가격/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
6일	6/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.191.4.2
조사 대상은 국내 콘택트렌즈 시장의 87%를 차지하고 있는 존슨앤드존슨, 시바비젼, 쿠퍼비젼, 바슈롬 등 4개 업체다.

조사	조사/NNG
대상은	대상/NNG+은/JX
국내	국내/NNG
콘택트렌즈	콘택트렌즈/NNG
시장의	시장/NNG+의/JKG
87%를	87/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
존슨앤드존슨,	존슨앤드존슨/NNP+,/SP
시바비젼,	시바비젼/NNP+,/SP
쿠퍼비젼,	쿠퍼비젼/NNP+,/SP
바슈롬	바슈롬/NNP
등	등/NNB
4개	4/SN+개/NNB
업체다.	업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.191.5.1
조사 결과 외국산 제품 8개 가운데 7개의 국내 평균가격이 외국보다 비쌌다.

조사	조사/NNG
결과	결과/NNG
외국산	외국/NNG+산/XSN
제품	제품/NNG
8개	8/SN+개/NNB
가운데	가운데/NNG
7개의	7/SN+개/NNB+의/JKG
국내	국내/NNG
평균가격이	평균/NNG+가격/NNG+이/JKS
외국보다	외국/NNG+보다/JKB
비쌌다.	비싸/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.191.5.2
해외에서 평균 3만5402원에 유통되는 ‘에어 옵틱스 아쿠아’(시바비젼)의 국내 평균가격은 5만8214원으로 64%나 비싸 가격차가 가장 큰 것으로 나타났다.

해외에서	해외/NNG+에서/JKB
평균	평균/NNG
3만5402원에	3/SN+만/NR+5402/SN+원/NNB+에/JKB
유통되는	유통/NNG+되/XSV+는/ETM
‘에어	‘/SS+에어/NNP
옵틱스	옵틱스/NNP
아쿠아’(시바비젼)의	아쿠아/NNP+’/SS+(/SS+시바비젼/NNP+)/SS+의/JKG
국내	국내/NNG
평균가격은	평균/NNG+가격/NNG+은/JX
5만8214원으로	5/SN+만/NR+8214/SN+원/NNB+으로/JKB
64%나	64/SN+%/SW+나/JX
비싸	비싸/VA+아/EC
가격차가	가격차/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.191.5.3
조사 기간 중 할인행사를 벌이고 있던 ‘프로클리어 원 데이’(쿠퍼비젼) 제품만 국내 가격(3만8282원)이 외국(4만3150원)보다 저렴했다.

조사	조사/NNG
기간	기간/NNG
중	중/NNB
할인행사를	할인/NNG+행사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있던	있/VX+던/ETM
‘프로클리어	‘/SS+프로클리어/NNP
원	원/NNP
데이’(쿠퍼비젼)	데이/NNP+’/SS+(/SS+쿠퍼비젼/NNP+)/SS
제품만	제품/NNG+만/JX
국내	국내/NNG
