# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.120
metadata : {}


# id : NWRW1800000028.120.1.1
“생활속 작은실천이 지구 바꿔요”

“생활속	“/SS+생활/NNG+속/NNG
작은실천이	작/VA+은/ETM+실천/NNG+이/JKS
지구	지구/NNG
바꿔요”	바꾸/VV+어요/EF+”/SS


# id : NWRW1800000028.120.2.1
올해 초 환경운동연합에 윤수경이라는 스물일곱살 먹은 여성이 자원봉사를 신청했다.

올해	올해/NNG
초	초/NNB
환경운동연합에	환경운동연합/NNP+에/JKB
윤수경이라는	윤수경/NNP+이/VCP+라는/ETM
스물일곱살	스물일곱/NR+살/NNB
먹은	먹/VV+은/ETM
여성이	여성/NNG+이/JKS
자원봉사를	자원봉사/NNG+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.120.2.2
6년 동안 환경연합 회원이었으나, 혼자서 환경보존 실천을 해오다 이젠 다른 사람들과 함께 할 수 있는 일을 찾는다고 했다.

6년	6/SN+년/NNB
동안	동안/NNG
환경연합	환경연합/NNP
회원이었으나,	회원/NNG+이/VCP+었/EP+으나/EC+,/SP
혼자서	혼자/NNG+서/JKS
환경보존	환경/NNG+보존/NNG
실천을	실천/NNG+을/JKO
해오다	하/VV+아/EC+오/VX+다/EC
이젠	이제/NNG+ㄴ/JX
다른	다른/MMD
사람들과	사람/NNG+들/XSN+과/JKB
함께	함께/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일을	일/NNG+을/JKO
찾는다고	찾/VV+는다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.120.2.3
봉사 기간을 쓰는 항목에는 “평생 하고 싶어요”라고 적었다.

봉사	봉사/NNG
기간을	기간/NNG+을/JKO
쓰는	쓰/VV+는/ETM
항목에는	항목/NNG+에/JKB+는/JX
“평생	“/SS+평생/NNG
하고	하/VV+고/EC
싶어요”라고	싶/VX+어요/EF+”/SS+라고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.120.3.1
환경운동연합은 직업을 밝히지 않은 이 여성에게 전자우편을 보내 “인턴으로 함께 일해보자”고 제안했다.

환경운동연합은	환경운동연합/NNP+은/JX
직업을	직업/NNG+을/JKO
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
이	이/MMD
여성에게	여성/NNG+에게/JKB
전자우편을	전자/NNG+우편/NNG+을/JKO
보내	보내/VV+어/EC
“인턴으로	“/SS+인턴/NNG+으로/JKB
함께	함께/MAG
일해보자”고	일/NNG+하/XSV+아/EC+보/VX+자/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.120.3.2
그러자 이런 답장이 왔다.

그러자	그러/VV+자/EC
이런	이런/MMD
답장이	답장/NNG+이/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.120.3.3
“사실은 제가 일을 하고 있어 인턴은 힘들 것 같아요.

“사실은	“/SS+사실/NNG+은/JX
제가	제/NP+가/JKS
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있어	있/VX+어/EC
인턴은	인턴/NNG+은/JX
힘들	힘들/VA+ㄹ/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000028.120.3.4
저는 영화배우 일을 하는 윤진서라고 해요.

저는	저/NP+는/JX
영화배우	영화배우/NNG
일을	일/NNG+을/JKO
하는	하/VV+는/ETM
윤진서라고	윤진서/NNP+이/VCP+라고/EC
해요.	하/VV+아요/EF+./SF


# id : NWRW1800000028.120.3.5
제가 할 수 있는 다른 일이라면 얼마든지 할게요.”

제가	제/NP+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다른	다른/MMD
일이라면	일/NNG+이/VCP+라면/EC
얼마든지	얼마/NNG+든지/JX
할게요.”	하/VV+ㄹ게/EF+요/JX+./SF+”/SS


# id : NWRW1800000028.120.3.6
전자우편을 받은 최홍성미 웹운동팀 부장이 윤씨와 만나 이야기를 나눠보니 윤씨는 오래전부터 환경에 관심이 많았다.

전자우편을	전자/NNG+우편/NNG+을/JKO
받은	받/VV+은/ETM
최홍성미	최홍성미/NNP
웹운동팀	웹/NNG+운동/NNG+팀/NNG
부장이	부장/NNG+이/JKS
윤씨와	윤/NNP+씨/NNB+와/JKB
만나	만나/VV+아/EC
이야기를	이야기/NNG+를/JKO
나눠보니	나누/VV+어/EC+보/VX+니/EC
윤씨는	윤/NNP+씨/NNB+는/JX
오래전부터	오래전/NNG+부터/JX
환경에	환경/NNG+에/JKB
관심이	관심/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.120.3.7
윤씨의 본명인 ‘수경’도 한자로는 물 수(水)에 서울 경(京)이어서 서울의 한강과 뜻이 통한다.

윤씨의	윤/NNP+씨/NNB+의/JKG
본명인	본명/NNG+이/VCP+ㄴ/ETM
‘수경’도	‘/SS+수경/NNP+’/SS+도/JX
한자로는	한자/NNG+로/JKB+는/JX
물	물/NNG
