# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.253
metadata : {}


# id : NWRW1800000044.253.1.1
급식·돌봄교사·시설물 관리까지…학교 간접고용 노동자 크게 늘어

급식·돌봄교사·시설물	급식/NNG+·/SP+돌봄/NNG+교사/NNG+·/SP+시설물/NNG
관리까지…학교	관리/NNG+까지/JX+…/SE+학교/NNG
간접고용	간접/NNG+고용/NNG
노동자	노동자/NNG
크게	크/VA+게/EC
늘어	늘/VV+어/EF


# id : NWRW1800000044.253.2.1
[한겨레] 작년보다 7.2% 늘어 2만7천여명

[한겨레]	[/SS+한겨레/NNP+]/SS
작년보다	작년/NNG+보다/JKB
7.2%	7/SN+./SP+2/SN+%/SW
늘어	늘/VV+어/EC
2만7천여명	2/SN+만/NR+7/SN+천/NR+여/XSN+명/NNB


# id : NWRW1800000044.253.3.1
‘사각지대’ 초단시간 노동도 급증

‘사각지대’	‘/SS+사각지대/NNG+’/SS
초단시간	초/XPN+단시간/NNG
노동도	노동/NNG+도/JX
급증	급증/NNG


# id : NWRW1800000044.253.4.1
“학생들 안전 위협…개선책 시급"

“학생들	“/SS+학생/NNG+들/XSN
안전	안전/NNG
위협…개선책	위협/NNG+…/SE+개선책/NNG
시급"	시급/XR+"/SS


# id : NWRW1800000044.253.5.1
올바른 노동과 직업 교육이 이뤄져야 할 학교 현장에서 간접고용 및 초단시간 노동 확산 추세가 가파른 것으로 나타났다.

올바른	올바르/VA+ㄴ/ETM
노동과	노동/NNG+과/JC
직업	직업/NNG
교육이	교육/NNG+이/JKS
이뤄져야	이뤄지/VV+어야/EC
할	하/VX+ㄹ/ETM
학교	학교/NNG
현장에서	현장/NNG+에서/JKB
간접고용	간접/NNG+고용/NNG
및	및/MAG
초단시간	초/XPN+단시간/NNG
노동	노동/NNG
확산	확산/NNG
추세가	추세/NNG+가/JKS
가파른	가파르/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.253.5.2
안전·위생사고가 일어났을 때 책임 소재가 불분명해지고, 학생들이 학교에서 비인간적인 고용 행태를 ‘학습’하는 등 여러 부작용이 우려된다.

안전·위생사고가	안전/NNG+·/SP+위생/NNG+사고/NNG+가/JKS
일어났을	일어나/VV+았/EP+을/ETM
때	때/NNG
책임	책임/NNG
소재가	소재/NNG+가/JKS
불분명해지고,	불분명하/VA+아/EC+지/VX+고/EC+,/SP
학생들이	학생/NNG+들/XSN+이/JKS
학교에서	학교/NNG+에서/JKB
비인간적인	비/XPN+인간/NNG+적/XSN+이/VCP+ㄴ/ETM
고용	고용/NNG
행태를	행태/NNG+를/JKO
‘학습’하는	‘/SS+학습/NNG+’/SS+하/XSV+는/ETM
등	등/NNB
여러	여러/MMN
부작용이	부작용/NNG+이/JKS
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.253.6.1
유기홍 새정치민주연합 의원과 공공운수노조 전회련학교비정규직본부는 6일 <한겨레>에 교육부와 전국 17개 시·도교육청한테서 받은 학교 내 간접고용 및 초단시간 노동자 실태 자료를 분석한 결과를 공개했다.

유기홍	유기홍/NNP
새정치민주연합	새정치민주연합/NNP
의원과	의원/NNG+과/JC
공공운수노조	공공운수노조/NNP
전회련학교비정규직본부는	전회련/NNP+학교/NNG+비/XPN+정규직/NNG+본부/NNG+는/JX
6일	6/SN+일/NNB
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
교육부와	교육부/NNG+와/JC
전국	전국/NNG
17개	17/SN+개/NNB
시·도교육청한테서	시·도/NNG+교육청/NNG+한테서/JKB
받은	받/VV+은/ETM
학교	학교/NNG
내	내/NNB
간접고용	간접/NNG+고용/NNG
및	및/MAG
초단시간	초/XPN+단시간/NNG
노동자	노동자/NNG
실태	실태/NNG
자료를	자료/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.253.6.2
자료를 보면, 8월말 기준으로 사용자와 고용주가 다른 학교 간접고용 노동자는 2만7266명으로 지난해 4월1일(2만5437명)에 비해 7.2% 늘었다.

자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
8월말	8/SN+월/NNB+말/NNB
기준으로	기준/NNG+으로/JKB
사용자와	사용자/NNG+와/JC
고용주가	고용주/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
학교	학교/NNG
간접고용	간접/NNG+고용/NNG
노동자는	노동자/NNG+는/JX
2만7266명으로	2/SN+만/NR+7266/SN+명/NNB+으로/JKB
지난해	지난해/NNG
4월1일(2만5437명)에	4/SN+월/NNB+1/SN+일/NNB+(/SS+2/SN+만/NR+5437/SN+명/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
7.2%	7/SN+./SP+2/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.7.1
특히 시설물 안전관리, 급식, 돌봄교실 등 학교 운영에 꼭 필요한 상시지속적 업무마저 상당 부분 간접고용 형태로 운영되고 있다.

특히	특히/MAG
시설물	시설물/NNG
안전관리,	안전/NNG+관리/NNG+,/SP
급식,	급식/NNG+,/SP
돌봄교실	돌봄/NNG+교실/NNG
등	등/NNB
학교	학교/NNG
운영에	운영/NNG+에/JKB
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
상시지속적	상시/NNG+지속/NNG+적/XSN
업무마저	업무/NNG+마저/JX
상당	상당/NNG
부분	부분/NNG
간접고용	간접/NNG+고용/NNG
형태로	형태/NNG+로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.253.7.2
돌봄교실 외주·위탁은 지난해 245명에서 530명으로 두배 넘게 늘었다.

돌봄교실	돌봄/NNG+교실/NNG
외주·위탁은	외주/NNG+·/SP+위탁/NNG+은/JX
지난해	지난해/NNG
245명에서	245/SN+명/NNB+에서/JKB
530명으로	530/SN+명/NNB+으로/JKB
두배	두/MMN+배/NNG
넘게	넘/VV+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.7.3
외주 급식은 3618명으로 지난해(3348명)보다 8.1% 늘었다.

외주	외주/NNG
급식은	급식/NNG+은/JX
3618명으로	3618/SN+명/NNB+으로/JKB
지난해(3348명)보다	지난해/NNG+(/SS+3348/SN+명/NNB+)/SS+보다/JKB
8.1%	8/SN+./SP+1/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.7.4
학교안전의 중요성이 강조되고 있지만 경비 92.8%, 시설관리 인력 56.3%가 간접고용이었다.

학교안전의	학교/NNG+안전/NNG+의/JKG
중요성이	중요/NNG+성/XSN+이/JKS
강조되고	강조/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
경비	경비/NNG
92.8%,	92/SN+./SP+8/SN+%/SW+,/SP
시설관리	시설/NNG+관리/NNG
인력	인력/NNG
56.3%가	56/SN+./SP+3/SN+%/SW+가/JKS
간접고용이었다.	간접/NNG+고용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.253.7.5
각각 지난해보다 1.2%, 17.1% 증가했다.

각각	각각/MAG
지난해보다	지난해/NNG+보다/JKB
1.2%,	1/SN+./SP+2/SN+%/SW+,/SP
17.1%	17/SN+./SP+1/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.253.8.1
‘노동법의 사각지대’에 존재하고 국제적으로도 유사 사례를 찾기 어려운 고용형태인 초단시간 노동자도 급증했다.

‘노동법의	‘/SS+노동법/NNG+의/JKG
사각지대’에	사각지대/NNG+’/SS+에/JKB
존재하고	존재/NNG+하/XSV+고/EC
국제적으로도	국제/NNG+적/XSN+으로/JKB+도/JX
유사	유사/NNG
사례를	사례/NNG+를/JKO
찾기	찾/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
고용형태인	고용/NNG+형태/NNG+이/VCP+ㄴ/ETM
초단시간	초/XPN+단시간/NNG
노동자도	노동자/NNG+도/JX
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.253.8.2
초단시간 노동자는 4주 평균 주 15시간 미만을 일하며 4대보험은 물론 휴가·휴일·퇴직금이 없고, 2년 이상 기간제 근무 때 무기계약 적용 대상에서도 제외된다.

초단시간	초/XPN+단시간/NNG
노동자는	노동자/NNG+는/JX
4주	4/SN+주/NNB
평균	평균/NNG
주	주/NNG
15시간	15/SN+시간/NNB
미만을	미만/NNG+을/JKO
일하며	일/NNG+하/XSV+며/EC
4대보험은	4/SN+대/NNG+보험/NNG+은/JX
물론	물론/MAG
휴가·휴일·퇴직금이	휴가/NNG+·/SP+휴일/NNG+·/SP+퇴직금/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
2년	2/SN+년/NNB
이상	이상/NNG
기간제	기간/NNG+제/XSN
근무	근무/NNG
때	때/NNG
무기계약	무기/NNG+계약/NNG
적용	적용/NNG
대상에서도	대상/NNG+에서/JKB+도/JX
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.253.9.1
초단시간 노동자 대부분은 학교회계직원이다.

초단시간	초/XPN+단시간/NNG
노동자	노동자/NNG
대부분은	대/XPN+부분/NNG+은/JX
학교회계직원이다.	학교/NNG+회계/NNG+직원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.253.9.2
회계직원 14만1644명 중 1만673명이 초단시간 노동자였다.

회계직원	회계/NNG+직원/NNG
14만1644명	14/SN+만/NR+1644/SN+명/NNB
중	중/NNB
1만673명이	1/SN+만/NR+673/SN+명/NNB+이/JKS
초단시간	초/XPN+단시간/NNG
노동자였다.	노동자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.253.9.3
전년도 7619명에서 36%가 늘었다.

전년도	전년도/NNG
7619명에서	7619/SN+명/NNB+에서/JKB
36%가	36/SN+%/SW+가/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.9.4
박근혜 정부가 올해 돌봄교실을 확대해 초등돌봄교실 초단시간 돌봄전담사도 크게 늘었다.

박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
올해	올해/NNG
돌봄교실을	돌봄/NNG+교실/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
초등돌봄교실	초등/NNG+돌봄/NNG+교실/NNG
초단시간	초/XPN+단시간/NNG
돌봄전담사도	돌봄/NNG+전담사/NNG+도/JX
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.9.5
지난해 1171명이었는데 올해는 3200명으로 세배 가까이 늘었다.

지난해	지난해/NNG
1171명이었는데	1171/SN+명/NNB+이/VCP+었/EP+는데/EC
올해는	올해/NNG+는/JX
3200명으로	3200/SN+명/NNB+으로/JKB
세배	세/MMN+배/NNG
가까이	가까이/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.253.9.6
초단시간 일자리 쪼개기 탓에 아이들은 요일별로 서로 다른 돌봄전담사의 보살핌을 받기도 한다.

초단시간	초/XPN+단시간/NNG
일자리	일자리/NNG
쪼개기	쪼개/VV+기/ETN
탓에	탓/NNG+에/JKB
아이들은	아이/NNG+들/XSN+은/JX
요일별로	요일/NNG+별/XSN+로/JKB
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
돌봄전담사의	돌봄/NNG+전담사/NNG+의/JKG
보살핌을	보살핌/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.253.9.7
강사 직종을 포함하면 학교에 10만명이 넘는 초단시간 노동자가 있으리라고 추산된다.

강사	강사/NNG
직종을	직종/NNG+을/JKO
포함하면	포함/NNG+하/XSV+면/EC
학교에	학교/NNG+에/JKB
10만명이	10/SN+만/NR+명/NNB+이/JKS
넘는	넘/VV+는/ETM
초단시간	초/XPN+단시간/NNG
노동자가	노동자/NNG+가/JKS
있으리라고	있/VA+으리라고/EC
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.253.10.1
유기홍 의원은 “교육 현장에 간접고용과 초단시간 노동자가 증가하는 것은 공공부문 비정규직의 축소 및 차별 해소에 역행할 뿐만 아니라 학생들의 안전을 위협해 결국 공교육의 질도 저하시킬 것”이라며 정부와 교육당국에 개선책을 촉구했다.

유기홍	유기홍/NNP
의원은	의원/NNG+은/JX
“교육	“/SS+교육/NNG
현장에	현장/NNG+에/JKB
간접고용과	간접/NNG+고용/NNG+과/JC
초단시간	초/XPN+단시간/NNG
노동자가	노동자/NNG+가/JKS
증가하는	증가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
공공부문	공공/NNG+부문/NNG
비정규직의	비/XPN+정규직/NNG+의/JKG
축소	축소/NNG
및	및/MAG
차별	차별/NNG
해소에	해소/NNG+에/JKB
역행할	역행/NNG+하/XSV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
학생들의	학생/NNG+들/XSN+의/JKG
안전을	안전/NNG+을/JKO
위협해	위협/NNG+하/XSV+아/EC
결국	결국/MAG
공교육의	공교육/NNG+의/JKG
질도	질/NNG+도/JX
저하시킬	저하/NNG+시키/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
정부와	정부/NNG+와/JC
교육당국에	교육/NNG+당국/NNG+에/JKB
개선책을	개선책/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


