# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.188
metadata : {}


# id : NWRW1800000049.188.1.1
[단독] “前 인삼공사 사장에도 수천만원 뒷돈 제공”

[단독]	[/SS+단독/NNG+]/SS
“前	“/SS+前/SH
인삼공사	인삼공사/NNP
사장에도	사장/NNG+에/JKB+도/JX
수천만원	수천만/NR+원/NNB
뒷돈	뒷돈/NNG
제공”	제공/NNG+”/SS


# id : NWRW1800000049.188.2.1
檢, 관련자 진술 확보… 곧 소환… ‘KT&G 광고 리베이트’ 수사 확대

檢,	檢/SH+,/SP
관련자	관련자/NNG
진술	진술/NNG
확보…	확보/NNG+…/SE
곧	곧/MAG
소환…	소환/NNG+…/SE
‘KT&G	‘/SS+KT/SL+&/SW+G/SL
광고	광고/NNG
리베이트’	리베이트/NNG+’/SS
수사	수사/NNG
확대	확대/NNG


# id : NWRW1800000049.188.3.1
광고대행사와 기업체의 유착 비리 의혹을 수사 중인 서울중앙지검 특별수사2부(부장 김석우)는 방모 전 KGC인삼공사 사장(60)이 광고대행사 JWT 측으로부터 상품권 등 수천만 원 상당의 금품을 받았다는 관련자 진술을 확보한 것으로 17일 확인됐다.

광고대행사와	광고/NNG+대행사/NNG+와/JC
기업체의	기업체/NNG+의/JKG
유착	유착/NNG
비리	비리/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특별수사2부(부장	특별/NNG+수사/NNG+2/SN+부/NNG+(/SS+부장/NNG
김석우)는	김석우/NNP+)/SS+는/JX
방모	방/NNP+모/NP
전	전/MMD
KGC인삼공사	KGC인삼공사/NNP
사장(60)이	사장/NNG+(/SS+60/SN+)/SS+이/JKS
광고대행사	광고/NNG+대행사/NNG
JWT	JWT/SL
측으로부터	측/NNB+으로부터/JKB
상품권	상품/NNG+권/XSN
등	등/NNB
수천만	수천만/NR
원	원/NNB
상당의	상당/NNG+의/JKG
금품을	금품/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
관련자	관련자/NNG
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
17일	17/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.188.3.2
KT&G의 비자금 조성 의혹을 규명하는 과정에서 불거진 이번 수사에서 KGC인삼공사 경영진의 비리가 드러난 건 처음이다.

KT&G의	KT/SL+&/SW+G/SL+의/JKG
비자금	비자금/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
규명하는	규명/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
불거진	불거지/VV+ㄴ/ETM
