# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.78
metadata : {}


# id : NWRW1800000030.78.1.1
Kick-off 행사 경품용 문화바우처 구매에 238천원… "이게 뭔 소리야?"

Kick-off	Kick/SL+-/SO+off/SL
행사	행사/NNG
경품용	경품/NNG+용/XSN
문화바우처	문화/NNG+바우처/NNG
구매에	구매/NNG+에/JKB
238천원…	238/SN+천/NR+원/NNB+…/SE
"이게	"/SS+이거/NP+이/JKS
뭔	뭔/MMD
소리야?"	소리/NNG+이/VCP+야/EF+?/SF+"/SS


# id : NWRW1800000030.78.2.1
•행정기관 국어 誤用 사례들

•행정기관	•/SW+행정/NNG+기관/NNG
국어	국어/NNG
誤用	誤用/SH
사례들	사례/NNG+들/XSN


# id : NWRW1800000030.78.3.1
'238천원' 'Kick-off 행사' '미스매치' '생생(生生)사업'….

'238천원'	'/SS+238/SN+천/NR+원/NNB+'/SS
'Kick-off	'/SS+Kick/SL+-/SO+off/SL
행사'	행사/NNG+'/SS
'미스매치'	'/SS+미스매치/NNG+'/SS
'생생(生生)사업'….	'/SS+생생/XR+(/SS+生生/SH+)/SS+사업/NNG+'/SS+…/SE+./SF


# id : NWRW1800000030.78.3.2
우리 행정기관들이 공문에서 사용하는 단어들이다.

우리	우리/NP
행정기관들이	행정/NNG+기관/NNG+들/XSN+이/JKS
공문에서	공문/NNG+에서/JKB
사용하는	사용/NNG+하/XSV+는/ETM
단어들이다.	단어/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.78.3.3
국적 불명의 어색한 조어(造語)에다 외국어가 난무한다.

국적	국적/NNG
불명의	불명/NNG+의/JKG
어색한	어색하/VA+ㄴ/ETM
조어(造語)에다	조어/NNG+(/SS+造語/SH+)/SS+에다/JKB
외국어가	외국어/NNG+가/JKS
난무한다.	난무/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.78.3.4
관(官) 중심의 표현도 여전하다.

관(官)	관/NNG+(/SS+官/SH+)/SS
중심의	중심/NNG+의/JKG
표현도	표현/NNG+도/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000030.78.3.5
'최선을 다하겠다'고 하면 될 것을 '최선을 다할 것을 천명했다'고 쓴다.

'최선을	'/SS+최선/NNG+을/JKO
다하겠다'고	다/MAG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
하면	하/VV+면/EC
될	되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
천명했다'고	천명/NNG+하/XSV+았/EP+다/EF+'/SS+고/JKQ
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.78.4.1
