# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.35
metadata : {}


# id : NWRW1800000032.35.1.1
중화학기업 ‘평생 직장’ /유통업체는 ‘잠깐 직장’

중화학기업	중화학/NNG+기업/NNG
‘평생	‘/SS+평생/NNG
직장’	직장/NNG+’/SS
/유통업체는	//SP+유통업체/NNG+는/JX
‘잠깐	‘/SS+잠깐/NNG


# id : NWRW1800000032.35.2.1
대기업 평균근속연수 11.6년 여천NCC·현대중 19년 넘어 신세계·롯데쇼핑 등 4~6년

대기업	대/XPN+기업/NNG
평균근속연수	평균/NNG+근속/NNG+연수/NNG
11.6년	11/SN+./SP+6/SN+년/NNB
여천NCC·현대중	여천NCC/NNP+·/SP+현대중/NNP
19년	19/SN+년/NNB
넘어	넘/VV+어/EC
신세계·롯데쇼핑	신세계/NNP+·/SP+롯데쇼핑/NNP
등	등/NNB
4~6년	4/SN+~/SO+6/SN+년/NNB


# id : NWRW1800000032.35.3.1
삼성전자나 엘지(LG)전자 등 매출액을 기준으로 국내 최상위권에 속하는 대표 기업들의 평균 직원 근속연수는 하위권에 머무르고 있다는 조사 결과가 나왔다.

삼성전자나	삼성전자/NNP+나/JC
엘지(LG)전자	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG
등	등/NNB
매출액을	매출액/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
국내	국내/NNG
최상위권에	최/XPN+상위/NNG+권/XSN+에/JKB
속하는	속하/VV+는/ETM
대표	대표/NNG
기업들의	기업/NNG+들/XSN+의/JKG
평균	평균/NNG
직원	직원/NNG
근속연수는	근속/NNG+연수/NNG+는/JX
하위권에	하위/NNG+권/XSN+에/JKB
머무르고	머무르/VV+고/EC
있다는	있/VX+다는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.4.1
26일 취업포털 잡코리아가 금융감독원에 2010년도 사업보고서를 제출한 매출액 상위 100대 기업을 대상으로 평균 근속연수를 조사한 결과를 보면, 매출액 1위인 삼성전자의 직원 평균 근속연수는 7.8년으로 전체 평균치(11.6년)에 4년 가까이 밑돌았다.

26일	26/SN+일/NNB
취업포털	취업/NNG+포털/NNG
잡코리아가	잡코리아/NNP+가/JKS
금융감독원에	금융/NNG+감독원/NNG+에/JKB
2010년도	2010/SN+년도/NNB
사업보고서를	사업/NNG+보고서/NNG+를/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
매출액	매출액/NNG
상위	상위/NNG
100대	100/SN+대/NNG
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
평균	평균/NNG
근속연수를	근속/NNG+연수/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
삼성전자의	삼성전자/NNP+의/JKG
직원	직원/NNG
근속연수는	근속/NNG+연수/NNG+는/JX
7.8년으로	7/SN+./SP+8/SN+년/NNB+으로/JKB
전체	전체/NNG
평균치(11.6년)에	평균/NNG+치/XSN+(/SS+11/SN+./SP+6/SN+년/NNB+)/SS+에/JKB
4년	4/SN+년/NNB
가까이	가까이/MAG
밑돌았다.	밑돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.4.2
조사대상 기업 가운데 74위다.

조사대상	조사/NNG+대상/NNG
기업	기업/NNG
가운데	가운데/NNG
74위다.	74/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.35.4.3
아시아나항공(9.5년), 엘지전자(9년), 씨제이(CJ)제일제당(7.5년) 등도 평균 근속연수가 상대적으로 짧았다.

아시아나항공(9.5년),	아시아나항공/NNP+(/SS+9/SN+./SP+5/SN+년/NNB+)/SS+,/SP
엘지전자(9년),	엘지전자/NNP+(/SS+9/SN+년/NNB+)/SS+,/SP
씨제이(CJ)제일제당(7.5년)	씨제이/NNP+(/SS+CJ/SL+)/SS+제일제당/NNP+(/SS+7/SN+./SP+5/SN+년/NNB+)/SS
등도	등/NNB+도/JX
평균	평균/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
짧았다.	짧/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.35.5.1
삼성전자 관계자는 직원 평균 근속연수가 짧은 이유에 대해 “전체 직원에서 차지하는 비중이 높은 생산직 직원들이 진학 등의 이유로 회사를 일찍 그만두는 경우가 많기 때문”이라고 설명했다.

삼성전자	삼성전자/NNP
관계자는	관계자/NNG+는/JX
직원	직원/NNG
평균	평균/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
짧은	짧/VA+은/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
“전체	“/SS+전체/NNG
직원에서	직원/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
생산직	생산직/NNG
직원들이	직원/NNG+들/XSN+이/JKS
진학	진학/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
회사를	회사/NNG+를/JKO
일찍	일찍/MAG
그만두는	그만두/VV+는/ETM
경우가	경우/NNG+가/JKS
많기	많/VA+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.35.5.2
하지만 직원 간 경쟁, 엄격한 조직관리 문화 등으로 인해 다른 업체들에 비해 이직이 상대적으로 잦다는 평가도 있다.

하지만	하지만/MAJ
직원	직원/NNG
간	간/NNB
경쟁,	경쟁/NNG+,/SP
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
조직관리	조직/NNG+관리/NNG
문화	문화/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
다른	다른/MMD
업체들에	업체/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
이직이	이직/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
잦다는	잦/VA+다는/ETM
평가도	평가/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.35.5.3
실제로 회사 쪽이 평균 근속연수가 짧은 배경을 전체 직원(9만5659명) 가운데 여성 직원의 비율(33%)이 높은 데서 찾고 있는 것과는 달리, 삼성전자 남성 직원의 경우에도 평균 근속연수는 8.9년에 그쳤다.

실제로	실제로/MAG
회사	회사/NNG
쪽이	쪽/NNB+이/JKS
평균	평균/NNG
근속연수가	근속/NNG+연수/NNG+가/JKS
짧은	짧/VA+은/ETM
배경을	배경/NNG+을/JKO
전체	전체/NNG
직원(9만5659명)	직원/NNG+(/SS+9/SN+만/NR+5659/SN+명/NNB+)/SS
가운데	가운데/NNG
여성	여성/NNG
직원의	직원/NNG+의/JKG
비율(33%)이	비율/NNG+(/SS+33/SN+%/SW+)/SS+이/JKS
높은	높/VA+은/ETM
데서	데/NNB+서/JKB
찾고	찾/VV+고/EC
있는	있/VX+는/ETM
것과는	것/NNB+과/JKB+는/JX
달리,	달리/MAG+,/SP
삼성전자	삼성전자/NNP
남성	남성/NNG
경우에도	경우/NNG+에/JKB+도/JX
근속연수는	근속/NNG+연수/NNG+는/JX
8.9년에	8/SN+./SP+9/SN+년/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.35.6.1
평균 근속연수는 업종의 특성에 따라서도 큰 차이를 보였다.

평균	평균/NNG
근속연수는	근속/NNG+연수/NNG+는/JX
업종의	업종/NNG+의/JKG
특성에	특성/NNG+에/JKB
따라서도	따르/VV+아서/EC+도/JX
큰	크/VA+ㄴ/ETM
차이를	차이/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.35.6.2
특히 신규 채용인력은 많지만 비정규직 비중이 높은 유통업의 경우, 대부분의 업체가 평균 근속연수 최하위권에 머물렀다.

특히	특히/MAG
신규	신규/NNG
채용인력은	채용/NNG+인력/NNG+은/JX
많지만	많/VA+지만/EC
비정규직	비/XPN+정규직/NNG
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
유통업의	유통업/NNG+의/JKG
경우,	경우/NNG+,/SP
대부분의	대/XPN+부분/NNG+의/JKG
업체가	업체/NNG+가/JKS
평균	평균/NNG
근속연수	근속/NNG+연수/NNG
