# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.186
metadata : {}


# id : NWRW1800000030.186.1.1
"경북 연말연시 모금, 목표액의 10%밖에 안돼"

"경북	"/SS+경북/NNP
연말연시	연말연시/NNG
모금,	모금/NNG+,/SP
목표액의	목표액/NNG+의/JKG
10%밖에	10/SN+%/SW+밖에/JX
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000030.186.2.1
•1억 쾌척한 이대공 경북공동모금회 새 회장

•1억	•/SW+1/SN+억/NR
쾌척한	쾌척/NNG+하/XSV+ㄴ/ETM
이대공	이대공/NNP
경북공동모금회	경북공동모금회/NNP
새	새/MMA
회장	회장/NNG


# id : NWRW1800000030.186.3.1
"기부도 수도권으로 집중되고 있습니다.

"기부도	"/SS+기부/NNG+도/JX
수도권으로	수도/NNG+권/XSN+으로/JKB
집중되고	집중/NNG+되/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000030.186.3.2
그만큼 지방은 먹고살기 어렵다는 이야기죠.

그만큼	그만큼/MAG
지방은	지방/NNG+은/JX
먹고살기	먹고살/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
이야기죠.	이야기/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000030.186.3.3
새로운 기부 문화를 일으킬 테니 두고 보세요."

새로운	새롭/VA+ㄴ/ETM
기부	기부/NNG
문화를	문화/NNG+를/JKO
일으킬	일으키/VV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
두고	두/VV+고/EC
보세요."	보/VX+시/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.186.4.1
지난 1일부터 경북사회복지공동모금회 회장을 맡게 된 이대공(李大公·70) 포스코교육재단이사장은 14일 오전 김관용 경북도지사를 찾아가 1억원짜리 수표를 건넸다.

지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
경북사회복지공동모금회	경북사회복지공동모금회/NNP
회장을	회장/NNG+을/JKO
맡게	맡/VV+게/EC
된	되/VV+ㄴ/ETM
이대공(李大公·70)	이대공/NNP+(/SS+李大公/SH+·/SP+70/SN+)/SS
포스코교육재단이사장은	포스코교육재단/NNP+이사장/NNG+은/JX
14일	14/SN+일/NNB
오전	오전/NNG
김관용	김관용/NNP
경북도지사를	경북/NNP+도지사/NNG+를/JKO
찾아가	찾아가/VV+아/EC
1억원짜리	1/SN+억/NR+원/NNB+짜리/XSN
수표를	수표/NNG+를/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.186.4.2
그는 "어려운 이웃들에게 조금이나마 보탬이 되기를 바라며, 나부터 솔선수범하자는 의미에서 기부를 하게 됐다"고 말했다.

그는	그/NP+는/JX
"어려운	"/SS+어렵/VA+ㄴ/ETM
이웃들에게	이웃/NNG+들/XSN+에게/JKB
조금이나마	조금/NNG+이나마/JX
보탬이	보탬/NNG+이/JKC
되기를	되/VV+기/ETN+를/JKO
바라며,	바라/VV+며/EC+,/SP
나부터	나/NP+부터/JX
솔선수범하자는	솔선수범/NNG+하/XSV+자는/ETM
의미에서	의미/NNG+에서/JKB
기부를	기부/NNG+를/JKO
하게	하/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.186.4.3
이에 따라 그는 개인 고액 기부자 모임인 사회복지공동모금회 '아너 소사이어티' 69번째 회원이 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
그는	그/NP+는/JX
개인	개인/NNG
고액	고액/NNG
기부자	기부자/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
사회복지공동모금회	사회/NNG+복지/NNG+공동/NNG+모금회/NNG
'아너	'/SS+아너/NNP
소사이어티'	소사이어티/NNP+'/SS
69번째	69/SN+번/NNB+째/XSN
회원이	회원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.186.5.1
공동모금회 회장이 직접 고액 기부를 한 것은 작년 10월 서울 공동모금회 이연배 회장에 이어 두 번째다.

공동모금회	공동/NNG+모금회/NNG
회장이	회장/NNG+이/JKS
직접	직접/MAG
고액	고액/NNG
기부를	기부/NNG+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
작년	작년/NNG
10월	10/SN+월/NNB
서울	서울/NNP
이연배	이연배/NNP
회장에	회장/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.186.6.1
"2009년 154억원이었던 경북의 모금액이 작년 106억원으로 뚝 떨어졌어요.

"2009년	"/SS+2009/SN+년/NNB
154억원이었던	154/SN+억/NR+원/NNB+이/VCP+었/EP+던/ETM
경북의	경북/NNP+의/JKG
모금액이	모금액/NNG+이/JKS
작년	작년/NNG
106억원으로	106/SN+억/NR+원/NNB+으로/JKB
뚝	뚝/MAG
떨어졌어요.	떨어지/VV+었/EP+어요/EF+./SF


# id : NWRW1800000030.186.6.2
경북 지역에 불어닥친 구제역과 공동모금회 비리 사건 등 악재가 겹쳐 감소한 면도 있지만 기본적으로 경기가 너무 나빠 기부 문화도 얼어붙은 것이죠." 이 회장은 "연간 12월·1월 두 달 동안 1년 모금액의 80%가 모이는데 현재 이 기간 목표액(95억원)의 10%에 못 미치는 9억원이 모였다"고 말했다.

경북	경북/NNP
지역에	지역/NNG+에/JKB
불어닥친	불어닥치/VV+ㄴ/ETM
구제역과	구제역/NNG+과/JC
공동모금회	공동/NNG+모금회/NNG
비리	비리/NNG
사건	사건/NNG
등	등/NNB
악재가	악재/NNG+가/JKS
겹쳐	겹치/VV+어/EC
감소한	감소/NNG+하/XSV+ㄴ/ETM
면도	면/NNG+도/JX
있지만	있/VA+지만/EC
기본적으로	기본/NNG+적/XSN+으로/JKB
경기가	경기/NNG+가/JKS
너무	너무/MAG
나빠	나쁘/VA+아/EC
기부	기부/NNG
문화도	문화/NNG+도/JX
얼어붙은	얼어붙/VV+은/ETM
것이죠."	것/NNB+이/VCP+죠/EF+./SF+"/SS
이	이/MMD
회장은	회장/NNG+은/JX
"연간	"/SS+연간/NNG
12월·1월	12/SN+월/NNB+·/SP+1/SN+월/NNB
두	두/MMN
달	달/NNB
동안	동안/NNG
1년	1/SN+년/NNB
모금액의	모금액/NNG+의/JKG
80%가	80/SN+%/SW+가/JKS
모이는데	모이/VV+는데/EC
현재	현재/MAG
기간	기간/NNG
목표액(95억원)의	목표액/NNG+(/SS+95/SN+억/NR+원/NNB+)/SS+의/JKG
10%에	10/SN+%/SW+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
9억원이	9/SN+억/NR+원/NNB+이/JKS
모였다"고	모이/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.186.6.3
때문에 공동모금회는 15억원 규모의 저소득층 난방비 지원 예산을 5억원으로 줄였고, 1억2000여만원을 들여 불우 청소년들에게 공연 등을 보여주던 문화 나눔 사업도 전면 취소했다.

때문에	때문/NNB+에/JKB
공동모금회는	공동/NNG+모금회/NNG+는/JX
15억원	15/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
저소득층	저/XPN+소득/NNG+층/XSN
난방비	난방비/NNG
지원	지원/NNG
예산을	예산/NNG+을/JKO
5억원으로	5/SN+억/NR+원/NNB+으로/JKB
줄였고,	줄이/VV+었/EP+고/EC+,/SP
1억2000여만원을	1/SN+억/NR+2000/SN+여/XSN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
불우	불우/NNG
청소년들에게	청소년/NNG+들/XSN+에게/JKB
공연	공연/NNG
등을	등/NNB+을/JKO
보여주던	보이/VV+어/EC+주/VX+던/ETM
문화	문화/NNG
나눔	나누/VV+ㅁ/ETN
사업도	사업/NNG+도/JX
전면	전면/NNG
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.186.7.1
이 회장은 "앞으로 앉아서 기다리지 않고 직접 찾아갈 것"이라 했다.

이	이/NNP
회장은	회장/NNG+은/JX
"앞으로	"/SS+앞/NNG+으로/JKB
앉아서	앉/VV+아서/EC
기다리지	기다리/VV+지/EC
않고	않/VX+고/EC
직접	직접/MAG
찾아갈	찾아가/VV+ㄹ/ETM
것"이라	것/NNB+"/SS+이라/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.186.7.2
"포항을 비롯해 경북 지역 출향 인사 명단을 뽑고 있습니다.

"포항을	"/SS+포항/NNP+을/JKO
비롯해	비롯하/VV+아/EC
경북	경북/NNP
지역	지역/NNG
출향	출향/NNG
인사	인사/NNG
명단을	명단/NNG+을/JKO
뽑고	뽑/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000030.186.7.3
이분들을 찾아 '서울에서 기부하지 말고 지역 모금회에 기부해 달라'고 요청할 계획입니다."

이분들을	이분/NP+들/XSN+을/JKO
찾아	찾/VV+아/EC
'서울에서	'/SS+서울/NNP+에서/JKB
기부하지	기부/NNG+하/XSV+지/EC
말고	말/VX+고/EC
지역	지역/NNG
모금회에	모금회/NNG+에/JKB
기부해	기부/NNG+하/XSV+아/EC
달라'고	달/VX+라/EF+'/SS+고/JKQ
요청할	요청/NNG+하/XSV+ㄹ/ETM
계획입니다."	계획/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.186.8.1
그는 모금회가 자산가들의 축의금과 부의금을 대신 받는 계획도 세웠다고 했다.

그는	그/NP+는/JX
모금회가	모금회/NNG+가/JKS
자산가들의	자산가/NNG+들/XSN+의/JKG
축의금과	축의금/NNG+과/JC
부의금을	부의금/NNG+을/JKO
대신	대신/NNG
받는	받/VV+는/ETM
계획도	계획/NNG+도/JX
세웠다고	세우/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.186.8.2
"지역에는 축의금과 부의금을 정중하게 사양하는 자산가가 많습니다.

"지역에는	"/SS+지역/NNG+에/JKB+는/JX
축의금과	축의금/NNG+과/JC
부의금을	부의금/NNG+을/JKO
정중하게	정중하/VA+게/EC
사양하는	사양/NNG+하/XSV+는/ETM
자산가가	자산가/NNG+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000030.186.8.3
굳이 사양하지 말고 그 돈을 모금회 계좌로 받아주시면 모금회는 대신 감사장을 발송해주는 획기적인 기부 문화를 만들 것입니다."

굳이	굳이/MAG
사양하지	사양/NNG+하/XSV+지/EC
말고	말/VX+고/EC
그	그/MMD
돈을	돈/NNG+을/JKO
모금회	모금회/NNG
계좌로	계좌/NNG+로/JKB
받아주시면	받/VV+아/EC+주/VX+시/EP+면/EC
모금회는	모금회/NNG+는/JX
대신	대신/NNG
감사장을	감사장/NNG+을/JKO
발송해주는	발송/NNG+하/XSV+아/EC+주/VX+는/ETM
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
기부	기부/NNG
문화를	문화/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것입니다."	것/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.186.9.1
이 회장은 1998년 사재 37억여원을 털어 애린복지재단을 설립, 매년 2억원 상당을 불우 이웃을 위해 쓰고 있다.

이	이/NNP
회장은	회장/NNG+은/JX
1998년	1998/SN+년/NNB
사재	사재/NNG
37억여원을	37/SN+억/NR+여/XSN+원/NNB+을/JKO
털어	털/VV+어/EC
애린복지재단을	애린복지재단/NNP+을/JKO
설립,	설립/NNG+,/SP
매년	매년/MAG
2억원	2/SN+억/NR+원/NNB
상당을	상당/NNG+을/JKO
불우	불우/NNG
이웃을	이웃/NNG+을/JKO
위해	위하/VV+아/EC
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


