# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.258
metadata : {}


# id : NWRW1800000038.258.1.1
똘똘 뭉친 LG, 하루만에 1위 탈환

똘똘	똘똘/MAG
뭉친	뭉치/VV+ㄴ/ETM
LG,	LG/SL+,/SP
하루만에	하루/NNG+만/NNB+에/JKB
1위	1/SN+위/NNB
탈환	탈환/NNG


# id : NWRW1800000038.258.2.1
정성훈, 홈런 포함 3타수 3안타… 봉중근 34번째 세이브 따내

정성훈,	정성훈/NNP+,/SP
홈런	홈런/NNG
포함	포함/NNG
3타수	3/SN+타수/NNG
3안타…	3/SN+안타/NNG+…/SE
봉중근	봉중근/NNP
34번째	34/SN+번/NNB+째/XSN
세이브	세이브/NNG
따내	따내/VV+어/EF


# id : NWRW1800000038.258.3.1
'미리 보는 한국시리즈'의 2차전 승자는 LG였다.

'미리	'/SS+미리/MAG
보는	보/VV+는/ETM
한국시리즈'의	한국/NNP+시리즈/NNG+'/SS+의/JKG
2차전	2/SN+차전/NNB
승자는	승자/NNG+는/JX
LG였다.	LG/SL+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.258.4.1
LG는 8일 잠실 프로야구 홈경기에서 삼성을 5대4로 꺾고 선두 자리를 하루 만에 되찾았다.

LG는	LG/SL+는/JX
8일	8/SN+일/NNB
잠실	잠실/NNP
프로야구	프로/NNG+야구/NNG
홈경기에서	홈경기/NNG+에서/JKB
삼성을	삼성/NNP+을/JKO
5대4로	5/SN+대/NNB+4/SN+로/JKB
꺾고	꺾/VV+고/EC
선두	선두/NNG
자리를	자리/NNG+를/JKO
하루	하루/NNG
만에	만/NNB+에/JKB
되찾았다.	되찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.4.2
4번 타자 정성훈이 2점 홈런을 포함해 3타수 3안타 맹타를 휘둘렀다.

4번	4/SN+번/NNB
타자	타자/NNG
정성훈이	정성훈/NNP+이/JKS
2점	2/SN+점/NNB
홈런을	홈런/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
3타수	3/SN+타수/NNG
3안타	3/SN+안타/NNG
맹타를	맹타/NNG+를/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.4.3
선발 레다메스 리즈는 6이닝 2실점(3피안타 7탈삼진) 호투를 펼쳤다.

선발	선발/NNG
레다메스	레다메스/NNP
리즈는	리즈/NNP+는/JX
6이닝	6/SN+이닝/NNG
2실점(3피안타	2/SN+실점/NNG+(/SS+3/SN+피/XPN+안타/NNG
7탈삼진)	7/SN+탈삼진/NNG+)/SS
호투를	호투/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.4.4
LG와 삼성의 승차는 다시 1게임이 됐다.

LG와	LG/SL+와/JC
삼성의	삼성/NNP+의/JKG
승차는	승차/NNG+는/JX
다시	다시/MAG
1게임이	1/SN+게임/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.5.1
1위 경쟁을 펼치는 두 팀의 주말 2연전은 내내 뜨거웠다.

1위	1/SN+위/NNB
경쟁을	경쟁/NNG+을/JKO
펼치는	펼치/VV+는/ETM
두	두/MMN
팀의	팀/NNG+의/JKG
주말	주말/NNG
2연전은	2/SN+연전/NNG+은/JX
내내	내내/MAG
뜨거웠다.	뜨겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.258.5.2
잠실구장에는 7일 만원(2만7000석)을 이룬 데 이어 8일에는 2만5475명이 경기를 직접 지켜봤다.

잠실구장에는	잠실구장/NNP+에/JKB+는/JX
7일	7/SN+일/NNB
만원(2만7000석)을	만원/NNG+(/SS+2/SN+만/NR+7000/SN+석/NNB+)/SS+을/JKO
이룬	이루/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
8일에는	8/SN+일/NNB+에/JKB+는/JX
2만5475명이	2/SN+만/NR+5475/SN+명/NNB+이/JKS
경기를	경기/NNG+를/JKO
직접	직접/MAG
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.5.3
과열된 분위기에 삼성 투수 배영수가 7일 경기를 마치고 빠져나가다 LG 유니폼을 입은 팬에게 뒤통수를 맞는 소동이 일어나기도 했다.

과열된	과열/NNG+되/XSV+ㄴ/ETM
분위기에	분위기/NNG+에/JKB
삼성	삼성/NNP
투수	투수/NNG
배영수가	배영수/NNP+가/JKS
7일	7/SN+일/NNB
경기를	경기/NNG+를/JKO
마치고	마치/VV+고/EC
빠져나가다	빠져나가/VV+다/EC
LG	LG/SL
유니폼을	유니폼/NNG+을/JKO
입은	입/VV+은/ETM
팬에게	팬/NNG+에게/JKB
뒤통수를	뒤통수/NNG+를/JKO
맞는	맞/VV+는/ETM
소동이	소동/NNG+이/JKS
일어나기도	일어나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.258.5.4
배영수는 "내가 그분에게 '왜 때리느냐'고 물었더니 '파이팅하라고 그랬다'고 답했다"며 "솔직히 내 입장에선 기분 나빴다"고 말했다.

배영수는	배영수/NNP+는/JX
"내가	"/SS+내/NP+가/JKS
그분에게	그분/NP+에게/JKB
'왜	'/SS+왜/MAG
때리느냐'고	때리/VV+느냐/EF+'/SS+고/JKQ
물었더니	묻/VV+었/EP+더니/EC
'파이팅하라고	'/SS+파이팅/IC+하/XSV+라고/EC
그랬다'고	그러/VV+었/EP+다/EF+'/SS+고/JKQ
답했다"며	답/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"솔직히	"/SS+솔직히/MAG
내	나/NP+의/JKG
입장에선	입장/NNG+에서/JKB+ㄴ/JX
기분	기분/NNG
나빴다"고	나쁘/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.6.1
첫 경기에선 삼성이 선발 배영수에 이어 6회 장원삼을 구원투수로 기용하는 변칙 운용으로 7대2 승리를 거뒀다.

첫	첫/MMN
경기에선	경기/NNG+에서/JKB+ㄴ/JX
삼성이	삼성/NNP+이/JKS
선발	선발/NNG
배영수에	배영수/NNP+에/JKB
이어	잇/VV+어/EC
6회	6/SN+회/NNB
장원삼을	장원삼/NNP+을/JKO
구원투수로	구원/NNG+투수/NNG+로/JKB
기용하는	기용/NNG+하/XSV+는/ETM
변칙	변칙/NNG
운용으로	운용/NNG+으로/JKB
7대2	7/SN+대/NNB+2/SN
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.6.2
LG 김기태 감독은 8일 경기를 앞두고 "선수들이 포스트 시즌 같은 분위기에서 처음 경기를 해봤을 것"이라며 "졌지만 배운 게 많은 하루였다"고 말했다.

LG	LG/SL
김기태	김기태/NNP
감독은	감독/NNG+은/JX
8일	8/SN+일/NNB
경기를	경기/NNG+를/JKO
앞두고	앞두/VV+고/EC
"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
포스트	포스트/NNG
시즌	시즌/NNG
같은	같/VA+은/ETM
분위기에서	분위기/NNG+에서/JKB
처음	처음/NNG
해봤을	하/VV+아/EC+보/VX+았/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"졌지만	"/SS+지/VV+었/EP+지만/EC
배운	배우/VV+ㄴ/ETM
게	거/NNB+이/JKS
많은	많/VA+은/ETM
하루였다"고	하루/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.7.1
LG의 '학습효과'는 금세 나타났다.

LG의	LG/SL+의/JKG
'학습효과'는	'/SS+학습/NNG+효과/NNG+'/SS+는/JX
금세	금세/MAG
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.7.2
8일 1회초 삼성 배영섭에게 1점 홈런을 맞고 선제점을 내줬지만, 분위기를 바로 찾아왔다.

8일	8/SN+일/NNB
1회초	1/SN+회/NNB+초/NNB
삼성	삼성/NNP
배영섭에게	배영섭/NNP+에게/JKB
1점	1/SN+점/NNB
홈런을	홈런/NNG+을/JKO
맞고	맞/VV+고/EC
선제점을	선제점/NNG+을/JKO
내줬지만,	내주/VV+었/EP+지만/EC+,/SP
분위기를	분위기/NNG+를/JKO
바로	바로/MAG
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.7.3
1회말 정성훈이 왼쪽 담장을 넘어가는 역전 투런포를 쐈다.

1회말	1/SN+회/NNB+말/NNB
정성훈이	정성훈/NNP+이/JKS
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
넘어가는	넘어가/VV+는/ETM
역전	역전/NNG
투런포를	투런/NNG+포/NNG+를/JKO
쐈다.	쏘/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.7.4
LG는 4회 1점, 7회 2점을 뽑으며 주도권을 지켰다.

LG는	LG/SL+는/JX
4회	4/SN+회/NNB
1점,	1/SN+점/NNB+,/SP
7회	7/SN+회/NNB
2점을	2/SN+점/NNB+을/JKO
뽑으며	뽑/VV+으며/EC
주도권을	주도/NNG+권/XSN+을/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.8.1
경기 후반에는 삼성의 거센 추격을 '벌떼 마운드'로 버텨냈다.

경기	경기/NNG
후반에는	후반/NNG+에/JKB+는/JX
삼성의	삼성/NNP+의/JKG
거센	거세/VA+ㄴ/ETM
추격을	추격/NNG+을/JKO
'벌떼	'/SS+벌/NNG+떼/NNG
마운드'로	마운드/NNG+'/SS+로/JKB
버텨냈다.	버티/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.258.8.2
7회부터 계투진을 네 명 투입하면서 1점 차 승리를 지켜냈다.

7회부터	7/SN+회/NNB+부터/JX
계투진을	계투진/NNG+을/JKO
네	네/MMN
명	명/NNB
투입하면서	투입/NNG+하/XSV+면서/EC
1점	1/SN+점/NNB
차	차/NNG
승리를	승리/NNG+를/JKO
지켜냈다.	지키/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.258.8.3
마무리투수 봉중근은 1과 3분의 2이닝 무실점 투구로 시즌 34번째 세이브를 따냈다.

마무리투수	마무리/NNG+투수/NNG
봉중근은	봉중근/NNP+은/JX
1과	1/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
무실점	무/XPN+실점/NNG
투구로	투구/NNG+로/JKB
시즌	시즌/NNG
34번째	34/SN+번/NNB+째/XSN
세이브를	세이브/NNG+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.8.4
김 감독은 경기가 끝나고 나서 "팬과 선수들이 한마음으로 함께 싸웠기 때문에 승리할 수 있었다"고 말했다.

김	김/NNP
감독은	감독/NNG+은/JX
경기가	경기/NNG+가/JKS
끝나고	끝나/VV+고/EC
나서	나/VX+아서/EC
"팬과	"/SS+팬/NNG+과/JC
선수들이	선수/NNG+들/XSN+이/JKS
한마음으로	한마음/NNG+으로/JKB
함께	함께/MAG
싸웠기	싸우/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.9.1
6회 리즈의 155㎞짜리 직구에 헬멧 왼쪽 부분을 맞아 병원으로 후송된 삼성 배영섭은 큰 부상을 당하지 않은 것으로 나타났다.

6회	6/SN+회/NNB
리즈의	리즈/NNP+의/JKG
155㎞짜리	155/SN+㎞/SW+짜리/XSN
직구에	직구/NNG+에/JKB
헬멧	헬멧/NNG
왼쪽	왼쪽/NNG
부분을	부분/NNG+을/JKO
맞아	맞/VV+아/EC
병원으로	병원/NNG+으로/JKB
후송된	후송/NNG+되/XSV+ㄴ/ETM
삼성	삼성/NNP
배영섭은	배영섭/NNP+은/JX
큰	크/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
당하지	당하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.9.2
삼성 구단 측은 "CT 촬영 결과, 머리와 안면 뼈, 고막에 이상이 없다는 판정을 받았다"고 전했다.

삼성	삼성/NNP
구단	구단/NNG
측은	측/NNB+은/JX
"CT	"/SS+CT/SL
촬영	촬영/NNG
결과,	결과/NNG+,/SP
머리와	머리/NNG+와/JC
안면	안면/NNG
뼈,	뼈/NNG+,/SP
고막에	고막/NNG+에/JKB
이상이	이상/NNG+이/JKS
없다는	없/VA+다는/ETM
판정을	판정/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.258.10.1
목동에선 넥센의 대포가 불을 뿜었다.

목동에선	목동/NNP+에서/JKB+ㄴ/JX
넥센의	넥센/NNP+의/JKG
대포가	대포/NNG+가/JKS
불을	불/NNG+을/JKO
뿜었다.	뿜/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.258.10.2
