# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.133
metadata : {}


# id : NWRW1800000032.133.1.1
푸틴-후진타오 ‘천연가스 협상’ 타결 못해

푸틴-후진타오	푸틴/NNP+-/SO+후진타오/NNP
‘천연가스	‘/SS+천연가스/NNG
협상’	협상/NNG+’/SS
타결	타결/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000032.133.2.1
‘대통령직 복귀’를 선언한 뒤 첫 해외순방으로 중국을 공식 방문한 블라디미르 푸틴 러시아 총리가 12일 후진타오 중국 국가주석과 회담을 마치고 귀국했다.

‘대통령직	‘/SS+대통령직/NNG
복귀’를	복귀/NNG+’/SS+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
첫	첫/MMN
해외순방으로	해외/NNG+순방/NNG+으로/JKB
중국을	중국/NNP+을/JKO
공식	공식/NNG
방문한	방문/NNG+하/XSV+ㄴ/ETM
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
총리가	총리/NNG+가/JKS
12일	12/SN+일/NNB
후진타오	후진타오/NNP
중국	중국/NNP
국가주석과	국가주석/NNG+과/JKB
회담을	회담/NNG+을/JKO
마치고	마치/VV+고/EC
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.2.2
양대 강대국의 정상과 실세가 마주 앉았지만, 이번 방문의 핵심인 중-러 천연가스 가격 협상은 타결에 이르지 못했다.

양대	양대/MMA
강대국의	강대국/NNG+의/JKG
정상과	정상/NNG+과/JC
실세가	실세/NNG+가/JKS
마주	마주/MAG
앉았지만,	앉/VV+았/EP+지만/EC+,/SP
이번	이번/NNG
방문의	방문/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
중-러	중/NNP+-/SO+러/NNP
천연가스	천연가스/NNG
가격	가격/NNG
협상은	협상/NNG+은/JX
타결에	타결/NNG+에/JKB
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.133.3.1
후진타오 주석은 푸틴 총리의 방문이 “중-러의 포괄적 전략적 관계의 진전을 이뤘다”고 강조했다고 <신화통신>은 전했으나, 천연가스 가격 협상 합의 소식은 나오지 않았다.

후진타오	후진타오/NNP
주석은	주석/NNG+은/JX
푸틴	푸틴/NNP
총리의	총리/NNG+의/JKG
방문이	방문/NNG+이/JKS
“중-러의	“/SS+중/NNP+-/SO+러/NNP+의/JKG
포괄적	포괄/NNG+적/XSN
전략적	전략/NNG+적/XSN
관계의	관계/NNG+의/JKG
진전을	진전/NNG+을/JKO
이뤘다”고	이루/VV+었/EP+다/EF+”/SS+고/JKQ
강조했다고	강조/NNG+하/XSV+았/EP+다고/EC
<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
전했으나,	전하/VV+았/EP+으나/EC+,/SP
천연가스	천연가스/NNG
가격	가격/NNG
협상	협상/NNG
합의	합의/NNG
소식은	소식/NNG+은/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.133.3.2
중국 언론들은 진전은 있었지만 협상을 계속 하기로 했다고 보도했다.

중국	중국/NNP
언론들은	언론/NNG+들/XSN+은/JX
진전은	진전/NNG+은/JX
있었지만	있/VA+었/EP+지만/EC
협상을	협상/NNG+을/JKO
계속	계속/MAG
하기로	하/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.4.1
푸틴 총리는 방문 첫날인 11일 원자바오 중국 총리와 회담한 뒤 기자들에게 “중국 시장에 가스를 공급하는 작업에서 마지막 단계에 접근하고 있다”며 계약 타결에 근접하고 있다고 강조했다.

푸틴	푸틴/NNP
총리는	총리/NNG+는/JX
방문	방문/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
11일	11/SN+일/NNB
원자바오	원자바오/NNP
중국	중국/NNP
총리와	총리/NNG+와/JKB
회담한	회담/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
“중국	“/SS+중국/NNP
시장에	시장/NNG+에/JKB
가스를	가스/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
작업에서	작업/NNG+에서/JKB
마지막	마지막/NNG
단계에	단계/NNG+에/JKB
접근하고	접근/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
계약	계약/NNG
타결에	타결/NNG+에/JKB
근접하고	근접/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.133.5.1
세계최대 에너지 수출국 러시아와 최대 에너지 소비국인 중국은 가스관을 건설해 매년 약 680억㎥의 러시아산 천연가스를 30년 동안 중국에 수출하기로 지난 2009년 합의했으나, 전체 1조달러가 넘는 천문학적 거래의 가격 산정을 둘러싸고 3년 넘게 줄다리기중이다.

세계최대	세계/NNG+최대/NNG
에너지	에너지/NNG
수출국	수출국/NNG
러시아와	러시아/NNP+와/JC
최대	최대/NNG
소비국인	소비국/NNG+이/VCP+ㄴ/ETM
중국은	중국/NNP+은/JX
가스관을	가스관/NNG+을/JKO
건설해	건설/NNG+하/XSV+아/EC
매년	매년/MAG
약	약/MMA
680억㎥의	680/SN+억/NR+㎥/SW+의/JKG
러시아산	러시아/NNP+산/XSN
천연가스를	천연가스/NNG+를/JKO
30년	30/SN+년/NNB
동안	동안/NNG
중국에	중국/NNP+에/JKB
수출하기로	수출/NNG+하/XSV+기/ETN+로/JKB
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
합의했으나,	합의/NNG+하/XSV+았/EP+으나/EC+,/SP
전체	전체/NNG
1조달러가	1/SN+조/NR+달러/NNB+가/JKS
넘는	넘/VV+는/ETM
천문학적	천문학/NNG+적/XSN
거래의	거래/NNG+의/JKG
가격	가격/NNG
산정을	산정/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
3년	3/SN+년/NNB
넘게	넘/VV+게/EC
줄다리기중이다.	줄다리기/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.133.5.2
러시아는 1000㎥당 약 300달러를 요구하고 있고, 중국은 200달러 정도를 제시하고 있는 것으로 알려져 있다.

러시아는	러시아/NNP+는/JX
1000㎥당	1000/SN+㎥/SW+당/XSN
약	약/MMA
300달러를	300/SN+달러/NNB+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
중국은	중국/NNP+은/JX
