# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.11
metadata : {}


# id : NWRW1800000038.11.1.1
도쿄都서 만드는 日 역사 교과서… 독도·센카쿠 내용 대폭 늘리기로

도쿄都서	도쿄/NNP+都/SH+서/JKS
만드는	만들/VV+는/ETM
日	日/SH
역사	역사/NNG
교과서…	교과서/NNG+…/SE
독도·센카쿠	독도/NNP+·/SP+센카쿠/NNP
내용	내용/NNG
대폭	대폭/MAG
늘리기로	늘리/VV+기/ETN+로/JKB


# id : NWRW1800000038.11.2.1
日영유권 주장 등 수정·왜곡… 4월부터 도립고교 1학년 사용

日영유권	日/SH+영유/NNG+권/XSN
주장	주장/NNG
등	등/NNB
수정·왜곡…	수정/NNG+·/SP+왜곡/NNG+…/SE
4월부터	4/SN+월/NNB+부터/JX
도립고교	도립/NNG+고교/NNG
1학년	1/SN+학년/NNG
사용	사용/NNG


# id : NWRW1800000038.11.3.1
일본 도쿄도(東京都) 교육위원회가 독자적으로 제작하는 고교생용 일본 역사 교과서인 '에도에서 도쿄로'의 내용을 수정해 독도 관련 기술을 확대한다.

일본	일본/NNP
도쿄도(東京都)	도쿄도/NNP+(/SS+東京都/SH+)/SS
교육위원회가	교육/NNG+위원회/NNG+가/JKS
독자적으로	독자/NNG+적/XSN+으로/JKB
제작하는	제작/NNG+하/XSV+는/ETM
고교생용	고교/NNG+생/XSN+용/XSN
역사	역사/NNG
교과서인	교과서/NNG+이/VCP+ㄴ/ETM
'에도에서	'/SS+에도/NNP+에서/JKB
도쿄로'의	도쿄/NNP+로/JKB+'/SS+의/JKG
내용을	내용/NNG+을/JKO
수정해	수정/NNG+하/XSV+아/EC
독도	독도/NNP
관련	관련/NNG
기술을	기술/NNG+을/JKO
확대한다.	확대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.11.4.1
24일 지지(時事)통신에 따르면 도쿄도 교육위원회는 고교생에게 올바른 역사인식을 갖도록 한다는 명분을 내세워 독도와 센카쿠에 관한 기술을 현재 2줄에서 22줄로 늘리기로 결정했다.

24일	24/SN+일/NNB
지지(時事)통신에	지지/NNP+(/SS+時事/SH+)/SS+통신/NNG+에/JKB
따르면	따르/VV+면/EC
도쿄도	도쿄도/NNP
교육위원회는	교육/NNG+위원회/NNG+는/JX
고교생에게	고교/NNG+생/XSN+에게/JKB
올바른	올바르/VA+ㄴ/ETM
역사인식을	역사/NNG+인식/NNG+을/JKO
갖도록	갖/VV+도록/EC
한다는	하/VX+ㄴ다는/ETM
명분을	명분/NNG+을/JKO
내세워	내세우/VV+어/EC
