# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.34
metadata : {}


# id : NWRW1800000046.34.1.1
별의별 사람들 다 나오는 美대선… 30여명이나 출마

별의별	별의별/MMA
사람들	사람/NNG+들/XSN
다	다/MAG
나오는	나오/VV+는/ETM
美대선…	美/SH+대선/NNG+…/SE
30여명이나	30/SN+여/XSN+명/NNB+이나/JX
출마	출마/NNG


# id : NWRW1800000046.34.2.1
힐러리·부시는 조연으로… 공유경제 창시 레식 교수, 기이한 백만장자 맥아피 등 非정치인들 우르르 합류

힐러리·부시는	힐러리/NNP+·/SP+부시/NNP+는/JX
조연으로…	조연/NNG+으로/JKB+…/SE
공유경제	공유/NNG+경제/NNG
창시	창시/NNG
레식	레식/NNP
교수,	교수/NNG+,/SP
기이한	기이하/VA+ㄴ/ETM
백만장자	백만장자/NNG
맥아피	맥아피/NNP
등	등/NNB
非정치인들	非/SH+정치인/NNG+들/XSN
우르르	우르르/MAG
합류	합류/NNG


# id : NWRW1800000046.34.3.1
'클린턴 대 부시'의 정치 명문가 대결로 예상되던 2016년 미국 대선판이 갈수록 복잡해지고 있다.

'클린턴	'/SS+클린턴/NNP
대	대/NNB
부시'의	부시/NNP+'/SS+의/JKG
정치	정치/NNG
명문가	명문가/NNG
대결로	대결/NNG+로/JKB
예상되던	예상/NNG+되/XSV+던/ETM
2016년	2016/SN+년/NNB
미국	미국/NNP
대선판이	대선판/NNG+이/JKS
갈수록	갈수록/MAG
복잡해지고	복잡하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.34.3.2
공화당에서 이미 17명이 나섰고, 힐러리 클린턴 전 국무장관 독주가 예상되던 민주당 경선에도 새바람이 일고 있다.

공화당에서	공화당/NNP+에서/JKB
이미	이미/MAG
17명이	17/SN+명/NNB+이/JKS
나섰고,	나서/VV+었/EP+고/EC+,/SP
힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
국무장관	국무/NNG+장관/NNG
독주가	독주/NNG+가/JKS
