# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.216
metadata : {}


# id : NWRW1800000045.216.1.1
‘병역 논란’ 위기의 배상문, 위축은 없다

‘병역	‘/SS+병역/NNG
논란’	논란/NNG+’/SS
위기의	위기/NNG+의/JKG
배상문,	배상문/NNP+,/SP
위축은	위축/NNG+은/JX
없다	없/VA+다/EF


# id : NWRW1800000045.216.2.1
PGA 현대 토너먼트 2R 공동선두…이틀간 그린 적중률 91% 집중력 최경주 “배상문 문제 안타깝지만 버티기만 한다고 될 일도 아니다”

PGA	PGA/SL
현대	현대/NNP
토너먼트	토너먼트/NNG
2R	2/SN+R/SL
공동선두…이틀간	공동/NNG+선두/NNG+…/SE+이틀/NNG+간/XSN
그린	그리/VV+ㄴ/ETM
적중률	적중/NNG+률/XSN
91%	91/SN+%/SW
집중력	집중력/NNG
최경주	최경주/NNP
“배상문	“/SS+배상문/NNP
문제	문제/NNG
안타깝지만	안타깝/VA+지만/EC
버티기만	버티기/NNG+만/JX
한다고	하/VX+ㄴ다고/EC
될	되/VV+ㄹ/ETM
일도	일/NNG+도/JX
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000045.216.3.1
병역 문제로 선수 생활 중단의 기로에 놓였어도 배상문(29)은 전혀 흔들리지 않았다.

병역	병역/NNG
문제로	문제/NNG+로/JKB
선수	선수/NNG
생활	생활/NNG
중단의	중단/NNG+의/JKG
기로에	기로/NNG+에/JKB
놓였어도	놓이/VV+었/EP+어도/EC
배상문(29)은	배상문/NNP+(/SS+29/SN+)/SS+은/JX
전혀	전혀/MAG
흔들리지	흔들리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.216.3.2
오히려 강한 멘털로 이틀 연속 맹타를 휘두르며 새해 첫 우승의 희망을 키웠다.

오히려	오히려/MAG
강한	강하/VA+ㄴ/ETM
멘털로	멘털/NNG+로/JKB
이틀	이틀/NNG
연속	연속/NNG
맹타를	맹타/NNG+를/JKO
휘두르며	휘두르/VV+며/EC
새해	새해/NNG
첫	첫/MMN
우승의	우승/NNG+의/JKG
희망을	희망/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.4.1
11일 미국 하와이 주 카팔루아 리조트의 플랜테이션코스(파73·7411야드)에서 열린 미국프로골프(PGA)투어 현대 토너먼트 오브 챔피언스 2라운드.

11일	11/SN+일/NNB
미국	미국/NNP
하와이	하와이/NNP
주	주/NNG
카팔루아	카팔루아/NNP
리조트의	리조트/NNG+의/JKG
플랜테이션코스(파73·7411야드)에서	플랜테이션/NNG+코스/NNG+(/SS+파/NNG+73/SN+·/SP+7411/SN+야드/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
미국프로골프(PGA)투어	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG
현대	현대/NNP
토너먼트	토너먼트/NNG
오브	오브/NNG
챔피언스	챔피언스/NNG
2라운드.	2/SN+라운드/NNG+./SF


# id : NWRW1800000045.216.4.2
전날 7언더파를 몰아치며 1타 차 단독 2위로 마친 배상문은 이날은 보기 없이 버디 4개로만 4타를 줄여 중간합계 11언더파 135타를 쳤다.

전날	전날/NNG
7언더파를	7/SN+언더/NNG+파/NNG+를/JKO
몰아치며	몰아치/VV+며/EC
1타	1/SN+타/NNG
차	차/NNG
단독	단독/NNG
2위로	2/SN+위/NNB+로/JKB
마친	마치/VV+ㄴ/ETM
배상문은	배상문/NNP+은/JX
이날은	이날/NNG+은/JX
보기	보기/NNG
없이	없이/MAG
버디	버디/NNG
4개로만	4/SN+개/NNB+로/JKB+만/JX
4타를	4/SN+타/NNG+를/JKO
줄여	줄이/VV+어/EC
중간합계	중간/NNG+합계/NNG
11언더파	11/SN+언더/NNG+파/NNG
135타를	135/SN+타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.4.3
이로써 배상문은 지난해 우승자 잭 존슨, 지미 워커, 러셀 헨리(이상 미국) 등과 공동 선두가 됐다.

이로써	이/NP+로써/JKB
배상문은	배상문/NNP+은/JX
지난해	지난해/NNG
우승자	우승자/NNG
잭	잭/NNP
존슨,	존슨/NNP+,/SP
지미	지미/NNP
워커,	워커/NNP+,/SP
러셀	러셀/NNP
헨리(이상	헨리/NNP+(/SS+이상/NNG
미국)	미국/NNP+)/SS
등과	등/NNB+과/JKB
공동	공동/NNG
선두가	선두/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.216.5.1
