# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.420
metadata : {}


# id : NWRW1800000038.420.1.1
中 동북3성, 北 개방·개발 끌어낼 투자루트 되나

中	中/SH
동북3성,	동북/NNG+3/SN+성/NNG+,/SP
北	北/SH
개방·개발	개방/NNG+·/SP+개발/NNG
끌어낼	끌어내/VV+ㄹ/ETM
투자루트	투자/NNG+루트/NNG
되나	되/VV+나/EF


# id : NWRW1800000038.420.2.1
정부, 3省 고위 인사·기업인 100여명 초청 '경제포럼' 열어

정부,	정부/NNG+,/SP
3省	3/SN+省/SH
고위	고위/NNG
인사·기업인	인사/NNG+·/SP+기업인/NNG
100여명	100/SN+여/XSN+명/NNB
초청	초청/NNG
'경제포럼'	'/SS+경제/NNG+포럼/NNG+'/SS
열어	열/VV+어/EF


# id : NWRW1800000038.420.3.1
정부는 25일 중국 동북 3성(省)의 정부 고위 인사와 기업인 100여명을 초청, 투자 설명회 형식의 한국, 동북 3성 경제협력 포럼을 열었다.

정부는	정부/NNG+는/JX
25일	25/SN+일/NNB
중국	중국/NNP
동북	동북/NNG
3성(省)의	3/SN+성/NNG+(/SS+省/SH+)/SS+의/JKG
정부	정부/NNG
고위	고위/NNG
인사와	인사/NNG+와/JC
기업인	기업인/NNG
100여명을	100/SN+여/XSN+명/NNB+을/JKO
초청,	초청/NNG+,/SP
투자	투자/NNG
설명회	설명회/NNG
형식의	형식/NNG+의/JKG
한국,	한국/NNP+,/SP
3성	3/SN+성/NNG
경제협력	경제/NNG+협력/NNG
포럼을	포럼/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.420.3.2
지린(吉林)·랴오닝(遼寧)·헤이룽장(黑龍江) 등 북한과 접한 동북 3성의 주요 인사들이 동시에 방한해 대규모 투자 설명회를 가진 것은 처음이다.

지린(吉林)·랴오닝(遼寧)·헤이룽장(黑龍江)	지린/NNP+(/SS+吉林/SH+)/SS+·/SP+랴오닝/NNP+(/SS+遼寧/SH+)/SS+·/SP+헤이룽장/NNP+(/SS+黑龍江/SH+)/SS
등	등/NNB
북한과	북한/NNP+과/JKB
접한	접하/VV+ㄴ/ETM
동북	동북/NNG
3성의	3/SN+성/NNG+의/JKG
주요	주요/NNG
인사들이	인사/NNG+들/XSN+이/JKS
동시에	동시/NNG+에/JKB
