# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.125
metadata : {}


# id : NWRW1800000036.125.1.1
2PM 도쿄 부도칸 공연 성황…티켓 6만장 1분만에 동나

2PM	2/SN+PM/SL
도쿄	도쿄/NNP
부도칸	부도칸/NNP
공연	공연/NNG
성황…티켓	성황/NNG+…/SE+티켓/NNG
6만장	6/SN+만/NR+장/NNB
1분만에	1/SN+분/NNB+만/NNB+에/JKB
동나	동나/VV+아/EF


# id : NWRW1800000036.125.2.1
[한겨레] 비틀스 섰던 무대…“엿새간 매진축하 조명 뭉클”

[한겨레]	[/SS+한겨레/NNP+]/SS
비틀스	비틀스/NNP
섰던	서/VV+었/EP+던/ETM
무대…“엿새간	무대/NNG+…/SE+“/SS+엿새/NNG+간/XSN
매진축하	매진/NNG+축하/NNG
조명	조명/NNG
뭉클”	뭉클/MAG+”/SS


# id : NWRW1800000036.125.3.1
일본 도쿄 부도칸(무도관)은 유도·합기도·검도·가라데 등 경기를 위해 지어진 곳이다.

일본	일본/NNP
도쿄	도쿄/NNP
부도칸(무도관)은	부도칸/NNP+(/SS+무도관/NNP+)/SS+은/JX
유도·합기도·검도·가라데	유도/NNG+·/SP+합기도/NNG+·/SP+검도/NNG+·/SP+가라데/NNG
등	등/NNB
경기를	경기/NNG+를/JKO
위해	위하/VV+아/EC
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.125.3.2
음악 공연장으로도 자주 쓰이는데, 어지간한 이름값으론 좀처럼 서기 힘든 ‘꿈의 무대’로 알려져 있다.

음악	음악/NNG
공연장으로도	공연장/NNG+으로/JKB+도/JX
자주	자주/MAG
쓰이는데,	쓰이/VV+는데/EC+,/SP
어지간한	어지간하/VA+ㄴ/ETM
이름값으론	이름값/NNG+으로/JKB+ㄴ/JX
좀처럼	좀처럼/MAG
서기	서/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
‘꿈의	‘/SS+꿈/NNG+의/JKG
무대’로	무대/NNG+’/SS+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.125.3.3
1966년 비틀스를 시작으로, 딥퍼플·오아시스·블러·에이브릴 라빈 같은 세계적인 음악인들이 이곳에서 공연했다.

1966년	1966/SN+년/NNB
비틀스를	비틀스/NNP+를/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
딥퍼플·오아시스·블러·에이브릴	딥퍼플/NNP+·/SP+오아시스/NNP+·/SP+블러/NNP+·/SP+에이브릴/NNP
라빈	라빈/NNP
같은	같/VA+은/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
음악인들이	음악인/NNG+들/XSN+이/JKS
이곳에서	이곳/NP+에서/JKB
공연했다.	공연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.125.4.1
부도칸 천장에는 ‘쿨레이’라 불리는 커다란 팔각형 띠 모양의 전등들이 있다.

부도칸	부도칸/NNP
천장에는	천장/NNG+에/JKB+는/JX
‘쿨레이’라	‘/SS+쿨레이/NNG+’/SS+라/EC
불리는	불리/VV+는/ETM
커다란	커다랗/VA+ㄴ/ETM
팔각형	팔각/NNG+형/XSN
띠	띠/NNG
