# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.10
metadata : {}


# id : NWRW1800000046.10.1.1
'수소車' 직접 탄 아베… 日정부도 막대한 지원

'수소車'	'/SS+수소/NNG+車/SH+'/SS
직접	직접/MAG
탄	타/VV+ㄴ/ETM
아베…	아베/NNP+…/SE
日정부도	日/SH+정부/NNG+도/JX
막대한	막대하/VA+ㄴ/ETM
지원	지원/NNG


# id : NWRW1800000046.10.2.1
주문 건수 60%, 정부 기관

주문	주문/NNG
건수	건수/NNG
60%,	60/SN+%/SW+,/SP
정부	정부/NNG
기관	기관/NNG


# id : NWRW1800000046.10.3.1
세계 최초로 상용화된 수소연료전지차인 일본 도요타자동차의 '미라이(未來)' 1호차가 일본 총리 관저에 15일 인도돼 아베 신조 총리가 직접 시승식을 가졌다.

세계	세계/NNG
최초로	최초/NNG+로/JKB
상용화된	상용/NNG+화/XSN+되/XSV+ㄴ/ETM
수소연료전지차인	수소/NNG+연료/NNG+전지/NNG+차/NNG+이/VCP+ㄴ/ETM
일본	일본/NNP
도요타자동차의	도요타자동차/NNP+의/JKG
'미라이(未來)'	'/SS+미라이/NNP+(/SS+未來/SH+)/SS+'/SS
1호차가	1/SN+호/NNB+차/NNG+가/JKS
총리	총리/NNG
관저에	관저/NNG+에/JKB
15일	15/SN+일/NNB
인도돼	인도/NNG+되/XSV+어/EC
아베	아베/NNP
신조	신조/NNP
총리가	총리/NNG+가/JKS
직접	직접/MAG
시승식을	시승식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.10.3.2
아베 총리는 이날 옅은 푸른색의 '미라이 1호차'를 직접 몰고 관저 앞 광장을 한 바퀴 돈 뒤 차에 탄 채로 기자들 앞에 "수소 시대가 마침내 시작하고 있다"고 말했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
옅은	옅/VA+은/ETM
푸른색의	푸른색/NNG+의/JKG
'미라이	'/SS+미라이/NNP
1호차'를	1/SN+호/NNB+차/NNG+'/SS+를/JKO
직접	직접/MAG
몰고	몰/VV+고/EC
관저	관저/NNG
앞	앞/NNG
광장을	광장/NNG+을/JKO
한	한/MMN
바퀴	바퀴/NNG
돈	돌/VV+ㄴ/ETM
뒤	뒤/NNG
차에	차/NNG+에/JKB
탄	타/VV+ㄴ/ETM
채로	채/NNB+로/JKB
기자들	기자/NNG+들/XSN
앞에	앞/NNG+에/JKB
"수소	"/SS+수소/NNG
시대가	시대/NNG+가/JKS
마침내	마침내/MAG
시작하고	시작/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.4.1
같은 날 총리 관저뿐 아니라 경제산업성·국토교통성·환경성 등 3개 정부 부처에도 미라이가 인도됐다고 아사히신문은 전했다.

같은	같/VA+은/ETM
날	날/NNG
총리	총리/NNG
관저뿐	관저/NNG+뿐/JX
아니라	아니/VCN+라/EC
경제산업성·국토교통성·환경성	경제/NNG+산업성/NNG+·/SP+국토교통성/NNG+·/SP+환경성/NNG
등	등/NNB
3개	3/SN+개/NNB
정부	정부/NNG
부처에도	부처/NNG+에/JKB+도/JX
미라이가	미라이/NNP+가/JKS
인도됐다고	인도/NNG+되/XSV+었/EP+다고/EC
아사히신문은	아사히신문/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.4.2
도요타에 따르면 미라이는 지난해 12월 15일 일반 판매가 시작된 이래 지금까지 1500대의 주문이 들어왔다.

도요타에	도요타/NNP+에/JKB
따르면	따르/VV+면/EC
미라이는	미라이/NNP+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
15일	15/SN+일/NNB
일반	일반/NNG
판매가	판매/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
지금까지	지금/NNG+까지/JX
1500대의	1500/SN+대/NNB+의/JKG
주문이	주문/NNG+이/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.4.3
당초 도요타는 올 연말까지 400여건을 판매할 것으로 예상했다.

당초	당초/NNG
도요타는	도요타/NNP+는/JX
올	올/NNG
연말까지	연말/NNG+까지/JX
400여건을	400/SN+여/XSN+건/NNB+을/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.10.4.4
그런데 불과 한 달 만에 연간 판매 예상치의 4배 가까운 주문을 받은 것이다.

그런데	그런데/MAJ
불과	불과/MAG
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
연간	연간/NNG
판매	판매/NNG
예상치의	예상/NNG+치/XSN+의/JKG
4배	4/SN+배/NNG
가까운	가깝/VA+ㄴ/ETM
주문을	주문/NNG+을/JKO
받은	받/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.10.4.5
