# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.359
metadata : {}


# id : NWRW1800000025.359.1.1
한국, 월드컵 이어 카타르와 ‘2012년 기후변화협약총회’ 유치 경쟁

한국,	한국/NNP+,/SP
월드컵	월드컵/NNG
이어	잇/VV+어/EC
카타르와	카타르/NNP+와/JKB
‘2012년	‘/SS+2012/SN+년/NNB
기후변화협약총회’	기후/NNG+변화/NNG+협약/NNG+총회/NNG+’/SS
유치	유치/NNG
경쟁	경쟁/NNG


# id : NWRW1800000025.359.2.1
‘교토의정서’의 운명은?

‘교토의정서’의	‘/SS+교토/NNP+의정서/NNG+’/SS+의/JKG
운명은?	운명/NNG+은/JX+?/SF


# id : NWRW1800000025.359.2.2
지난달 29일 개막된 제16차 기후변화협약 당사국 총회(COP16)가 멕시코 칸쿤에서 열리고 있다.

지난달	지난달/NNG
29일	29/SN+일/NNB
개막된	개막/NNG+되/XSV+ㄴ/ETM
제16차	제/XPN+16/SN+차/NNB
기후변화협약	기후/NNG+변화/NNG+협약/NNG
당사국	당사국/NNG
총회(COP16)가	총회/NNG+(/SS+COP/SL+16/SN+)/SS+가/JKS
멕시코	멕시코/NNP
칸쿤에서	칸쿤/NNP+에서/JKB
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.359.2.3
10일까지 계속되는 이번 총회의 핵심의제는 2012년 종료되는 교토의정서를 대체할 새로운 온실가스 감축 협정을 마련하는 것.

10일까지	10/SN+일/NNB+까지/JX
계속되는	계속/NNG+되/XSV+는/ETM
이번	이번/NNG
총회의	총회/NNG+의/JKG
핵심의제는	핵심/NNG+의제/NNG+는/JX
2012년	2012/SN+년/NNB
종료되는	종료/NNG+되/XSV+는/ETM
교토의정서를	교토/NNP+의정서/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
새로운	새롭/VA+ㄴ/ETM
온실가스	온실가스/NNG
감축	감축/NNG
협정을	협정/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.359.2.4
1997년 12월 채택된 교토의정서는 선진국들이 2012년까지 평균 5.2%의 온실가스를 줄여야 한다고 규정하고 있다.

1997년	1997/SN+년/NNB
12월	12/SN+월/NNB
채택된	채택/NNG+되/XSV+ㄴ/ETM
교토의정서는	교토/NNP+의정서/NNG+는/JX
선진국들이	선진국/NNG+들/XSN+이/JKS
2012년까지	2012/SN+년/NNB+까지/JX
평균	평균/NNG
5.2%의	5/SN+./SP+2/SN+%/SW+의/JKG
온실가스를	온실가스/NNG+를/JKO
줄여야	줄이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.359.3.1
개막부터 이어진 실무자 회의에 이어 환경부 장관 등으로 구성된 각국 정부 수석대표들이 참석하는 고위급 회의가 7일(현지 시간) 시작됐다.

개막부터	개막/NNG+부터/JX
이어진	이어지/VV+ㄴ/ETM
실무자	실무자/NNG
회의에	회의/NNG+에/JKB
이어	잇/VV+어/EC
환경부	환경부/NNG
장관	장관/NNG
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
각국	각국/NNG
정부	정부/NNG
수석대표들이	수석대표/NNG+들/XSN+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
고위급	고위급/NNG
회의가	회의/NNG+가/JKS
7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.359.3.2
총회 내내 분위기는 비관적이었다.

총회	총회/NNG
내내	내내/MAG
분위기는	분위기/NNG+는/JX
비관적이었다.	비관/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.359.3.3
선진국과 개도국 간 견해차가 커 협상이 타결될 가능성이 적다는 우려가 곳곳에서 감지됐다.

선진국과	선진국/NNG+과/JC
개도국	개도국/NNG
간	간/NNB
견해차가	견해차/NNG+가/JKS
커	크/VA+어/EC
협상이	협상/NNG+이/JKS
타결될	타결/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
적다는	적/VA+다는/ETM
우려가	우려/NNG+가/JKS
곳곳에서	곳곳/NNG+에서/JKB
감지됐다.	감지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.359.3.4
미국과 일본 등은 “교토의정서를 폐지하고 개도국에도 온실가스 감축의무를 부과하는 새로운 의정서를 채택하자”고 주장했다.

미국과	미국/NNP+과/JC
일본	일본/NNP
등은	등/NNB+은/JX
“교토의정서를	“/SS+교토/NNP+의정서/NNG+를/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
개도국에도	개도국/NNG+에/JKB+도/JX
온실가스	온실가스/NNG
감축의무를	감축/NNG+의무/NNG+를/JKO
부과하는	부과/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
의정서를	의정서/NNG+를/JKO
채택하자”고	채택/NNG+하/XSV+자/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.359.3.5
반면 중국, 인도 등 개도국은 “지구온난화에 역사적 책임이 있는 선진국부터 온실가스를 대폭 줄이라”며 맞섰다.

반면	반면/NNG
중국,	중국/NNP+,/SP
인도	인도/NNP
등	등/NNB
개도국은	개도국/NNG+은/JX
“지구온난화에	“/SS+지구/NNG+온난/NNG+화/XSN+에/JKB
역사적	역사/NNG+적/XSN
책임이	책임/NNG+이/JKS
있는	있/VA+는/ETM
선진국부터	선진국/NNG+부터/JX
온실가스를	온실가스/NNG+를/JKO
대폭	대폭/MAG
줄이라”며	줄이/VV+라/EF+”/SS+며/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.359.4.1
하지만 칸쿤 총회 종반부로 갈수록 온실가스 감축 감시체계 지침 마련 등 실무 협상에서는 어느 정도 진전을 보일 것이란 긍정적인 예측도 제기되고 있다.

하지만	하지만/MAJ
칸쿤	칸쿤/NNP
총회	총회/NNG
종반부로	종반부/NNG+로/JKB
갈수록	갈수록/MAG
온실가스	온실가스/NNG
감축	감축/NNG
감시체계	감시/NNG+체계/NNG
지침	지침/NNG
마련	마련/NNG
등	등/NNB
실무	실무/NNG
협상에서는	협상/NNG+에서/JKB+는/JX
어느	어느/MMD
정도	정도/NNG
진전을	진전/NNG+을/JKO
보일	보이/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
예측도	예측/NNG+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.359.4.2
지구온난화로 심각한 자연재해를 겪고 있는 나라들이 절박감을 표출하고 있기 때문이다.

지구온난화로	지구/NNG+온난/NNG+화/XSN+로/JKB
심각한	심각하/VA+ㄴ/ETM
자연재해를	자연재해/NNG+를/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
나라들이	나라/NNG+들/XSN+이/JKS
절박감을	절박감/NNG+을/JKO
표출하고	표출/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
