# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.88
metadata : {}


# id : NWRW1800000036.88.1.1
이집트혁명 열매 무슬림 손에…군부와 ‘권력충돌’ 불가피

이집트혁명	이집트/NNP+혁명/NNG
열매	열매/NNG
무슬림	무슬림/NNG
손에…군부와	손/NNG+에/JKB+…/SE+군부/NNG+와/JKB
‘권력충돌’	‘/SS+권력/NNG+충돌/NNG+’/SS
불가피	불가피/XR


# id : NWRW1800000036.88.2.1
[한겨레] 이집트 대선 무르시 당선

[한겨레]	[/SS+한겨레/NNP+]/SS
이집트	이집트/NNP
대선	대선/NNG
무르시	무르시/NNP
당선	당선/NNG


# id : NWRW1800000036.88.3.1
군, 권한이양 밝혔지만 최고군사위에 막강 권한

군,	군/NNG+,/SP
권한이양	권한/NNG+이양/NNG
밝혔지만	밝히/VV+었/EP+지만/EC
최고군사위에	최고/NNG+군사위/NNG+에/JKB
막강	막강/NNG
권한	권한/NNG


# id : NWRW1800000036.88.4.1
두 세력 갈등땐 혼란…해산된 의회 재총선 ‘고비’

두	두/MMN
세력	세력/NNG
갈등땐	갈등/NNG+때/NNG+ㄴ/JX
혼란…해산된	혼란/NNG+…/SE+해산/NNG+되/XSV+ㄴ/ETM
의회	의회/NNG
재총선	재/XPN+총선/NNG
‘고비’	‘/SS+고비/NNG+’/SS


# id : NWRW1800000036.88.5.1
누구를 위한 혁명이었나.

누구를	누구/NP+를/JKO
위한	위하/VV+ㄴ/ETM
혁명이었나.	혁명/NNG+이/VCP+었/EP+나/EF+./SF


# id : NWRW1800000036.88.6.1
24일(현지시각) 결국 무함마드 무르시(61·자유정의당)의 승리로 판정된 이집트 대선 결과를 지켜본 많은 사람들의 머릿속에 떠오를 법한 의문이다.

24일(현지시각)	24/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
결국	결국/MAG
무함마드	무함마드/NNP
무르시(61·자유정의당)의	무르시/NNP+(/SS+61/SN+·/SP+자유정의당/NNP+)/SS+의/JKG
승리로	승리/NNG+로/JKB
판정된	판정/NNG+되/XSV+ㄴ/ETM
이집트	이집트/NNP
대선	대선/NNG
결과를	결과/NNG+를/JKO
지켜본	지켜보/VV+ㄴ/ETM
많은	많/VA+은/ETM
사람들의	사람/NNG+들/XSN+의/JKG
머릿속에	머릿속/NNG+에/JKB
떠오를	떠오르/VV+ㄹ/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.6.2
어찌됐든 2011년 봄 호스니 무바라크 독재정권을 무너뜨리기 위해 타흐리르 광장에 모였던 시민들이 꿈꾸던 결론은 아닐 것이기 때문이다.

어찌됐든	어찌/MAG+되/XSV+었/EP+든/EC
2011년	2011/SN+년/NNB
봄	봄/NNG
호스니	호스니/NNP
무바라크	무바라크/NNP
독재정권을	독재/NNG+정권/NNG+을/JKO
무너뜨리기	무너뜨리/VV+기/ETN
위해	위하/VV+아/EC
타흐리르	타흐리르/NNP
광장에	광장/NNG+에/JKB
모였던	모이/VV+었/EP+던/ETM
시민들이	시민/NNG+들/XSN+이/JKS
꿈꾸던	꿈꾸/VV+던/ETM
결론은	결론/NNG+은/JX
아닐	아니/VCN+ㄹ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.88.6.3
민주 개혁 세력은 구심점을 잃고 뿔뿔이 흩어졌고, 결국 이집트의 대권은 이슬람주의자들의 손으로 넘어갔다.

민주	민주/NNG
개혁	개혁/NNG
세력은	세력/NNG+은/JX
구심점을	구심점/NNG+을/JKO
잃고	잃/VV+고/EC
뿔뿔이	뿔뿔이/MAG
흩어졌고,	흩어지/VV+었/EP+고/EC+,/SP
결국	결국/MAG
이집트의	이집트/NNP+의/JKG
대권은	대권/NNG+은/JX
이슬람주의자들의	이슬람주의자/NNG+들/XSN+의/JKG
손으로	손/NNG+으로/JKB
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.88.7.1
