# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.224
metadata : {}


# id : NWRW1800000038.224.1.1
구로 공사현장 화재로 11명 死傷… 용접하다 引火물질에 불 붙은 듯

구로	구로/NNP
공사현장	공사/NNG+현장/NNG
화재로	화재/NNG+로/JKB
11명	11/SN+명/NNB
死傷…	死傷/SH+…/SE
용접하다	용접/NNG+하/XSV+다/EC
引火물질에	引火/SH+물질/NNG+에/JKB
불	불/NNG
붙은	붙/VV+은/ETM
듯	듯/NNB


# id : NWRW1800000038.224.2.1
"지상 1층 바닥서 용접작업 지하 천장 우레탄 과열돼 불" 인화물질 확인 안전수칙 안지켜

"지상	"/SS+지상/NNG
1층	1/SN+층/NNG
바닥서	바닥/NNG+서/JKB
용접작업	용접/NNG+작업/NNG
지하	지하/NNG
천장	천장/NNG
우레탄	우레탄/NNG
과열돼	과열/NNG+되/XSV+어/EC
불"	불/NNG+"/SS
인화물질	인화/NNG+물질/NNG
확인	확인/NNG
안전수칙	안전/NNG+수칙/NNG
안지켜	안/MAG+지키/VV+어/EF


# id : NWRW1800000038.224.3.1
26일 오후 1시 30분쯤 서울 구로구 구로디지털단지 내 복합 상가 '지밸리비즈플라자' 신축공사 현장에서 불이 나 현장 안전관리 담당자인 허모(60)씨와 장모(48)씨가 숨졌다.

26일	26/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
서울	서울/NNP
구로구	구로구/NNP
구로디지털단지	구로디지털단지/NNP
내	내/NNB
복합	복합/NNG
상가	상가/NNG
'지밸리비즈플라자'	'/SS+지밸리비즈플라자/NNP+'/SS
신축공사	신축/NNG+공사/NNG
현장에서	현장/NNG+에서/JKB
불이	불/NNG+이/JKS
나	나/VV+아/EC
현장	현장/NNG
안전관리	안전/NNG+관리/NNG
담당자인	담당자/NNG+이/VCP+ㄴ/ETM
허모(60)씨와	허/NNP+모/NP+(/SS+60/SN+)/SS+씨/NNB+와/JC
장모(48)씨가	장/NNP+모/NP+(/SS+48/SN+)/SS+씨/NNB+가/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.224.3.2
화재 발생 시 비상벨을 울리고 대피 방송을 해야 할 이들이 가장 먼저 연기를 마시고 쓰러지면서 현장에서 작업 중이던 380여명은 비상벨이나 대피 방송 없이 연기를 발견하고서야 대피를 시작했다.

화재	화재/NNG
발생	발생/NNG
시	시/NNB
비상벨을	비상벨/NNG+을/JKO
울리고	울리/VV+고/EC
대피	대피/NNG
방송을	방송/NNG+을/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
이들이	이/NP+들/XSN+이/JKS
가장	가장/MAG
먼저	먼저/MAG
연기를	연기/NNG+를/JKO
마시고	마시/VV+고/EC
쓰러지면서	쓰러지/VV+면서/EC
현장에서	현장/NNG+에서/JKB
작업	작업/NNG
중이던	중/NNB+이/VCP+던/ETM
380여명은	380/SN+여/XSN+명/NNB+은/JX
비상벨이나	비상벨/NNG+이나/JC
방송	방송/NNG
없이	없이/MAG
발견하고서야	발견/NNG+하/XSV+고서/EC+야/JX
대피를	대피/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.3.3
이 과정에서 9명이 유독가스를 마셔 인근 병원으로 옮겨져 치료를 받았다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
9명이	9/SN+명/NNB+이/JKS
유독가스를	유독/NNG+가스/NNG+를/JKO
마셔	마시/VV+어/EC
인근	인근/NNG
병원으로	병원/NNG+으로/JKB
옮겨져	옮기/VV+어/EC+지/VX+어/EC
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.4.1
화재는 용접 작업을 할 때 주변에 인화(引火) 물질이 있는지 확인해야 하는 기초적인 안전수칙을 지키지 않아 발생했다.

화재는	화재/NNG+는/JX
용접	용접/NNG
작업을	작업/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
주변에	주변/NNG+에/JKB
인화(引火)	인화/NNG+(/SS+引火/SH+)/SS
물질이	물질/NNG+이/JKS
있는지	있/VA+는지/EF
확인해야	확인/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
기초적인	기초/NNG+적/XSN+이/VCP+ㄴ/ETM
안전수칙을	안전/NNG+수칙/NNG+을/JKO
지키지	지키/VV+지/EC
않아	않/VX+아/EC
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.4.2
시공사인 코오롱글로벌 관계자는 "지상 1층 바닥에서 용접 작업을 하던 중 지하 1층 천장에 붙어 있던 우레탄 단열재가 과열되면서 불이 붙은 것으로 보인다"며 "용접을 했던 인부는 진화된 뒤 현장감식이 이뤄질 때까지도 자신이 불을 일으켰다는 사실도 알지 못했다"고 말했다.

시공사인	시공사/NNG+이/VCP+ㄴ/ETM
코오롱글로벌	코오롱글로벌/NNP
관계자는	관계자/NNG+는/JX
"지상	"/SS+지상/NNG
1층	1/SN+층/NNG
바닥에서	바닥/NNG+에서/JKB
용접	용접/NNG
작업을	작업/NNG+을/JKO
하던	하/VV+던/ETM
중	중/NNB
지하	지하/NNG
천장에	천장/NNG+에/JKB
붙어	붙/VV+어/EC
있던	있/VX+던/ETM
우레탄	우레탄/NNG
단열재가	단열재/NNG+가/JKS
과열되면서	과열/NNG+되/XSV+면서/EC
불이	불/NNG+이/JKS
붙은	붙/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
"용접을	"/SS+용접/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
인부는	인부/NNG+는/JX
진화된	진화/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
현장감식이	현장/NNG+감식/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
때까지도	때/NNG+까지/JX+도/JX
자신이	자신/NNG+이/JKS
불을	불/NNG+을/JKO
일으켰다는	일으키/VV+었/EP+다는/ETM
사실도	사실/NNG+도/JX
알지	알/VV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.4.3
구로소방서 관계자는 "바닥에서 용접 작업을 하면서 주위만 살폈을 뿐 그 밑에 무엇이 있는지는 신경 쓰지 않았던 것"이라고 말했다.

구로소방서	구로소방서/NNP
관계자는	관계자/NNG+는/JX
"바닥에서	"/SS+바닥/NNG+에서/JKB
용접	용접/NNG
작업을	작업/NNG+을/JKO
하면서	하/VV+면서/EC
주위만	주위/NNG+만/JX
살폈을	살피/VV+었/EP+을/ETM
뿐	뿐/NNB
그	그/MMD
밑에	밑/NNG+에/JKB
무엇이	무엇/NP+이/JKS
있는지는	있/VA+는지/EF+는/JX
신경	신경/NNG
쓰지	쓰/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.5.1
지하 1층 천장에서 발생한 불은 곁에 있던 배수용 파이프를 타고 지상 2층 천장으로 곧장 옮겨붙었다.

지하	지하/NNG
1층	1/SN+층/NNG
천장에서	천장/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
불은	불/NNG+은/JX
곁에	곁/NNG+에/JKB
있던	있/VA+던/ETM
배수용	배수/NNG+용/XSN
파이프를	파이프/NNG+를/JKO
타고	타/VV+고/EC
지상	지상/NNG
2층	2/SN+층/NNG
천장으로	천장/NNG+으로/JKB
곧장	곧장/MAG
옮겨붙었다.	옮겨붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.224.5.2
화재 당시 지하 3층에서 작업 중이던 신모(40)씨는 "화재 경보가 울리거나 대피 유도등이 켜지지 않았던 것 같다"고 말했다.

화재	화재/NNG
당시	당시/NNG
지하	지하/NNG
3층에서	3/SN+층/NNG+에서/JKB
작업	작업/NNG
중이던	중/NNB+이/VCP+던/ETM
신모(40)씨는	신/NNP+모/NP+(/SS+40/SN+)/SS+씨/NNB+는/JX
"화재	"/SS+화재/NNG
경보가	경보/NNG+가/JKS
울리거나	울리/VV+거나/EC
대피	대피/NNG
유도등이	유도등/NNG+이/JKS
켜지지	켜/VV+어/EC+지/VX+지/EC
않았던	않/VX+았/EP+던/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.6.1
안전교육이 미비했다는 지적도 나온다.

안전교육이	안전/NNG+교육/NNG+이/JKS
미비했다는	미비/NNG+하/XSA+았/EP+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.224.6.2
지하 1층에서 작업하다 대피한 이모(58)씨는 "평소 불이 났을 때 대피하는 방법을 교육받은 적이 없다"며 "연기 때문에 앞이 잘 안 보여 출구를 찾아 한참 헤맸다"고 말했다.

지하	지하/NNG
1층에서	1/SN+층/NNG+에서/JKB
작업하다	작업/NNG+하/XSV+다/EC
대피한	대피/NNG+하/XSV+ㄴ/ETM
이모(58)씨는	이/NNP+모/NP+(/SS+58/SN+)/SS+씨/NNB+는/JX
"평소	"/SS+평소/NNG
불이	불/NNG+이/JKS
났을	나/VV+았/EP+을/ETM
때	때/NNG
대피하는	대피/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
교육받은	교육/NNG+받/XSV+은/ETM
적이	적/NNB+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"연기	"/SS+연기/NNG
때문에	때문/NNB+에/JKB
앞이	앞/NNG+이/JKS
잘	잘/MAG
안	안/MAG
보여	보이/VV+어/EC
출구를	출구/NNG+를/JKO
찾아	찾/VV+아/EC
한참	한참/MAG
헤맸다"고	헤매/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.6.3
시공사 측은 "안전교육을 하고 있지만 현장에서 작업자들이 수시로 바뀌어 미처 교육을 받지 못한 사람들이 있었던 것 같다"고 해명했다.

시공사	시공사/NNG
측은	측/NNB+은/JX
"안전교육을	"/SS+안전/NNG+교육/NNG+을/JKO
하고	하/VV+고/EC
있지만	있/VX+지만/EC
현장에서	현장/NNG+에서/JKB
작업자들이	작업자/NNG+들/XSN+이/JKS
수시로	수시로/MAG
바뀌어	바뀌/VV+어/EC
미처	미처/MAG
교육을	교육/NNG+을/JKO
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있었던	있/VA+었/EP+던/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.224.7.1
작년 8월 서울 국립현대미술관 신축공사 현장에서도 화재가 발생해 4명이 숨지고 1명이 중상을 입었었다.

작년	작년/NNG
8월	8/SN+월/NNB
서울	서울/NNP
국립현대미술관	국립현대미술관/NNP
신축공사	신축/NNG+공사/NNG
현장에서도	현장/NNG+에서/JKB+도/JX
화재가	화재/NNG+가/JKS
발생해	발생/NNG+하/XSV+아/EC
4명이	4/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
1명이	1/SN+명/NNB+이/JKS
중상을	중상/NNG+을/JKO
입었었다.	입/VV+었었/EP+다/EF+./SF


# id : NWRW1800000038.224.7.2
당시 서울시 소방방재센터는 소방안전관리자 등을 두도록 하고, 용접 등 화재 위험 작업 시 관할 소방서에 신고하도록 하는 등 공사 현장 소방 안전 관리 기준 강화 법안을 마련했으나 아직 국회에 계류 중이다.

당시	당시/NNG
서울시	서울시/NNP
소방방재센터는	소방/NNG+방재/NNG+센터/NNG+는/JX
소방안전관리자	소방/NNG+안전/NNG+관리자/NNG
등을	등/NNB+을/JKO
두도록	두/VV+도록/EC
하고,	하/VX+고/EC+,/SP
용접	용접/NNG
등	등/NNB
화재	화재/NNG
위험	위험/NNG
작업	작업/NNG
시	시/NNB
관할	관할/NNG
소방서에	소방서/NNG+에/JKB
신고하도록	신고/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
공사	공사/NNG
현장	현장/NNG
소방	소방/NNG
안전	안전/NNG
관리	관리/NNG
기준	기준/NNG
강화	강화/NNG
법안을	법안/NNG+을/JKO
마련했으나	마련/NNG+하/XSV+았/EP+으나/EC
아직	아직/MAG
국회에	국회/NNG+에/JKB
