# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.29
metadata : {}


# id : NWRW1800000052.29.1.1
“공정위 대통령 직속으로 둬야”

“공정위	“/SS+공정위/NNG
대통령	대통령/NNG
직속으로	직속/NNG+으로/JKB
둬야”	두/VV+어야/EC+”/SS


# id : NWRW1800000052.29.2.1
박성택 중기중앙회장 기자간담회

박성택	박성택/NNP
중기중앙회장	중기중앙회장/NNG
기자간담회	기자/NNG+간담회/NNG


# id : NWRW1800000052.29.3.1
대기업집단 지정기준 상향도 재고 촉구

대기업집단	대/XPN+기업/NNG+집단/NNG
지정기준	지정/NNG+기준/NNG
상향도	상향/NNG+도/JX
재고	재고/NNG
촉구	촉구/NNG


# id : NWRW1800000052.29.4.1
중소기업계가 대기업의 횡포를 근절할 수 있도록 공정거래위원회를 대통령 직속으로 격상하고, 중소기업청을 중소기업부로 승격하라고 요구했다.

중소기업계가	중소기업/NNG+계/XSN+가/JKS
대기업의	대/XPN+기업/NNG+의/JKG
횡포를	횡포/NNG+를/JKO
근절할	근절/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
공정거래위원회를	공정/NNG+거래/NNG+위원회/NNG+를/JKO
대통령	대통령/NNG
직속으로	직속/NNG+으로/JKB
격상하고,	격상/NNG+하/XSV+고/EC+,/SP
중소기업청을	중소기업청/NNG+을/JKO
중소기업부로	중소기업부/NNG+로/JKB
승격하라고	승격/NNG+하/XSV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.5.1
박성택 중소기업중앙회장은 23일 강원도 평창 알펜시아리조트에서 열린 ‘2016 중소기업 리더스포럼’ 기자간담회에서 이런 내용의 ‘중소기업계 입장’을 발표했다.

박성택	박성택/NNP
중소기업중앙회장은	중소기업/NNG+중앙회장/NNG+은/JX
23일	23/SN+일/NNB
강원도	강원도/NNP
평창	평창/NNP
알펜시아리조트에서	알펜시아리조트/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2016	‘/SS+2016/SN
중소기업	중소기업/NNG
리더스포럼’	리더스포럼/NNG+’/SS
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
이런	이런/MMD
내용의	내용/NNG+의/JKG
‘중소기업계	‘/SS+중소기업/NNG+계/XSN
입장’을	입장/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.5.2
박 회장은 “우월적 지위를 이용해 납품단가 인하, 기술 탈취 등의 불공정행위를 일삼는 대기업의 ‘갑질 횡포’가 우리 사회를 분열시키고 병들게 한다”며 “공정위를 대통령 직속으로 하고 위원장 임기 보장, 강제수사권 부여를 통해 대기업의 불공정행위를 추상같이 처벌하는 경제검찰 역할을 하도록 해야 한다”고 주장했다.

박	박/NNP
회장은	회장/NNG+은/JX
“우월적	“/SS+우월/NNG+적/XSN
지위를	지위/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
납품단가	납품/NNG+단가/NNG
인하,	인하/NNG+,/SP
기술	기술/NNG
탈취	탈취/NNG
등의	등/NNB+의/JKG
불공정행위를	불/XPN+공정/NNG+행위/NNG+를/JKO
일삼는	일삼/VV+는/ETM
대기업의	대/XPN+기업/NNG+의/JKG
‘갑질	‘/SS+갑/NNG+질/XSN
횡포’가	횡포/NNG+’/SS+가/JKS
우리	우리/NP
사회를	사회/NNG+를/JKO
분열시키고	분열/NNG+시키/XSV+고/EC
병들게	병들/VV+게/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“공정위를	“/SS+공정위/NNG+를/JKO
대통령	대통령/NNG
직속으로	직속/NNG+으로/JKB
하고	하/VV+고/EC
위원장	위원장/NNG
임기	임기/NNG
보장,	보장/NNG+,/SP
강제수사권	강제/NNG+수사/NNG+권/XSN
부여를	부여/NNG+를/JKO
통해	통하/VV+아/EC
추상같이	추상같이/MAG
처벌하는	처벌/NNG+하/XSV+는/ETM
경제검찰	경제/NNG+검찰/NNG
역할을	역할/NNG+을/JKO
하도록	하/VV+도록/EC
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.29.5.3
이어 “중소기업·소상공인 정책의 효율성 제고를 위해 중견기업 정책을 산업통상자원부로 이관하고 중소기업청을 중소기업부로 승격해야 한다”고 요구했다.

이어	이어/MAG
“중소기업·소상공인	“/SS+중소기업/NNG+·/SP+소/XPN+상공인/NNG
정책의	정책/NNG+의/JKG
효율성	효율/NNG+성/XSN
제고를	제고/NNG+를/JKO
위해	위하/VV+아/EC
