# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.387
metadata : {}


# id : NWRW1800000037.387.1.1
“통진당은 종북세력” 56%…“아니다” 37%

“통진당은	“/SS+통진당/NNP+은/JX
종북세력”	종북/NNG+세력/NNG+”/SS
56%…“아니다”	56/SN+%/SW+…/SE+“/SS+아니/VCN+다/EF+”/SS
37%	37/SN+%/SW


# id : NWRW1800000037.387.2.1
[정국 현안 여론조사] 통진당 해산심판 청구

[정국	[/SS+정국/NNG
현안	현안/NNG
여론조사]	여론/NNG+조사/NNG+]/SS
통진당	통진당/NNP
해산심판	해산/NNG+심판/NNG
청구	청구/NNG


# id : NWRW1800000037.387.3.1
6일 동아일보의 여론조사에서 국민 다수는 통합진보당 해산 심판 청구에 대해 박근혜 정부의 손을 들어줬다.

6일	6/SN+일/NNB
동아일보의	동아일보/NNP+의/JKG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
국민	국민/NNG
다수는	다수/NNG+는/JX
통합진보당	통합진보당/NNP
해산	해산/NNG
심판	심판/NNG
청구에	청구/NNG+에/JKB
대해	대하/VV+아/EC
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들어주/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.387.3.2
‘적절한 조치’라는 응답(60.1%)이 ‘부적절한 조치’라는 답변(28.5%)보다 두 배 이상으로 많은 것은 통진당 이석기 의원의 내란음모 사건 등 ‘종북 세력’에 대한 한국사회의 위기감을 반영한다는 분석이 나온다.

‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’라는	조치/NNG+’/SS+이/VCP+라는/ETM
응답(60.1%)이	응답/NNG+(/SS+60/SN+./SP+1/SN+%/SW+)/SS+이/JKS
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
답변(28.5%)보다	답변/NNG+(/SS+28/SN+./SP+5/SN+%/SW+)/SS+보다/JKB
두	두/MMN
배	배/NNG
이상으로	이상/NNG+으로/JKB
많은	많/VA+은/ETM
것은	것/NNB+은/JX
통진당	통진당/NNP
이석기	이석기/NNP
의원의	의원/NNG+의/JKG
내란음모	내란/NNG+음모/NNG
사건	사건/NNG
등	등/NNB
‘종북	‘/SS+종북/NNG
세력’에	세력/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
한국사회의	한국/NNP+사회/NNG+의/JKG
위기감을	위기감/NNG+을/JKO
반영한다는	반영/NNG+하/XSV+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.387.4.1
○ 30대 제외 전 연령층 ‘적절한 조치’ 답변

○	○/SW
30대	30/SN+대/NNB
제외	제외/NNG
전	전/MMN
연령층	연령/NNG+층/XSN
‘적절한	‘/SS+적절하/VA+ㄴ/ETM
조치’	조치/NNG+’/SS
답변	답변/NNG


# id : NWRW1800000037.387.5.1
‘정부가 헌법재판소에 통진당에 대한 정당해산 심판을 청구한 것에 대해 어떻게 생각하는가’라는 질문에 거의 모든 연령층이 ‘적절한 조치’라고 판단하는 것으로 나타났다.

