# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.390
metadata : {}


# id : NWRW1800000021.390.1.1
오늘 ‘세계 에이즈의 날’… 국내 첫 환자는 지금

오늘	오늘/NNG
‘세계	‘/SS+세계/NNG
에이즈의	에이즈/NNG+의/JKG
날’…	날/NNG+’/SS+…/SE
국내	국내/NNG
첫	첫/MMN
환자는	환자/NNG+는/JX
지금	지금/MAG


# id : NWRW1800000021.390.2.1
국내에서 처음으로 에이즈 판정을 받은 환자는 지금 어떻게 지내고 있을까.

국내에서	국내/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
에이즈	에이즈/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
환자는	환자/NNG+는/JX
지금	지금/MAG
어떻게	어떻/VA+게/EC
지내고	지내/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000021.390.3.1
‘세계 에이즈의 날’인 1일 보건복지가족부와 질병관리본부의 발표에 따르면 국내에서 공식적으로 확인된 첫 에이즈 환자는 서울에 살고 있는 박모 씨(53)다.

‘세계	‘/SS+세계/NNG
에이즈의	에이즈/NNG+의/JKG
날’인	날/NNG+’/SS+이/VCP+ㄴ/ETM
1일	1/SN+일/NNB
보건복지가족부와	보건/NNG+복지/NNG+가족부/NNG+와/JC
질병관리본부의	질병/NNG+관리/NNG+본부/NNG+의/JKG
발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
국내에서	국내/NNG+에서/JKB
공식적으로	공식/NNG+적/XSN+으로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
에이즈	에이즈/NNG
환자는	환자/NNG+는/JX
서울에	서울/NNP+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
박모	박/NNP+모/NP
씨(53)다.	씨/NNB+(/SS+53/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.390.4.1
박 씨는 29세이던 1985년 외국에서 근무하던 중 동료에게 헌혈을 하기 위해 혈액검사를 받는 과정에서 에이즈바이러스(HIV) 감염 판정을 받았다.

박	박/NNP
씨는	씨/NNB+는/JX
29세이던	29/SN+세/NNB+이/VCP+던/ETM
1985년	1985/SN+년/NNB
외국에서	외국/NNG+에서/JKB
근무하던	근무/NNG+하/XSV+던/ETM
중	중/NNB
동료에게	동료/NNG+에게/JKB
헌혈을	헌혈/NNG+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
혈액검사를	혈액/NNG+검사/NNG+를/JKO
받는	받/VV+는/ETM
과정에서	과정/NNG+에서/JKB
에이즈바이러스(HIV)	에이즈/NNG+바이러스/NNG+(/SS+HIV/SL+)/SS
감염	감염/NNG
판정을	판정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.390.4.2
박 씨는 에이즈 감염 확진 판정 후 곧바로 귀국해 치료를 받았다.

박	박/NNP
씨는	씨/NNB+는/JX
에이즈	에이즈/NNG
감염	감염/NNG
확진	확진/NNG
판정	판정/NNG
후	후/NNG
곧바로	곧바로/MAG
귀국해	귀국/NNG+하/XSV+아/EC
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.390.4.3
확진 판정을 받은 지 24년이 지난 현재 박 씨는 매우 건강한 상태다.

확진	확진/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
지	지/NNB
24년이	24/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
현재	현재/MAG
박	박/NNP
씨는	씨/NNB+는/JX
매우	매우/MAG
건강한	건강/NNG+하/XSA+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.390.4.4
반면 1992년 뒤늦게 에이즈에 걸린 사실을 안 21세 청년은 처지를 비관해 스스로 목숨을 끊었다.

반면	반면/NNG
1992년	1992/SN+년/NNB
뒤늦게	뒤늦/VA+게/EC
에이즈에	에이즈/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
안	알/VV+ㄴ/ETM
21세	21/SN+세/NNB
청년은	청년/NNG+은/JX
처지를	처지/NNG+를/JKO
비관해	비관/NNG+하/XSV+아/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.390.5.1
김희경 질병관리본부 연구관은 “국내에서 에이즈 환자로 등록된 이들을 분석한 결과 에이즈로 판명된 뒤 평균 16.7년을 사는 것으로 나타났다”며 “빨리 발견할수록 20년이 넘게 사는 환자도 많다”고 말했다.

김희경	김희경/NNP
질병관리본부	질병/NNG+관리/NNG+본부/NNG
연구관은	연구관/NNG+은/JX
“국내에서	“/SS+국내/NNG+에서/JKB
에이즈	에이즈/NNG
환자로	환자/NNG+로/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
에이즈로	에이즈/NNG+로/JKB
판명된	판명/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
평균	평균/NNG
16.7년을	16/SN+./SP+7/SN+년/NNB+을/JKO
사는	살/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다”며	나타나/VV+았/EP+다/EF+”/SS+며/EC
“빨리	“/SS+빨리/MAG
발견할수록	발견/NNG+하/XSV+ㄹ수록/EC
20년이	20/SN+년/NNB+이/JKS
넘게	넘/VV+게/EC
환자도	환자/NNG+도/JX
많다”고	많/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.390.5.2
항레트로바이러스 약물 등을 꾸준히 복용하면 건강한 상태로 살 수 있지만, 사회적인 편견 때문에 걸린 사실을 숨기는 사례가 많다는 것.

항레트로바이러스	항레트로바이러스/NNG
약물	약물/NNG
등을	등/NNB+을/JKO
꾸준히	꾸준히/MAG
복용하면	복용/NNG+하/XSV+면/EC
건강한	건강/NNG+하/XSA+ㄴ/ETM
상태로	상태/NNG+로/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
편견	편견/NNG
때문에	때문/NNB+에/JKB
걸린	걸리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
숨기는	숨기/VV+는/ETM
사례가	사례/NNG+가/JKS
많다는	많/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.390.5.3
김 연구관은 “다른 사람뿐만 아니라 자신의 수명을 위해서도 조기에 검사받고 치료받아야 한다”고 강조했다.

김	김/NNP
연구관은	연구관/NNG+은/JX
“다른	“/SS+다른/MMD
사람뿐만	사람/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
자신의	자신/NNG+의/JKG
수명을	수명/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
조기에	조기/NNG+에/JKB
검사받고	검사/NNG+받/XSV+고/EC
치료받아야	치료/NNG+받/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.390.5.4
질병관리본부에 따르면 9월 말 현재 내국인 누적감염인은 총 6680명이며 이 중 5497명이 생존해 있다.

질병관리본부에	질병/NNG+관리/NNG+본부/NNG+에/JKB
따르면	따르/VV+면/EC
9월	9/SN+월/NNB
말	말/NNB
현재	현재/MAG
내국인	내국인/NNG
누적감염인은	누적/NNG+감염인/NNG+은/JX
총	총/MMA
6680명이며	6680/SN+명/NNB+이/VCP+며/EC
이	이/MMD
중	중/NNB
5497명이	5497/SN+명/NNB+이/JKS
생존해	생존/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.390.6.1
정부는 에이즈 환자가 건강한 상태를 유지하며 전파를 최소화할 수 있도록 에이즈 감염인의 진료비 중 본인부담금 전액을 지원하고 있다.

정부는	정부/NNG+는/JX
에이즈	에이즈/NNG
환자가	환자/NNG+가/JKS
건강한	건강/NNG+하/XSA+ㄴ/ETM
상태를	상태/NNG+를/JKO
유지하며	유지/NNG+하/XSV+며/EC
전파를	전파/NNG+를/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
감염인의	감염인/NNG+의/JKG
진료비	진료비/NNG
중	중/NNB
본인부담금	본인/NNG+부담금/NNG
전액을	전액/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.390.6.2
올해 62억 원을 지원했으며, 경제적으로 어려운 이들은 기초생활수급자(올해 1128명)로 선정해 지원하고 있다.

올해	올해/NNG
62억	62/SN+억/NR
원을	원/NNB+을/JKO
지원했으며,	지원/NNG+하/XSV+았/EP+으며/EC+,/SP
경제적으로	경제/NNG+적/XSN+으로/JKB
어려운	어렵/VA+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
기초생활수급자(올해	기초/NNG+생활/NNG+수급자/NNG+(/SS+올해/NNG
1128명)로	1128/SN+명/NNB+)/SS+로/JKB
선정해	선정/NNG+하/XSV+아/EC
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


