# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.332
metadata : {}


# id : NWRW1800000046.332.1.1
[韓中日 외무회담] 朴대통령 "전제 조건 없는 南北대화 제안하고 있다"

[韓中日	[/SS+韓中日/SH
외무회담]	외무/NNG+회담/NNG+]/SS
朴대통령	朴/SH+대통령/NNG
"전제	"/SS+전제/NNG
조건	조건/NNG
없는	없/VA+는/ETM
南北대화	南北/SH+대화/NNG
제안하고	제안/NNG+하/XSV+고/EC
있다"	있/VX+다/EF+"/SS


# id : NWRW1800000046.332.2.1
韓·中·日 외교장관 접견 "北 비핵화 위해 함께 노력"… 日외무상 접견, 취임후 처음

韓·中·日	韓/SH+·/SP+中/SH+·/SP+日/SH
외교장관	외교/NNG+장관/NNG
접견	접견/NNG
"北	"/SS+北/SH
비핵화	비핵/NNG+화/XSN
위해	위하/VV+아/EC
함께	함께/MAG
노력"…	노력/NNG+"/SS+…/SE
日외무상	日/SH+외무상/NNG
접견,	접견/NNG+,/SP
취임후	취임/NNG+후/NNG
처음	처음/NNG


# id : NWRW1800000046.332.3.1
박근혜 대통령은 21일 한·중·일 외교장관들을 접견하고 "아무 전제 조건 없이 형식에 구애받지 않고 허심탄회하게 남북 대화를 가질 것을 북측에 제안하고 있다. 북한이 진정성 있는 대화와 변화의 길로 들어선다면 모든 협력의 길을 열어놓겠다"고 했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
21일	21/SN+일/NNB
한·중·일	한·중·일/NNP
외교장관들을	외교/NNG+장관/NNG+들/XSN+을/JKO
접견하고	접견/NNG+하/XSV+고/EC
"아무	"/SS+아무/MMD
전제	전제/NNG
조건	조건/NNG
없이	없이/MAG
형식에	형식/NNG+에/JKB
구애받지	구애/NNG+받/XSV+지/EC
않고	않/VX+고/EC
허심탄회하게	허심탄회/NNG+하/XSA+게/EC
남북	남북/NNP
대화를	대화/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
