# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.88
metadata : {}


# id : NWRW1800000038.88.1.1
[월요바둑] 여성이냐, 시니어(45세 이상 남성)냐… 최후승자 놓고 '2대2' 대결

[월요바둑]	[/SS+월요/NNG+바둑/NNG+]/SS
여성이냐,	여성/NNG+이/VCP+냐/EF+,/SP
시니어(45세	시니어/NNG+(/SS+45/SN+세/NNB
이상	이상/NNG
남성)냐…	남성/NNG+)/SS+이/VCP+냐/EF+…/SE
최후승자	최후/NNG+승자/NNG
놓고	놓/VV+고/EC
'2대2'	'/SS+2/SN+대/NNB+2/SN+'/SS
대결	대결/NNG


# id : NWRW1800000038.88.2.1
'지지옥션배' 막판 접전… 연도별 전적 3승 3패 '팽팽' 우승 위해선 2승 거둬야

'지지옥션배'	'/SS+지지옥션/NNP+배/NNB+'/SS
막판	막판/NNG
접전…	접전/NNG+…/SE
연도별	연도/NNG+별/XSN
전적	전적/NNG
3승	3/SN+승/NNB
3패	3/SN+패/NNB
'팽팽'	'/SS+팽팽/XR+'/SS
우승	우승/NNG
위해선	위하/VV+아서/EC+ㄴ/JX
2승	2/SN+승/NNB
거둬야	거두/VV+어야/EC


# id : NWRW1800000038.88.3.1
'지지옥션배' 시청률이 고공 행진을 펼치는 데는 몇 가지 이유가 있다.

'지지옥션배'	'/SS+지지옥션/NNP+배/NNB+'/SS
시청률이	시청/NNG+률/XSN+이/JKS
고공	고공/NNG
행진을	행진/NNG+을/JKO
펼치는	펼치/VV+는/ETM
데는	데/NNB+는/JX
몇	몇/NR
가지	가지/NNB
이유가	이유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.88.3.2
여성 기사와 45세 이상 남성 기사(시니어) 간 전면전이다 보니 '성(性) 대결'과 '세대 대결'을 겸한다.

여성	여성/NNG
기사와	기사/NNG+와/JC
45세	45/SN+세/NNB
이상	이상/NNG
남성	남성/NNG
기사(시니어)	기사/NNG+(/SS+시니어/NNG+)/SS
간	간/NNB
전면전이다	전면전/NNG+이/VCP+다/EC
보니	보/VX+니/EC
'성(性)	'/SS+성/NNG+(/SS+性/SH+)/SS
대결'과	대결/NNG+'/SS+과/JC
'세대	'/SS+세대/NNG
대결'을	대결/NNG+'/SS+을/JKO
겸한다.	겸/NNB+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.88.3.3
게다가 양 팀 12명씩 출전, 승자가 패할 때까지 대국하는 방식을 취함으로써 단체전인데도 개인전 요소까지 갖췄다.

게다가	게다가/MAG
양	양/MMN
팀	팀/NNG
12명씩	12/SN+명/NNB+씩/XSN
출전,	출전/NNG+,/SP
승자가	승자/NNG+가/JKS
패할	패/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
대국하는	대국/NNG+하/XSV+는/ETM
방식을	방식/NNG+을/JKO
취함으로써	취하/VV+ㅁ/ETN+으로써/JKB
단체전인데도	단체전/NNG+이/VCP+ㄴ데/EC+도/JX
개인전	개인전/NNG
요소까지	요소/NNG+까지/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.88.3.4
세계적으로 유례가 없는 다면체(多面體)적 기전이다.

세계적으로	세계/NNG+적/XSN+으로/JKB
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
다면체(多面體)적	다면체/NNG+(/SS+多面體/SH+)/SS+적/XSN
기전이다.	기전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.88.4.1
어느덧 양 팀 공히 10명이 '전사(戰死)'해 각각 2명이 남았다.

어느덧	어느덧/MAG
양	양/MMN
팀	팀/NNG
공히	공히/MAG
10명이	10/SN+명/NNB+이/JKS
'전사(戰死)'해	'/SS+전사/NNG+(/SS+戰死/SH+)/SS+'/SS+하/XSV+아/EC
각각	각각/MAG
2명이	2/SN+명/NNB+이/JKS
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.88.4.2
시니어 팀 조훈현(61)과 유창혁(47), 여성 팀의 김혜림(21)과 박지은(30)이 양쪽의 잔여 병력.

시니어	시니어/NNG
팀	팀/NNG
조훈현(61)과	조훈현/NNP+(/SS+61/SN+)/SS+과/JC
유창혁(47),	유창혁/NNP+(/SS+47/SN+)/SS+,/SP
여성	여성/NNG
팀의	팀/NNG+의/JKG
김혜림(21)과	김혜림/NNP+(/SS+21/SN+)/SS+과/JC
박지은(30)이	박지은/NNP+(/SS+30/SN+)/SS+이/JKS
양쪽의	양쪽/NNG+의/JKG
잔여	잔여/NNG
병력.	병력/NNG+./SF


# id : NWRW1800000038.88.4.3
여기까지 오는 과정에서 연승 스타 조혜연(5연승) 서봉수(5연승) 최정(4연승)이 탄생했다.

여기까지	여기/NP+까지/JX
오는	오/VV+는/ETM
과정에서	과정/NNG+에서/JKB
연승	연승/NNG
스타	스타/NNG
조혜연(5연승)	조혜연/NNP+(/SS+5/SN+연승/NNG+)/SS
서봉수(5연승)	서봉수/NNP+(/SS+5/SN+연승/NNG+)/SS
최정(4연승)이	최정/NNP+(/SS+4/SN+연승/NNG+)/SS+이/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


