# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.182
metadata : {}


# id : NWRW1800000056.182.1.1
“구제역, 보은에서 묶어라” 중부권 확산 마지노선

“구제역,	“/SS+구제역/NNG+,/SP
보은에서	보은/NNP+에서/JKB
묶어라”	묶/VV+어라/EF+”/SS
중부권	중부/NNG+권/XSN
확산	확산/NNG
마지노선	마지노선/NNG


# id : NWRW1800000056.182.2.1
일주일새 4곳서 구제역, 13일 또 의심축 2건 발생

일주일새	일주일/NNG+새/NNG
4곳서	4/SN+곳/NNG+서/JKB
구제역,	구제역/NNG+,/SP
13일	13/SN+일/NNB
또	또/MAG
의심축	의심축/NNG
2건	2/SN+건/NNB
발생	발생/NNG


# id : NWRW1800000056.182.3.1
최초 발생지에서 2.4㎞까지 번져

최초	최초/NNG
발생지에서	발생지/NNG+에서/JKB
2.4㎞까지	2/SN+./SP+4/SN+㎞/SW+까지/JX
번져	번지/VV+어/EF


# id : NWRW1800000056.182.4.1
3㎞안 방역대 넘어 사실상 보은 전역으로 확대

3㎞안	3/SN+㎞/SW+안/NNG
방역대	방역대/NNG
넘어	넘/VV+어/EC
사실상	사실/NNG+상/XSN
보은	보은/NNP
전역으로	전역/NNG+으로/JKB
확대	확대/NNG


# id : NWRW1800000056.182.5.1
주변 경북 상주, 옥천 등으로 확산 차단에 주력

주변	주변/NNG
경북	경북/NNP
상주,	상주/NNP+,/SP
옥천	옥천/NNP
등으로	등/NNB+으로/JKB
확산	확산/NNG
차단에	차단/NNG+에/JKB
주력	주력/NNG


# id : NWRW1800000056.182.6.1
“보은에서 묶어라!”

“보은에서	“/SS+보은/NNP+에서/JKB
묶어라!”	묶/VV+어라/EF+!/SF+”/SS


# id : NWRW1800000056.182.7.1
1주일 사이 구제역 4건이 잇따라 발생한 데 이어, 13일 농장 2곳에서 구제역 의심축이 발생한 충북이 군사 작전을 방불케 하는 구제역 차단에 나섰다.

1주일	1/SN+주일/NNB
사이	사이/NNG
구제역	구제역/NNG
4건이	4/SN+건/NNB+이/JKS
잇따라	잇따르/VV+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
13일	13/SN+일/NNB
농장	농장/NNG
2곳에서	2/SN+곳/NNG+에서/JKB
의심축이	의심축/NNG+이/JKS
충북이	충북/NNP+이/JKS
군사	군사/NNG
작전을	작전/NNG+을/JKO
방불케	방불하/VA+게/EC
하는	하/VX+는/ETM
차단에	차단/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.8.1
충북도는 보은군 마로면 송현리 한우 농가(105마리 사육), 탄부면 구암리 한우 농가(19마리 사육) 등 2곳에서 기르는 소가 침을 흘리는 등 구제역 의심축이 추가 발견됐다고 13일 밝혔다.

충북도는	충북도/NNP+는/JX
보은군	보은군/NNP
마로면	마로면/NNP
송현리	송현리/NNP
한우	한우/NNG
농가(105마리	농가/NNG+(/SS+105/SN+마리/NNB
사육),	사육/NNG+)/SS+,/SP
탄부면	탄부면/NNP
구암리	구암리/NNP
농가(19마리	농가/NNG+(/SS+19/SN+마리/NNB
사육)	사육/NNG+)/SS
등	등/NNB
2곳에서	2/SN+곳/NNG+에서/JKB
기르는	기르/VV+는/ETM
소가	소/NNG+가/JKS
침을	침/NNG+을/JKO
흘리는	흘리/VV+는/ETM
구제역	구제역/NNG
의심축이	의심축/NNG+이/JKS
추가	추가/NNG
발견됐다고	발견/NNG+되/XSV+었/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.8.2
두 농장은 최초 발생 농가(마로면 관기리)에서 각각 770m, 1.8㎞ 떨어져 있다.

두	두/MMN
농장은	농장/NNG+은/JX
최초	최초/NNG
발생	발생/NNG
농가(마로면	농가/NNG+(/SS+마로면/NNP
관기리)에서	관기리/NNP+)/SS+에서/JKB
각각	각각/MAG
770m,	770/SN+m/SW+,/SP
1.8㎞	1/SN+./SP+8/SN+㎞/SW
떨어져	떨어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.182.8.3
확진되면 보은에서만 6번째다.

확진되면	확진/NNG+되/XSV+면/EC
보은에서만	보은/NNP+에서/JKB+만/JX
6번째다.	6/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.182.8.4
이시종 충북지사는 이날 확대간부회의에서 “보은 마로·탄부면을 구제역 발생의 마지막 방어선으로 여기고 그 어느 지역에도 확산하지 않게 총력을 다해 달라”고 당부했다.

이시종	이시종/NNP
충북지사는	충북/NNP+지사/NNG+는/JX
이날	이날/NNG
확대간부회의에서	확대/NNG+간부/NNG+회의/NNG+에서/JKB
“보은	“/SS+보은/NNP
마로·탄부면을	마로/NNP+·/SP+탄부면/NNP+을/JKO
구제역	구제역/NNG
발생의	발생/NNG+의/JKG
마지막	마지막/NNG
방어선으로	방어선/NNG+으로/JKB
여기고	여기/VV+고/EC
그	그/MMD
어느	어느/MMD
지역에도	지역/NNG+에/JKB+도/JX
확산하지	확산/NNG+하/XSV+지/EC
않게	않/VX+게/EC
총력을	총력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.182.9.1
지난 5일 발생한 구제역은 9일 1.3㎞ 떨어진 탄부면 구암리 한우 농장으로 번졌다.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
구제역은	구제역/NNG+은/JX
9일	9/SN+일/NNB
1.3㎞	1/SN+./SP+3/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
탄부면	탄부면/NNP
구암리	구암리/NNP
한우	한우/NNG
농장으로	농장/NNG+으로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.9.2
이어 11일 마로면 송현리 한우 농장에서 구제역이 발생하면서 위험 지역이 반경 460m 안으로 좁혀졌지만, 12일 발생한 구제역은 탄부면 상장리까지 번졌다.

이어	이어/MAG
11일	11/SN+일/NNB
마로면	마로면/NNP
송현리	송현리/NNP
한우	한우/NNG
농장에서	농장/NNG+에서/JKB
구제역이	구제역/NNG+이/JKS
발생하면서	발생/NNG+하/XSV+면서/EC
위험	위험/NNG
지역이	지역/NNG+이/JKS
반경	반경/NNG
460m	460/SN+m/SW
안으로	안/NNG+으로/JKB
좁혀졌지만,	좁히/VV+어/EC+지/VX+었/EP+지만/EC+,/SP
12일	12/SN+일/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
구제역은	구제역/NNG+은/JX
탄부면	탄부면/NNP
상장리까지	상장리/NNP+까지/JX
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.9.3
이곳은 최초 발생 농가에서 2.4㎞ 떨어진 곳으로 1차 구제역 차단 방역대인 3㎞ 밖 확산을 위협하고 있다.

이곳은	이곳/NP+은/JX
최초	최초/NNG
발생	발생/NNG
농가에서	농가/NNG+에서/JKB
2.4㎞	2/SN+./SP+4/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
1차	1/SN+차/NNB
구제역	구제역/NNG
차단	차단/NNG
방역대인	방역대/NNG+이/VCP+ㄴ/ETM
3㎞	3/SN+㎞/SW
밖	밖/NNG
확산을	확산/NNG+을/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.182.9.4
방역 당국은 공기를 타고 이동할 수 있는 구제역 바이러스는 1차 저지선으로 여겨지는 3㎞ 방역대를 넘어서면 걷잡을 수 없을 정도로 확산할 수 있다고 보고 있다.

방역	방역/NNG
당국은	당국/NNG+은/JX
공기를	공기/NNG+를/JKO
타고	타/VV+고/EC
이동할	이동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구제역	구제역/NNG
바이러스는	바이러스/NNG+는/JX
1차	1/SN+차/NNB
저지선으로	저지선/NNG+으로/JKB
여겨지는	여기/VV+어/EC+지/VX+는/ETM
3㎞	3/SN+㎞/SW
방역대를	방역대/NNG+를/JKO
넘어서면	넘어서/VV+면/EC
걷잡을	걷잡/VV+을/ETM
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
확산할	확산/NNG+하/XSV+ㄹ/ETM
있다고	있/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.182.10.1
충북도는 최초 발생 농가 기준 3㎞ 안 방역대를 13일 보은 전역으로 확대하는 등 배수의 진을 쳤다.

충북도는	충북도/NNP+는/JX
최초	최초/NNG
발생	발생/NNG
농가	농가/NNG
기준	기준/NNG
3㎞	3/SN+㎞/SW
안	안/NNG
방역대를	방역대/NNG+를/JKO
13일	13/SN+일/NNB
보은	보은/NNP
전역으로	전역/NNG+으로/JKB
확대하는	확대/NNG+하/XSV+는/ETM
등	등/NNB
배수의	배수/NNG+의/JKG
진을	진/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.182.10.2
19일까지 보은군 전체의 살아 있는 소는 농장·도축장 등으로 이동하지 못한다.

19일까지	19/SN+일/NNB+까지/JX
보은군	보은군/NNP
전체의	전체/NNG+의/JKG
살아	살/VV+아/EC
있는	있/VX+는/ETM
소는	소/NNG+는/JX
농장·도축장	농장/NNG+·/SP+도축장/NNG
등으로	등/NNB+으로/JKB
이동하지	이동/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.182.10.3
충북도는 가축 시장 8곳을 폐쇄했으며, 소·돼지 등 우제류의 농장 간 이동과 도 밖 반출을 막기로 했다.

충북도는	충북도/NNP+는/JX
가축	가축/NNG
시장	시장/NNG
8곳을	8/SN+곳/NNG+을/JKO
폐쇄했으며,	폐쇄/NNG+하/XSV+았/EP+으며/EC+,/SP
소·돼지	소/NNG+·/SP+돼지/NNG
등	등/NNB
우제류의	우제/NNG+류/XSN+의/JKG
농장	농장/NNG
간	간/NNB
이동과	이동/NNG+과/JC
도	도/NNG
밖	밖/NNG
반출을	반출/NNG+을/JKO
막기로	막/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.182.11.1
충북도·농림축산검역본부·민간 전문가 등으로 특별 방역팀을 꾸려 보은군에 파견해 거점 소독소와 통제 초소 운영, 예찰, 소독에 나서기로 했다.

충북도·농림축산검역본부·민간	충북도/NNP+·/SP+농림/NNG+축산/NNG+검역/NNG+본부/NNG+·/SP+민간/NNG
전문가	전문가/NNG
등으로	등/NNB+으로/JKB
특별	특별/NNG
방역팀을	방역/NNG+팀/NNG+을/JKO
꾸려	꾸리/VV+어/EC
보은군에	보은군/NNP+에/JKB
파견해	파견/NNG+하/XSV+아/EC
거점	거점/NNG
소독소와	소독소/NNG+와/JC
통제	통제/NNG
초소	초소/NNG
운영,	운영/NNG+,/SP
예찰,	예찰/NNG+,/SP
소독에	소독/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.182.11.2
또 광역 방제기, 군 제독차 등을 모두 동원해 보은군 농장 등을 집중적으로 소독하기로 했다.

또	또/MAG
광역	광역/NNG
방제기,	방제기/NNG+,/SP
군	군/NNG
제독차	제독/NNG+차/NNG
등을	등/NNB+을/JKO
모두	모두/MAG
동원해	동원/NNG+하/XSV+아/EC
보은군	보은군/NNP
농장	농장/NNG
집중적으로	집중/NNG+적/XSN+으로/JKB
소독하기로	소독/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.182.12.1
박재명 충북도 동물보호팀장은 “지난 6~8일 백신을 집중적으로 접종했기 때문에 이번 주가 구제역 최대 고비가 될 것으로 보고 보은을 집중 소독·관리하기로 했다.

박재명	박재명/NNP
충북도	충북도/NNP
동물보호팀장은	동물/NNG+보호/NNG+팀장/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
6~8일	6/SN+~/SO+8/SN+일/NNB
백신을	백신/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
접종했기	접종/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이번	이번/NNG
주가	주/NNG+가/JKS
구제역	구제역/NNG
최대	최대/NNG
고비가	고비/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
보은을	보은/NNP+을/JKO
집중	집중/NNG
소독·관리하기로	소독/NNG+·/SP+관리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.182.12.2
구제역 바이러스를 적어도 탄부·마로 등 보은 안에 진공 상태처럼 차단하려는 조처”라고 밝혔다.

구제역	구제역/NNG
